ID,Title,Created At,Closed At,Issues,Errors,Messages,Body
60,Bootstrap CDN being blocked due to CORS,2017-11-28T21:39:46Z,2017-12-02T07:31:26Z,"bug, demo",,,"In the [demo](http://ajanse.me/asciidots/demo), opening the console shows this error

```
Cross-Origin Request Blocked: The Same Origin Policy disallows reading the remote resource at http://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css. (Reason: CORS header ‘Access-Control-Allow-Origin’ missing).
```"
59,Filters (:;) do not work on IDs,2017-11-25T09:59:21Z,2017-11-25T21:01:10Z,,,,"Filter ``:`` and ``;`` were added recently in documentation.
It seems that they do not operate on IDs.
Is there a reason to restrict to values ?"
58,Enhance error debugging,2017-11-17T23:12:50Z,,"discussion, enhancement, help wanted",RuntimeError,"RuntimeError: Dot tried to exit library it never entered.","Some asciidots programs have unspecified behaviour.
One such example is when a dot spawned _inside_ a library's source code tries to exit (see https://github.com/aaronduino/asciidots/issues/54#issuecomment-344757596).

Instead of _only_ an error message describing the error and how to resolve it, it would be helpful if it showed the dot's spawn coordinates and it's current coordinates.

---

Current error text:
```
...
  File ""./dots/states.py"", line 144, in run
    raise RuntimeError('Dot tried to exit library it never entered.\nThis is likely caused by a dot spawned inside a library trying to teleport out.')
RuntimeError: Dot tried to exit library it never entered.
This is likely caused by a dot spawned inside a library trying to teleport out.
```

Suggested error text:
```
...
  File ""./dots/states.py"", line 144, in run
    raise RuntimeError('Dot tried to exit library it never entered.\nThis is likely caused by a dot spawned inside a library trying to teleport out.')
RuntimeError: Dot tried to exit library it never entered.
This is likely caused by a dot spawned inside a library trying to teleport out.

Spawned: Line 3, Col 17
Current Location: Line 14, Col 9
```

---

Yes? No? Maybe so?

I'm open to any ideas and/or feedback."
57,IndexError: pop from empty list,2017-11-15T22:59:15Z,2017-11-17T23:16:56Z,enhancement,,,"This error message needs to be clarified.

See https://github.com/aaronduino/asciidots/issues/54#issuecomment-344757596"
56,Add docs for `;` and `:` to main readme,2017-11-15T03:01:26Z,2017-11-17T23:23:26Z,"documentation, help wanted",,,"[Online docs](https://aaronduino.github.io/asciidots/docs/language.html) have it:

> Some other useful characters include:
> `:` - deletes dots traveling over it with a value of `0`
> `;` - deletes dots traveling over it with a value of `1`"
55,EOF support,2017-11-13T03:59:26Z,2017-12-09T18:40:13Z,"discussion, enhancement, help wanted",,,Anybody have any ideas for good ways to let asciidots code detect EOF (end of file) input?
54,Function-like abstraction,2017-11-12T19:48:08Z,2017-11-15T03:06:32Z,help / question,,,"Consider this example. It searches for ""END\n"" in a sequence of inputs (entered as numbers because of #53). 
```
%$ENDF

`` Exit when END\n sequence is found

  /#69\/#78\/#68\/#10\
.>*#?-E*#?-N*#?-D*#?-F---&
 \----<----<----<----/

``              wanted
``                |
`` Usage:   in -- X -- out OK
``                |
``               out NOK

 /-----*\      /-----*\      /-----*\      /-----*\
/E-\   v+\    /N-\   v+\    /D-\   v+\    /F-\   v+\
|| |  .>~*\   || |  .>~*\   || |  .>~*\   || |  .>~*\
|\{-}---/ |   |\{-}---/ |   |\{-}---/ |   |\{-}---/ |
\---------/   \---------/   \---------/   \---------/
```
Code around E, N, D and F is exactly the same.
Is there a way to not copy the whole function and use it in several places ?"
53,ASCII input,2017-11-12T19:22:27Z,2017-11-18T00:26:14Z,"discussion, enhancement",,,"Quite ironically, asciidots does not seem to support ascii input.
Or have I missed something ?

This prints ascii based on (\n-separated) list of numbers:
```
.->#?-\
  \#a$/
```
> $ echo -e ""66\n69\n78"" | asciidots example1.dots 
> B
> E
> N
> 
> Aborted!

With ascii input, this code is lost. It outputs \0 followed by \n.

> $ echo ""BEN"" | asciidots example1.dots | hexdump -C
> 
> Aborted!
> 00000000  00 0a                                             |..|
> 00000002

It might be useful to have a primitive that read one char of input and store its char number (https://docs.python.org/2/library/functions.html#ord) as dot value (exactly the opposite of `$a#`).
Thus the program could take any arbitrary input.

As a side effect of this small example, we see that it might be useful to test for EOF as well."
52,add table of contents to README.md,2017-11-10T22:02:30Z,2017-11-12T00:30:49Z,"documentation, enhancement, help wanted",,,
51,Add official dockerfile,2017-11-07T16:00:48Z,2017-11-08T02:59:49Z,,,,"From the discussion https://github.com/francois2metz/docker-asciidots/issues/1

The last things to do would be to add an automated build in the docker hub. It make things simpler to users."
