ID,Title,Created At,Closed At,Issues,Errors,Messages
1702,Fabric asks for password when proxy connection fails,2018-01-19T22:47:23Z,,,,
1701,unable to use ssh key_filename with gevent,2018-01-19T20:33:30Z,,,,
1700,Catch-22 with `backslash_quote` on FreeBSD 11.1,2018-01-17T16:10:52Z,,,NoneType,"NoneType: None"
1699,upload_template TypeError: not enough arguments for format string,2017-12-25T09:55:15Z,2018-01-04T02:17:28Z,,TypeError,"TypeError: not enough arguments for format string"
1698,How to display pv progress on real-time?,2017-12-23T05:00:56Z,2017-12-26T15:30:59Z,,,
1697,Fabric 2 : How to set abort on prompt ?,2017-12-20T12:46:59Z,2017-12-20T19:28:17Z,,,
1696,"Pod update - error ""no such module Fabric"" in Xcode",2017-12-20T02:19:34Z,2017-12-20T02:26:53Z,,,
1695,Fabric run does not work properly with solr restart command,2017-12-13T07:42:04Z,,,,
1694,append duplicating lines,2017-12-11T21:13:36Z,2017-12-12T00:22:54Z,,,
1693,Crash when running tasks in parallel on windows7,2017-12-11T01:58:29Z,,,,
1692,Can't update to Fabric 2,2017-12-09T19:46:34Z,2017-12-12T00:43:02Z,,,
1691,Fabric 2 - Execute a task on a Group (with arguments),2017-12-08T22:42:57Z,,,,
1690,How to run/kill properly monitoring tools with fabric,2017-12-07T02:44:18Z,,,,
1689,mistake,2017-12-05T15:07:43Z,2017-12-05T15:14:00Z,,,
1688,Defunct Fabric processes,2017-12-04T15:16:21Z,,,,
1687,[contrib.files.upload_template] Extended with Python 2.7-3.5 `.format`,2017-12-03T02:17:05Z,,,,
1686,Fabric 2 and local-vs-remote shell configuration,2017-11-29T23:17:42Z,,,,
1685,ImportError: cannot import name Connection,2017-11-27T06:39:16Z,2017-11-27T09:15:13Z,,,
1684,r,2017-11-24T05:53:39Z,2017-11-29T18:57:30Z,,,
1683,Fabric tutorial issue,2017-11-23T03:04:14Z,2017-11-23T03:40:22Z,,,
1682,fab shebang,2017-11-09T16:03:18Z,,,,
1681,"Multiple host, multiple credentials in Fabric python framework",2017-11-04T03:37:11Z,2017-11-07T17:23:20Z,,,
1680,rsync_project() generates invalid rsync command line if IPv6 address used,2017-10-28T18:29:22Z,,,,
1679,Inconsistent coloured state when multiple are used,2017-10-19T15:29:57Z,,,,
