ID,Title,Created At,Closed At,Issues,Errors,Messages,Body
103,Losing subscription when reconnecting,2017-12-07T06:06:52Z,2017-12-08T06:11:20Z,,,,I noticed that the client loses the subscriptions when reconnecting. Is there some configuration to keep the subscriptions? Or is there a way to capture reconnection attempts so that I can make the client resubscribe to the topics once connected again? TY
102,Document Last Will and Testament implementation?,2017-11-25T15:44:20Z,,,,,"I thought the Last Will and Testament feature of MQTT ( https://www.hivemq.com/blog/mqtt-essentials-part-9-last-will-and-testament ) was not supported by hbmqtt since it wasn't noted in http://hbmqtt.readthedocs.io/en/latest/references/mqttclient.html?highlight=will#reference as part of the allowed keys in the config.

However at the footer of the HBMQTT client implementation the clause ```if ""will"" in self.config:``` suggests that there is in fact support. 

It would be really useful to have an example showing how to configure the last will on connection if it is supported, or a note that there is no support. I have struggled to see anything with searches for ""testament"", ""will"", ""last will""."
101,TLS connections can be established by default with system certificate…,2017-11-23T08:44:18Z,2017-11-25T13:26:11Z,,,,"…s to publish domains (for example to 'mqtts://iot.eclipse.org') - the client only requires cafiles if the broker provides self signed certificates

The fix removes the exception thrown through missing cafiles."
100,fixed Test 'test_client_connect_clean_session_false' ,2017-11-14T18:02:41Z,2017-11-17T15:09:25Z,,,,"By adding a additional variable 'client_id_is_random' the Test 'test_client_connect_clean_session_false' is fixed.  This variable allows to notice if a client_id is generated by the broker( It is allowed for clients to connects with no or empty client_id). 
In this case a it is not possible for clients to use old sessions and the broker disallows a connection. (He can't identify old sessions based on the random client_id)"
99,fixed Test 'test_decode_fail_miss_clientId',2017-11-12T18:16:49Z,2017-11-21T10:20:13Z,,,,By default the broker creates a random client_id if the connection doesn't provides a client_id by itself. The test 'test_decode_fail_miss_clientId' validates a random client_id if no client_id is a given.
98,Fix occasional exception while processing another exception.,2017-11-05T07:27:06Z,2017-11-05T09:29:23Z,,,,
97,Automatically get SSL certificate using client,2017-11-01T01:48:40Z,2017-11-01T08:23:43Z,,,,"Is it possible to instruct hbmqtt to automatically download the certificate for an SSL-enabled server, assuming that the certificate is correctly signed?"
96,Fix issue #95 Randomly incomplete topic name in consuming from MQTT t…,2017-10-30T16:36:48Z,2017-10-30T20:33:57Z,,,,…opic.
95,MQTT Client: Randomly incomplete topic name and broken packet.data,2017-10-30T16:15:33Z,2017-10-30T23:06:50Z,,,,"Consuming data from MQTT topics (around 120), I get randomly messages, which have topic name shortened and packet.data are broken, as part of the missing topic name is prepended to them.

This problem appears only sometime and there it is not deterministic, it fails on different topics. I have to run the process 3 times and it mostly fails once.

Debugging the messages we have found, that topic names are shortened and the packet.data has tail of the missing topic name prepended to it."
94,Properly cancelling task during pending MQTT subscription,2017-10-28T22:13:44Z,,,	RuntimeError,"	RuntimeError: Event loop is closed","I am trying to create a task, which consumes data from MQTT topics and does some processing. As this is long term running process, it runs in `while True` loop and I want to cancel the task properly by sending `task.cancel()`.

However, the `cancel()` results in exceptions thrown from within `RuntimeError: 'Event loop is closed.')""`

Here is the code which is adapted from project examples:


	import logging
	import asyncio

	from hbmqtt.client import MQTTClient, ClientException
	from hbmqtt.mqtt.constants import QOS_1, QOS_2

	logger = logging.getLogger(__file__)
	logging.basicConfig(level=logging.DEBUG)


	async def reader_coro(mqtt_url, loop):
	    C = MQTTClient(loop=loop)
	    try:
		await C.connect(mqtt_url)
		await C.subscribe([
			('$SYS/broker/uptime', QOS_1),
			('$SYS/broker/load/#', QOS_2),
		    ])
		while True:
		    message = await C.deliver_message()
		    packet = message.publish_packet
		    topic_name = packet.variable_header.topic_name
		    data = packet.payload.data
		    print(f""TOPIC: {topic_name} MESSAGE: {data}"")
	    except asyncio.CancelledError:
		await C.unsubscribe(['$SYS/broker/uptime', '$SYS/broker/load/#'])
		await C.disconnect()
		logger.debug(""DISCONNECTED======================"")
	    except ClientException as ce:
		logger.exception(""Client exception: %s"" % ce)


	if __name__ == '__main__':
	    mqtt_url = 'mqtt://test.mosquitto.org/'
	    loop = asyncio.get_event_loop()
	    reader = loop.create_task(reader_coro(mqtt_url, loop))
	    try:
		loop.run_until_complete(reader)
	    except KeyboardInterrupt:
		logger.debug(""KEYBOARD INTERRUPT=================="")
		reader.cancel()
		logger.debug(""READER CANCELLED=================="")
		loop.run_until_complete(reader)
		logger.debug(""FINISHED LOOP=================="")
	    finally:
		loop.close()


When run, after Ctrl-C it prints out:

	DEBUG:hbmqtt.client:Waiting message delivery
	DEBUG:hbmqtt.mqtt.protocol.handler:0 message(s) available for delivery
	^CDEBUG:sub.py:KEYBOARD INTERRUPT==================
	DEBUG:sub.py:READER CANCELLED==================
	DEBUG:hbmqtt.client.plugins.packet_logger_plugin:hbmqtt/IyM^`78qi35Ns?ke -out-> UnsubscribePacket(ts=2017
	-10-29 00:11:05.438820, fixed=MQTTFixedHeader(length=42, flags=0x2), variable=PacketIdVariableHeader(pack
	et_id=2), payload=<hbmqtt.mqtt.unsubscribe.UnubscribePayload object at 0x7f40d879ea48>)
	DEBUG:hbmqtt.client.plugins.packet_logger_plugin:hbmqtt/IyM^`78qi35Ns?ke <-in-- UnsubackPacket(ts=2017-10
	-29 00:11:05.476021, fixed=MQTTFixedHeader(length=2, flags=0x0), variable=PacketIdVariableHeader(packet_i
	d=2), payload=None)
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 puback waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 pucomp waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 purec waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 purel waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:waiting for tasks to be stopped
	DEBUG:hbmqtt.client.plugins.packet_logger_plugin:hbmqtt/IyM^`78qi35Ns?ke -out-> DisconnectPacket(ts=2017-
	10-29 00:11:05.477688, fixed=MQTTFixedHeader(length=0, flags=0x0), variable=None, payload=None)
	DEBUG:hbmqtt.mqtt.protocol.handler:Task cancelled, reader loop ending
	DEBUG:hbmqtt.mqtt.protocol.handler:Broker closed connection
	DEBUG:hbmqtt.mqtt.protocol.handler:hbmqtt/IyM^`78qi35Ns?ke Reader coro stopped
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 puback waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 pucomp waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 purec waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:Stopping 0 purel waiters
	DEBUG:hbmqtt.mqtt.protocol.handler:waiting for tasks to be stopped
	DEBUG:hbmqtt.mqtt.protocol.handler:closing writer
	DEBUG:transitions.core:Initiating transition from state connected to state disconnected...
	DEBUG:transitions.core:Exiting state connected. Processing callbacks...
	INFO:transitions.core:Exited state connected
	DEBUG:transitions.core:Entering state disconnected. Processing callbacks...
	INFO:transitions.core:Entered state disconnected
	DEBUG:sub.py:DISCONNECTED======================
	DEBUG:sub.py:FINISHED LOOP==================
	Exception ignored in: <generator object ProtocolHandler.mqtt_deliver_next_message at 0x7f40d87807d8>
	Traceback (most recent call last):
	  File ""/home/javl/devel/tis/dpo-tis-pns-pump/.tox/py36/lib/python3.6/site-packages/hbmqtt/mqtt/protocol/
	handler.py"", line 466, in mqtt_deliver_next_message
	    message = yield from self.session.delivered_message_queue.get()
	  File ""/home/javl/.pyenv/versions/3.6.1/lib/python3.6/asyncio/queues.py"", line 169, in get
	    getter.cancel()  # Just in case getter is not done yet.
	  File ""/home/javl/.pyenv/versions/3.6.1/lib/python3.6/asyncio/base_events.py"", line 573, in call_soon
	    self._check_closed()
	  File ""/home/javl/.pyenv/versions/3.6.1/lib/python3.6/asyncio/base_events.py"", line 357, in _check_close
	d
	    raise RuntimeError('Event loop is closed')
	RuntimeError: Event loop is closed
	ERROR:asyncio:Task was destroyed but it is pending!
	task: <Task pending coro=<ProtocolHandler.mqtt_deliver_next_message() done, defined at /home/javl/devel/t
	is/dpo-tis-pns-pump/.tox/py36/lib/python3.6/site-packages/hbmqtt/mqtt/protocol/handler.py:461> wait_for=<
	Future cancelled> cb=[_wait.<locals>._on_completion() at /home/javl/.pyenv/versions/3.6.1/lib/python3.6/a
	syncio/tasks.py:374]>
	$

Is there proper way of stopping pending subscription without such problems?
"
