ID,Title,Created At,Closed At,Issues,Errors,Messages
2250,Timeout with HEAD method of AsyncHTTPClient on valid URL,2018-01-16T19:59:39Z,,,,
2249,iostream: Use file objects instead of raw descriptors in PipeIOStream,2018-01-14T20:31:50Z,2018-01-15T17:16:09Z,,,
2248,"ioloop,gen,asyncio: Improvements to IOLoop GC",2018-01-13T23:27:14Z,2018-01-14T15:16:59Z,,,
2247,Using vpn causes address assigning error when deploy locally,2018-01-12T07:51:47Z,2018-01-13T16:29:05Z,,`OSError,"`OSError: [Errno 99] Cannot assign requested address`"
2246,Different behavior with RequestHandler#flush() using callback or Future,2018-01-10T14:29:36Z,2018-01-13T23:53:04Z,,,
2245,make executable git and shebang consistent on various source files,2018-01-07T01:39:48Z,2018-01-13T18:54:23Z,,,
2244,build: Enforce flake8-cleanliness in CI,2018-01-07T00:05:14Z,2018-01-07T00:26:01Z,,,
2243,'autoreload=true' throws 'KeyboardInterrupt' while debugging with python3.6,2018-01-06T14:01:10Z,,,,
2242,Release 4.5.3,2018-01-05T03:45:47Z,2018-01-06T17:38:23Z,,,
2241,Exposes the currently running coroutine in gen.py,2018-01-04T17:42:39Z,2018-01-05T15:33:44Z,,,
2240,IOLoop.clear_instance() and IOLoop.clear_current() broken,2018-01-03T10:03:52Z,2018-01-14T15:16:59Z,,AttributeError,"AttributeError: '_thread._local' object has no attribute 'instance'"
2239,release: 5.0,2018-01-01T01:50:29Z,,,,
2238,"asyncio,options,httpclient: Various small updates",2017-12-31T22:19:32Z,2018-01-01T01:43:28Z,,,
2237,trivial flake8/pyflakes style fixes,2017-12-31T19:43:15Z,2018-01-06T23:05:24Z,,,
2236,fix HTTPInputError reference for improperly terminated chunked request,2017-12-30T23:37:46Z,2017-12-31T15:00:45Z,,,
2235,fix iostream exc_info using missing Exception var,2017-12-30T23:33:46Z,2017-12-31T15:02:09Z,,,
2234,release: 4.5.3,2017-12-30T19:48:06Z,2018-01-06T18:14:21Z,,,
2233,parse_response_start_line() re.match case,2017-12-29T18:59:13Z,2017-12-30T01:22:49Z,,,
2232,parse_response_start_line() re.match case,2017-12-29T18:34:04Z,2017-12-29T18:50:31Z,,,
2231,"httputil.py parse_response_start_line() raise HTTPInputError when ResponseStartLine tuple missing ""reason"" key in response header",2017-12-29T18:06:00Z,2017-12-30T01:22:25Z,,tornado.httputil.HTTPInputError,"tornado.httputil.HTTPInputError: Error parsing response start line"
2230,Issue #2229: allow GCing of suspended coroutines,2017-12-29T17:15:47Z,2018-01-14T15:16:58Z,,,
2229,Reference cycle through Future and Runner can create leak,2017-12-28T18:35:40Z,2018-01-14T15:16:59Z,,,
2228,setup: Set version number to 5.0a1,2017-12-27T18:24:40Z,2017-12-27T18:45:52Z,,,
2227,Document that options can be booleans,2017-12-27T02:41:48Z,2017-12-27T17:31:26Z,,,
2226,Error applying scope param during OAuth login,2017-12-26T20:36:27Z,2017-12-27T14:18:55Z,,,
2225,http: read final crlf of chunked requests,2017-12-26T03:17:54Z,2017-12-30T19:48:27Z,,,
2224,netutil: Use a threaded resolver by default,2017-12-23T02:30:13Z,2017-12-23T03:22:50Z,,,
2223,Update web.py,2017-12-22T10:02:57Z,2017-12-27T17:30:38Z,,TypeError,"TypeError: 'NoneType' object is not iterable"
2222,Improve options' document,2017-12-22T03:19:56Z,2017-12-27T17:31:38Z,,,
2221,fix autoreload argv perservation,2017-12-19T14:55:40Z,,,,
2220,tcpserver: Fix multiprocess modes,2017-12-19T04:00:59Z,2017-12-23T01:22:24Z,,,
2219,docs: Start release notes for 5.0.,2017-12-18T02:53:55Z,2017-12-18T03:35:10Z,,,
2218,ioloop: Setting AsyncIOLoop as current also sets asyncio event loop,2017-12-17T16:39:31Z,2017-12-18T02:48:42Z,,,
2217,Finish return future,2017-12-15T17:15:02Z,,,,
2216,How to keep reference of HTTP request in logging ?,2017-12-15T13:26:34Z,2017-12-18T19:53:40Z,,,
2215,"Tornado service works well, but many warnings are logged.",2017-12-14T04:44:40Z,2017-12-20T12:28:10Z,,,
2214,await get on an empty asyncio.Queue doesn't resolve when used with Tornado's ioloop.,2017-12-13T14:04:33Z,2017-12-13T14:30:54Z,,,
2213,gen: Use the asyncio task runner for native coroutines,2017-12-09T20:39:22Z,2017-12-10T01:24:54Z,,,
2212,travis.yml: Upgrade pypy3,2017-12-08T17:33:59Z,2017-12-08T17:52:47Z,,,
2211,set_close_exec in bind_sockets(),2017-12-08T15:43:27Z,2017-12-08T16:18:13Z,,,
2210,"Update structure.rst `.get(""Content-Type"", """")`",2017-12-08T09:44:04Z,2017-12-08T15:19:02Z,,,
2209,Support streaming API for AsyncHTTPClient ,2017-12-07T08:45:05Z,,,,
2208,"Make the example code in the document ""tornado.ioloop — Main event loop"" can copy-paste-run directly.",2017-12-06T07:18:02Z,2017-12-08T13:26:57Z,,,
2207,http headers are  capitalized,2017-12-05T13:51:32Z,,,,
2206,Web Socket Disconnecting With Small Files,2017-12-02T19:55:49Z,,,,
2205,Stable,2017-11-29T07:34:30Z,2017-12-07T13:37:12Z,,,
2203,Exception in callback functools.partial() when running jupyter console on Mac OS X,2017-11-24T17:38:34Z,2017-12-07T13:25:31Z,,AttributeError,"AttributeError: 'function' object has no attribute 'mainloop'"
2202,every child process use different memory in tornado multi-process,2017-11-23T15:48:46Z,2017-11-23T18:47:40Z,,,
2201,Add family argument to OverrideResolver->resolve method,2017-11-17T16:16:50Z,2017-12-26T23:05:29Z,,,
2200,Issue #2188: check whether a future was cancelled before calling set_result(),2017-11-16T17:29:14Z,2017-12-07T01:42:52Z,,,
2199,"Fix bind_sockets(""localhost"") on Travis-CI container builds",2017-11-16T16:47:41Z,,,,
2198,Update twisted test blacklist for the newly-released 13.1.0.,2017-11-15T10:54:46Z,2017-11-15T10:55:17Z,,,
2197,Update structure.rst,2017-11-15T03:49:37Z,2017-12-08T09:39:08Z,,,
2196,Address family support in OverrideResolver,2017-11-14T13:47:43Z,,,,
2195,Break circular references when async request handler raises exception,2017-11-10T05:37:48Z,2017-11-16T03:17:16Z,,,
2194,fix bug for multiple chunked requests on same connection,2017-11-09T11:42:47Z,2017-12-31T03:28:41Z,,,
2193,Fix #2176: Add IOStream.read_into(),2017-11-08T13:36:06Z,,,,
2192,Improve debug support for asyncio futures,2017-11-07T21:24:01Z,2017-11-16T03:06:53Z,,,
2191,Inconsistency in add_callback() between PollIOLoop and AsyncIOLoop,2017-11-07T17:32:12Z,2018-01-01T01:43:34Z,,,
2190,"wsgi: HEAD raises ""Tried to write more data than Content-Length""",2017-11-07T03:51:13Z,,,tornado.httputil.HTTPOutputError,"tornado.httputil.HTTPOutputError: Tried to write more data than Content-Length"
2189,asyncio Futures can hang if created from the wrong thread,2017-11-06T17:02:51Z,,,,
2188,`set_result` can raise on cancelled future,2017-11-06T14:56:45Z,,,asyncio.base_futures.InvalidStateError,"asyncio.base_futures.InvalidStateError: invalid state"
2187,test: More robust avoidance of broken ipv6,2017-11-05T15:40:16Z,2017-11-05T16:08:05Z,,,
2186, _INVALID_HEADER_CHAR_RE ,2017-11-03T19:57:21Z,2017-11-05T22:38:19Z,,ValueError,"ValueError: ('Unsafe header value %r', '___utmvaFauNaIi=EnS\x01okWd; path=/; Max-Age=900')"
2185,Skip IPv6 tests on Travis-CI,2017-11-02T14:33:52Z,2017-11-05T16:08:05Z,,,
2184,Fix #2183: IOLoop.current() needs to create asyncio loop in non-main thread,2017-11-02T13:15:14Z,2017-12-31T22:07:22Z,,,
2183,IOLoop.current() doesn't work in non-main thread with AsyncIOLoop configured,2017-11-02T13:10:46Z,2018-01-01T01:43:34Z,,RuntimeError,"RuntimeError: There is no current event loop in thread 'Thread-572'."
2182,Websocket buffer error,2017-11-02T02:59:31Z,2017-11-03T02:14:41Z,,BufferError,"BufferError: Existing exports of data: object cannot be re-sized                "
2181,websocket: Define interface between protocol and handler/conn,2017-10-28T10:44:50Z,,,,
2180,Don't let invalid bytes stop the Webspider demo,2017-10-25T03:47:41Z,2017-10-28T14:51:27Z,,Exception,"Exception: 'utf-8' codec can't decode byte 0xe7 in position 44372: invalid continuation byte https://www.google.com"
2179,"Fetch IOLoop in PeriodicCallback.start(), not __init__()",2017-10-24T09:11:04Z,2017-10-28T14:45:43Z,,,
2178,Fixes for IOLoop.run_in_executor,2017-10-22T19:56:27Z,2017-10-22T21:07:43Z,,,
2177,Require modern SSL features,2017-10-22T17:25:51Z,2017-10-22T18:42:49Z,,,
2176,Add IOStream.read_into(),2017-10-22T14:08:48Z,,,,
2175,Fix #2171: Make IOStream class configurable,2017-10-21T20:19:02Z,,,,
2174,Cross platform template_path handling,2017-10-21T20:14:32Z,2017-10-23T12:40:15Z,,IOError,"IOError: [Errno 2] No such file or directory: '/path/to/my/app/main.html'"
2173,Don't keep any reference to memoryviews,2017-10-21T20:06:16Z,2017-10-22T14:02:14Z,,,
2172,Release memoryviews explicitly,2017-10-21T19:11:51Z,2017-10-22T14:02:56Z,,,
2171,Make IOStream class configurable,2017-10-20T09:31:36Z,,,,
2170,Split IOLoop and frields  into its own package,2017-10-19T19:56:09Z,2017-10-21T18:37:10Z,,,
2169,Issue #2147: avoid copies on non-small writes,2017-10-19T13:53:13Z,2017-11-16T03:18:07Z,,,
2168,Tornado ThreadPoolExecutor is leaking resources,2017-10-19T00:28:01Z,2017-10-19T04:01:16Z,,,
2167,Remove SSL hack,2017-10-17T16:31:40Z,2017-10-22T18:43:02Z,,,
2166,[WIP] Fix #2147: mostly zero-copy writes and reads in IOStream,2017-10-17T15:50:01Z,2017-11-08T13:34:55Z,,,
2165,[WIP] Fix #2147: mostly zero-copy reads and writes in IOStream,2017-10-17T15:23:12Z,2017-10-17T15:49:05Z,,,
2164,Expose HTTP request handling time,2017-10-16T23:42:34Z,,,,
2163,Add support for parsing options from environment variables,2017-10-14T09:36:51Z,2017-10-21T20:00:31Z,,,
2162,handle multiple values in X-Forwarded-Proto,2017-10-13T09:39:28Z,2017-11-16T03:21:53Z,,,
2161,X-Forwarded-Proto Multiple Values,2017-10-12T13:29:05Z,2017-11-16T03:21:53Z,,,
2160,In some cases it is impossible to make command line options to override config file options,2017-10-05T13:48:26Z,2017-10-07T14:50:44Z,,,
2159,Connections stuck in CLOSE_WAIT,2017-09-28T09:48:02Z,2017-10-07T15:10:30Z,,,
2158,use a faster way to calculate body content-length,2017-09-25T19:45:03Z,2017-12-31T21:54:04Z,,,
2157,websocket: fix missing websocket header causes an exception,2017-09-21T18:10:28Z,2017-09-23T17:07:08Z,,,
2156,AttributeError if Websocket client misses required header,2017-09-21T17:00:49Z,2017-09-23T17:07:08Z,,"ValueError, AttributeError","ValueError: Missing/Invalid WebSocket headers, AttributeError: 'NoneType' object has no attribute 'close'"
2155,fix: iostream exception alias,2017-09-19T09:45:03Z,2017-09-23T16:52:28Z,,,
2154,removed unused import logging,2017-09-19T01:21:01Z,2017-09-23T16:51:11Z,,,
2153,IOStream loses SSH banner,2017-09-18T16:05:44Z,2017-09-18T20:46:33Z,,,
2152,Stable,2017-09-18T08:50:33Z,2017-09-18T14:01:10Z,,,
2151,"A syntax error about ""(r'/', IndexHandler)""!!!",2017-09-14T12:39:45Z,2017-09-14T14:13:10Z,,,
2150,using uwsgi  to deploy the tornado application ,2017-09-11T16:34:14Z,2017-12-07T13:46:44Z,,,
