ID,Title,Created At,Closed At,Issues,Errors,Messages,Body
1301,Connections kept forever in connection pool,2017-12-21T13:59:33Z,,,,,"Maybe this is intended as otherwise it would add complexity to the connection pool but connections are never removed from the pool, so long lived apps with a burst of requests will keep those connection objects in memory forever.
The solution could be adding a stale timeout parameter to the connection pool and removing the connections from the pool after that timeout."
1300,urllib3 wrong computation of 'Content-Length' for file upload,2017-12-20T19:58:49Z,,,,,"Hi! This is my first posting ever on this site. I hope to have come to the right place. 

System: Ubuntu 16.04, Python 3.5.

I need to upload a simple text file to Internet servers. With ""curl"" the operation goes smoothly, both with http and https protocols, both up/downloads. With urllib3 and other TCP-IP handlers (e.g., requests)  file downloads work correctly, also when authentication is necessary. Uploads, however, do not work.

A log verification with TCPDUMP indicates that with urllib3 (requests, etc.) the generated header for 'Content-Length' contains a wrong file length indication. The file is not uploaded, the servers return different error messages. 

code example
```python
headers = {'authorization': 'Basic ==codeduserpwd=='}
resp = http_client.request('PUT',
                           'https://webserver.com',
                           headers=headers,
                           fields={'filewhat': (filename, filename.open())}
                           )
```
Header log for urllib3 (does not work)
```
	PUT /remote.php/dav/files/gpiani/ HTTP/1.1
	Host: www.hosthere.com
	Accept-Encoding: identity
	Content-Length: 281
	Content-Type: multipart/form-data; boundary=b20a0...
	authorization:  Basic ==codeduserpwd==
```
Header log for curl (it works)
```
        PUT /remote.php/dav/files/gpiani/MYFILE HTTP/1.1
        Host: www.hosthere.com
        Authorization: Basic  ==codeduserpwd==
        User-Agent: curl/7.47.0
        Accept: */*
        Content-Length: 94
```
The two major differences are the file indication in the header and of course the content length. Concerning the first aspect I can take that in consideration while passing the destination file name, but without the correct file length the whole procedure does not work.

If anything needs to be tested I am of course fully interested to do it.

Thankful for your support!"
1299,Don't send IP address as SNI.,2017-12-20T07:35:08Z,2017-12-20T11:09:53Z,,,,"In RFC-6066 section-3, it was said that SNI is for host name not for IP
address. This code closes shazow/urllib3#1298 ."
1298,IP shouldn't be set as SNI,2017-12-20T07:01:02Z,,,,,"## Summary
According to RFC 6066, https://tools.ietf.org/html/rfc6066#section-3,
Literal IPv4 and IPv6 addresses are not permitted in ""HostName"".

However, when I send requests like resp = s.get('https://192.168.1.140', verify=False), requests will put 192.168.1.140 in SNI.

## How to reproduce
* Use tcpdump to collect network packets. `sudo tcpdump -X -S -s 0 -i eth0 -w wireshark.log`
* Run below script:
```python
import certifi
import urllib3
ip = '140.211.11.105'
http = urllib3.PoolManager(cert_reqs = 'CERT_NONE', ca_certs = certifi.where())
r = http.request('GET', 'https://' + ip) 
print(r.data)
```
* Use WireShark  to open wireshark.log collected by tcpdump. You will saw IP in SNI (140.211.11.105 in below screenshot)
![sni_ip_address](https://user-images.githubusercontent.com/34702338/34195028-7de83c8e-e596-11e7-9e7f-e88735b3d98f.png)

"
1297,idna encoding UnicodeError when opening connection,2017-12-19T20:29:16Z,2017-12-19T21:04:36Z,,UnicodeError,"UnicodeError: label empty or too long","Looks like `urllib3/util/connection.py`, line 60 isn't correctly catching `UnicodeError` when calling `socket.getaddrinfo`?

## System Info

Platform: Windows-10-10.0.16299-SP0
Python: 3.5.1.final.0
Urllib3: 1.22

## Traceback

```
Traceback (most recent call last):
  File ""encodings\\idna.py"", line 165, in encode
UnicodeError: label empty or too long

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\api.py"", line 107, in send_heartbeats
    verify=not args.nosslverify)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\requests\\sessions.py"", line 555, in post
    return self.request(\'POST\', url, data=data, json=json, **kwargs)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\requests\\sessions.py"", line 508, in request
    resp = self.send(prep, **send_kwargs)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\requests\\sessions.py"", line 618, in send
    r = adapter.send(request, **kwargs)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\requests\\adapters.py"", line 440, in send
    timeout=timeout
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\urllib3\\connectionpool.py"", line 595, in urlopen
    self._prepare_proxy(conn)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\urllib3\\connectionpool.py"", line 816, in _prepare_proxy
    conn.connect()
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\urllib3\\connection.py"", line 284, in connect
    conn = self._new_conn()
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\urllib3\\connection.py"", line 141, in _new_conn
    (self.host, self.port), self.timeout, **extra_kw)
  File ""C:\\Users\\user\\AppData\\Roaming\\Sublime Text 3\\Packages\\WakaTime\\packages\\wakatime\\packages\\urllib3\\util\\connection.py"", line 60, in create_connection
    for res in socket.getaddrinfo(host, port, family, socket.SOCK_STREAM):
  File ""socket.py"", line 732, in getaddrinfo
UnicodeError: encoding with \'idna\' codec failed (UnicodeError: label empty or too long)
```"
1296,No User-Agent header by default,2017-12-12T19:42:56Z,,Contributor Friendly ♥,,,"It appears that, by default, urllib3 does not send a `User-Agent` header.

By a plain reading of [RFC-7231](https://tools.ietf.org/html/rfc7231#section-5.5.3), it appears that user agents SHOULD generally set such a header unless specifically overridden or suppressed:

> A user agent SHOULD send a User-Agent field in each request unless specifically configured not to do so.

I couldn't find prior discussion on this, so it does seem worth talking about. Should we send a User-Agent header by default, and if so, what should it be?

CC @sigmavirus24 in particular for an opinion on the intentions of the RFC. Are we a user agent as described in the document? Or, since we expect to be used for the HTTP-level connectivity of a larger process or library, are we exempt from the requirement?"
1295,Add Akamai as a sponsor; update sponsorship text to include time-based contributions,2017-12-12T13:50:19Z,2017-12-21T17:03:52Z,,,,"This change adds @haikuginger as a maintainer, calls Akamai out as a sponsor of @haikuginger's time, and specifically mentions allowing employee time to work on urllib3 as a form of a contribution a company can make."
1294,Use pyenv to install all versions of Python for macOS; update Python3 versions,2017-12-11T17:13:33Z,2017-12-12T11:05:29Z,,,,"Currently, our macOS tests for Python 2.7 expect a version of Python 2.7 to already be installed, and then install pip. However, for whatever reason, this currently appears to be failing. To fix this issue and avoid the same class of issue going forward (where different versions behave differently under testing), this change updates the test suite to explicitly install Python 2.7 (including pip) with pyenv, as we already do for other versions.

This change also updates the versions of Python 3 to test with macOS to their respective newest revisions."
1293,Fix uses of deprecated assertEquals() to use assertEqual() instead,2017-12-11T01:24:32Z,2017-12-15T18:14:53Z,,,,"When running tests with Python warnings enabled, fixes warnings of the form:

```
DeprecationWarning: Please use assertEqual instead.
```

For a full list of deprecated test functions, see:

https://docs.python.org/3/library/unittest.html#deprecated-aliases"
1292,Simplify tox configuration,2017-12-11T01:13:04Z,2017-12-14T14:01:09Z,,,,"tox sets good defaults for the `basepython` value. Simply use that instead of respecifying it. Helps to slightly simplify the configuration by removing repetitive boilerplate.

For details, see tox documentation:

https://tox.readthedocs.io/en/latest/config.html#factors-and-factor-conditional-settings

> tox provides good defaults for basepython setting, so the above ini-file can be further reduced by omitting the basepython setting."
