ID,Title,Created At,Closed At,Issues,Errors,Messages,Body
1828,layout.html - missing id required for showing collapsed menu ,2017-12-23T18:49:26Z,,,,,"Clicking the toggler button doesn't show collapsed menu.

The correction should be simple:
in the layout.html file we need to add the id on the navbar-collapse

`<div id=""navbarNavDropdown"" class=""collapse navbar-collapse"">`
"
1827,is this a super bug in scheduler in version web2py.2.14.6 ?,2017-12-22T14:14:54Z,2017-12-23T01:24:09Z,,SyntaxError,SyntaxError: table already defined: scheduler_task,"Traceback (most recent call last):
  File ""/home/www-data/web2py2000/gluon/restricted.py"", line 227, in restricted
    exec ccode in environment
  File ""applications/player/models/0.py"", line 83, in <module>
    scheduler = Scheduler(session_service.db, migrate=False)
  File ""/home/www-data/web2py2000/gluon/scheduler.py"", line 585, in __init__
    self.define_tables(db, migrate=migrate)
  File ""/home/www-data/web2py2000/gluon/scheduler.py"", line 653, in define_tables
    migrate=self.__get_migrate('scheduler_task', migrate),
  File ""/home/www-data/web2py2000/gluon/packages/dal/pydal/base.py"", line 819, in define_table
    raise SyntaxError('table already defined: %s' % tablename)
SyntaxError: table already defined: scheduler_task"
1826,made sorting of translation keys py3 safe,2017-12-13T18:50:10Z,,,,,
1825,python3 compatibility for woth sorted-cmp as well as unicode,2017-12-12T19:55:10Z,2017-12-13T10:04:10Z,,,,To fix the languages editor in admin application when running python 3
1824,Fix py3 urllib quote_plus ,2017-12-12T18:30:12Z,,,,,
1823,Fix dependencies in setup.py,2017-12-11T16:53:14Z,,,,,
1822,python3.5 : AttributeError: module 'urllib' has no attribute 'quote_plus',2017-12-10T12:13:54Z,,,AttributeError,"AttributeError: module 'urllib' has no attribute 'quote_plus'","python 3.5, web2py version 2.16.1-stable+timestamp.2017.11.14.05.54.25

```
ERROR:Rocket.Errors.Thread-4:Traceback (most recent call last):

  File ""/home/web2py/gluon/rocket.py"", line 1319, in run
    self.run_app(conn)

  File ""/home/web2py/gluon/rocket.py"", line 1820, in run_app
    output = self.app(environ, self.start_response)

  File ""/home/web2py/gluon/main.py"", line 650, in app_with_logging
    ret[0] = wsgiapp(environ, responder2)

  File ""/home/web2py/gluon/main.py"", line 559, in wsgibase
    http_response, request, environ, ticket)

  File ""/home/web2py/gluon/rewrite.py"", line 238, in try_rewrite_on_error
    (status, ticket, urllib.quote_plus(

AttributeError: module 'urllib' has no attribute 'quote_plus'
```"
1821,Update db.py,2017-12-07T13:10:43Z,,,,,Possible typo?
1820,AttributeError: 'NoneType' object has no attribute 'startswith',2017-12-04T11:40:58Z,,,AttributeError,"AttributeError: 'NoneType' object has no attribute 'startswith'","Version 2.16.1-stable+timestamp.2017.11.14.05.54.25
```
def joint_field(db, fields=[]):
    e = Expression(db, db._adapter.dialect.concat(*fields[:2]))
    for f in fields[2:]:
        e = Expression(db, db._adapter.dialect.concat(e, f))
    return e
```
```
full_name_field = joint_field(db, [db.staff_employee.first_name, ' ', db.staff_employee.last_name])
records = db(full_name_field.contains(request.vars.term)).select(
    full_name_field,
    groupby=full_name_field,
    orderby=full_name_field,
    limitby=(0, 10)
)
```
```
Traceback (most recent call last):
  File ""/vagrant/grand3/web2py/gluon/restricted.py"", line 219, in restricted
    exec(ccode, environment)
  File ""/vagrant/grand3/web2py/applications/app/controllers/staff.py"", line 286, in <module>
  File ""/vagrant/grand3/web2py/gluon/globals.py"", line 419, in <lambda>
    self._caller = lambda f: f()
  File ""/vagrant/grand3/web2py/gluon/tools.py"", line 3982, in f
    return action(*a, **b)
  File ""/vagrant/grand3/web2py/applications/app/controllers/staff.py"", line 48, in autocomplete_employee_full_name
    records = db(full_name_field.contains(request.vars.term)).select(
  File ""/vagrant/grand3/web2py/gluon/packages/dal/pydal/objects.py"", line 1457, in contains
    self.type.startswith('list:'):
AttributeError: 'NoneType' object has no attribute 'startswith'
```
Was working with version 2.14, not sure about 2.15"
1819,<type 'exceptions.AttributeError'> 'NoneType' object has no attribute '_tablename',2017-12-04T11:35:54Z,,,AttributeError,"AttributeError: 'NoneType' object has no attribute '_tablename'","Version 2.16.1-stable+timestamp.2017.11.14.05.54.25

```
db.define_table('measurement',
    Field('title', label=T('measurement__title'), requires=IS_NOT_EMPTY()),
    Field('systemic', 'boolean', writable=False, readable=False, default=False),
    Field('sys_name', writable=False, readable=False),
    format='%(title)s'
)

title_field = db.translation_field.value.coalesce(db.measurement.title)
TOTAL_ROWS = 'COUNT(*) OVER()'

records = db(db.measurement).select(
        db.measurement.ALL, title_field, TOTAL_ROWS,
        left=[
            db.translation_field.on(
                (db.translation_field.tablename == 'measurement') &
                (db.translation_field.fieldname == 'title') &
                (db.translation_field.rid == db.measurement.id) &
                (db.translation_field.language_id == auth.user.language_id)
            )
        ],
        orderby=title_field
    )

# translate
for i, r in enumerate(records):
    records[i].measurement.title = r[title_field]

result = SQLTABLE(records, headers='labels', truncate=None, columns=['measurement.title')
```
Error:

```
File ""/vagrant/grand3/web2py/gluon/sqlhtml.py"", line 3433, in __init__
    tablemap = dict(((f.tablename, f.table) if isinstance(f, Field) else (f._table._tablename, f._table) for f in fieldmap.values()))
  File ""/vagrant/grand3/web2py/gluon/sqlhtml.py"", line 3433, in <genexpr>
    tablemap = dict(((f.tablename, f.table) if isinstance(f, Field) else (f._table._tablename, f._table) for f in fieldmap.values()))
AttributeError: 'NoneType' object has no attribute '_tablename'
```

Was working until Version 2.15.4-stable+timestamp.2017.09.02.04.02.22 came out"
1818," fix include_meta for py35, added tests",2017-12-02T09:27:44Z,2017-12-02T19:01:13Z,,,,
1817,urllib not imported for pydal,2017-11-29T16:14:54Z,,,,,"Path: /web2py/gluon/packages/dal/pydal/base.py

Line 403 uses urllib in the lambda. Causes NameError: global name 'urllib' is not defined

""import urllib"" required"
1816,response.include_meta() bug,2017-11-28T04:03:55Z,2017-12-02T19:01:14Z,,,,"Hi!
I have a function in my modules

```python
    def set_open_graph(type=""website"", title=None, url=None, image=None, description=None, site_name=None, locale=None, locale_alternate={}):
        data = locals()
        for name in ['type', 'title', 'url', 'description', 'site_name', 'locale']:
            my_dict = {}
            if data[name]:
                my_dict['name'] = ""og:"" + name
                my_dict['content'] = data[name]
                current.response.meta['og_' + name] = my_dict
```

Then in my 'layout.html:

`{{response.include_meta()}}`

It produces follow code:

```html
<meta b'name'=""og:description"" b'content'=""My content"" />
<meta b'name'=""og:locale"" b'content'=""RU"" />
```

OS: Linux Mint 18.2 (Ubuntu 16.04),
Web2py 2.16.1-stable+timestamp.2017.11.14.05.54.25
(Running on Rocket 1.2.6, Python 3.5.2)  "
1815,[2.16.1] <type 'exceptions.AttributeError'> 'FieldVirtual' object has no attribute 'listable',2017-11-20T23:33:57Z,,,,,"Version windows EXE, 2.16.1-stable+timestamp.2017.11.14.05.54.25

Error in sqlform.grid with virtual field

> File ""C:\web2py_sitio\gluon\sqlhtml.py"", line 2453, in grid
>     columns = [f for f in fields if f.tablename in tablenames and f.listable]
> AttributeError: 'FieldVirtual' object has no attribute 'listable'

model:
>   table familiares
>   ------------
>     Field.Virtual('famedad', lambda row: fchsDifAnios(row.familiares.famnacfch, request.now.date())[0]),

>   table afifam
>   ------------
>     Field.Virtual('afifamedad',
>                        lambda row: db(db.familiares.id==row.afifam.famid).select().first().famedad,
>                        label='edad'

In web2py 2.15.4 run ok.




"
1814,Fix update_languages script (use application folder),2017-11-20T20:54:18Z,2017-11-22T20:51:20Z,,,,"Admittedly after preparing this script for others to use, I kind of forgot to test it...  Whoops!  This is an update that should fix the script and make Gluon happy.  Instead of taking the languages folder, it takes the application folder, to help resolve conflicts with Gluon.  The script was also originally configured to run with the language folder being the current working directory, and as such, the changes to the language files would never be saved."
