<<__future__>> <<19:761-771>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:824-837>> <<function>> <<SCOPE>> <<ANCHOR>>
<<_BUNDLED_METADATA>> <<26:1002-1019>> <<dict>> <<SCOPE>> <<ANCHOR>>
<<_system_six>> <<33:1149-1160>> <<None>> <<SCOPE>> <<ANCHOR>>
<<_system_six>> <<47:1626-1637>> <<bool>> <<SCOPE>> <<ANCHOR>>
<<six>> <<50:1670-1673>> <<bool>> <<SCOPE>> <<ANCHOR>>
<<six_py_file>> <<53:1727-1738>> <<str>> <<SCOPE>> <<ANCHOR>>
<<absolute_import>> <<19:780-795>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:797-805>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:807-821>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<35:1174-1185>> <<None>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<40:1363-1374>> <<None>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<42:1459-1470>> <<None>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<43:1512-1523>> <<None>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<44:1570-1581>> <<None>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<49:1652-1663>> <<{None||bool}>> <<VARIABLE>> <<LINK>>
<<_system_six>> <<50:1676-1687>> <<{None||bool}>> <<VARIABLE>> <<LINK>>
<<six>> <<53:1774-1777>> <<bool>> <<VARIABLE>> <<LINK>>
<<six_py_file>> <<54:1803-1814>> <<str>> <<VARIABLE>> <<LINK>>
