<<__future__>> <<19:758-768>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:821-834>> <<function>> <<SCOPE>> <<ANCHOR>>
<<RAW_PARAM_MODULES>> <<30:1150-1167>> <<list>> <<SCOPE>> <<ANCHOR>>
<<ModuleArgsParser>> <<43:1344-1360>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<90:2501-2509>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<_split_module_string>> <<95:2621-2641>> <<function>> <<METHOD>> <<ANCHOR>>
<<_handle_shell_weirdness>> <<110:3092-3115>> <<function>> <<METHOD>> <<ANCHOR>>
<<_normalize_parameters>> <<130:3832-3853>> <<function>> <<METHOD>> <<ANCHOR>>
<<_normalize_old_style_args>> <<181:6203-6228>> <<function>> <<METHOD>> <<ANCHOR>>
<<_normalize_new_style_args>> <<208:7433-7458>> <<function>> <<METHOD>> <<ANCHOR>>
<<parse>> <<245:8870-8875>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<90:2510-2514>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<task_ds>> <<90:2516-2523>> <<dict>> <<PARAMETER>> <<ANCHOR>>
<<_task_ds>> <<92:2589-2597>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<95:2642-2646>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<module_string>> <<95:2648-2661>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<tokens>> <<103:2910-2916>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<245:8876-8880>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<thing>> <<252:9125-9130>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<action>> <<254:9154-9160>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<delegate_to>> <<255:9182-9193>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<256:9244-9248>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<additional_args>> <<262:9504-9519>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<thing>> <<268:9748-9753>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<130:3854-3858>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<thing>> <<130:3860-3865>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<action>> <<130:3867-3873>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<additional_args>> <<130:3880-3895>> <<dict>> <<PARAMETER>> <<ANCHOR>>
<<final_args>> <<138:4213-4223>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<templar>> <<141:4338-4345>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<181:6229-6233>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<thing>> <<181:6235-6240>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<action>> <<181:6242-6248>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<args>> <<196:6872-6876>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<check_raw>> <<199:7024-7033>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<200:7097-7101>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<203:7260-7264>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<156:5164-5168>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<208:7459-7463>> <<ModuleArgsParser>> <<PARAMETER>> <<ANCHOR>>
<<thing>> <<208:7465-7470>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<action>> <<222:7947-7953>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<223:7970-7974>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<thing>> <<227:8141-8146>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<action>> <<229:8214-8220>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<230:8256-8260>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<action>> <<235:8464-8470>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<235:8472-8476>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<check_raw>> <<236:8526-8535>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<237:8599-8603>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<action>> <<158:5246-5252>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<158:5254-5258>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<tmp_args>> <<162:5414-5422>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tmp_args>> <<164:5519-5527>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<arg>> <<170:5814-5817>> <<?>> <<SCOPE>> <<ANCHOR>>
<<action>> <<269:9793-9799>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<args>> <<269:9801-9805>> <<dict>> <<VARIABLE>> <<ANCHOR>>
