<<__future__>> <<19:768-778>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:831-844>> <<function>> <<SCOPE>> <<ANCHOR>>
<<AnsibleDumper>> <<28:1048-1061>> <<type>> <<CLASS>> <<ANCHOR>>
<<represent_hostvars>> <<35:1213-1231>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<represent_unicode>> <<39:1305-1322>> <<?>> <<SCOPE>> <<ANCHOR>>
<<represent_unicode>> <<41:1384-1401>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<35:1232-1236>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<data>> <<35:1238-1242>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<absolute_import>> <<19:787-802>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:804-812>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:814-828>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<AnsibleDumper>> <<43:1458-1471>> <<type>> <<VARIABLE>> <<LINK>>
<<represent_unicode>> <<45:1515-1532>> <<?>> <<VARIABLE>> <<LINK>>
<<AnsibleDumper>> <<48:1540-1553>> <<type>> <<VARIABLE>> <<LINK>>
<<represent_hostvars>> <<50:1591-1609>> <<function>> <<VARIABLE>> <<LINK>>
<<AnsibleDumper>> <<53:1617-1630>> <<type>> <<VARIABLE>> <<LINK>>
<<AnsibleDumper>> <<58:1730-1743>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<36:1257-1261>> <<?>> <<VARIABLE>> <<LINK>>
<<data>> <<36:1282-1286>> <<?>> <<VARIABLE>> <<LINK>>
