<<__future__>> <<19:768-778>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:831-844>> <<function>> <<SCOPE>> <<ANCHOR>>
<<display>> <<33:1184-1191>> <<?>> <<SCOPE>> <<ANCHOR>>
<<__all__>> <<36:1209-1216>> <<list>> <<SCOPE>> <<ANCHOR>>
<<Playbook>> <<39:1243-1251>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<41:1264-1272>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<load>> <<50:1557-1561>> <<function>> <<METHOD>> <<ANCHOR>>
<<_load_playbook_data>> <<55:1766-1785>> <<function>> <<METHOD>> <<ANCHOR>>
<<get_loader>> <<95:3660-3670>> <<function>> <<METHOD>> <<ANCHOR>>
<<get_plays>> <<98:3718-3727>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<41:1273-1277>> <<Playbook>> <<PARAMETER>> <<ANCHOR>>
<<loader>> <<41:1279-1285>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<_entries>> <<44:1412-1420>> <<list>> <<ATTRIBUTE>> <<ANCHOR>>
<<_basedir>> <<45:1440-1448>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<_loader>> <<46:1477-1484>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_file_name>> <<47:1509-1519>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<55:1786-1790>> <<Playbook>> <<PARAMETER>> <<ANCHOR>>
<<file_name>> <<55:1792-1801>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<variable_manager>> <<55:1803-1819>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<_basedir>> <<58:1880-1888>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<_basedir>> <<60:1951-1959>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<_file_name>> <<65:2138-2148>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<68:2244-2248>> <<?>> <<SCOPE>> <<ANCHOR>>
<<obj>> <<68:2250-2253>> <<?>> <<SCOPE>> <<ANCHOR>>
<<plugin_path>> <<70:2328-2339>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<ds>> <<74:2493-2495>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<entry>> <<81:2868-2873>> <<?>> <<SCOPE>> <<ANCHOR>>
<<pb>> <<86:3106-3108>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<entry_obj>> <<92:3515-3524>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<95:3671-3675>> <<Playbook>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<98:3728-3732>> <<Playbook>> <<PARAMETER>> <<ANCHOR>>
<<file_name>> <<50:1562-1571>> <<Playbook>> <<PARAMETER>> <<ANCHOR>>
<<variable_manager>> <<50:1573-1589>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<loader>> <<50:1596-1602>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<pb>> <<51:1619-1621>> <<Playbook>> <<VARIABLE>> <<ANCHOR>>
<<absolute_import>> <<19:787-802>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:804-812>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:814-828>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<self>> <<44:1407-1411>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<self>> <<45:1435-1439>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<loader>> <<46:1488-1494>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<46:1472-1476>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1504-1508>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<file_name>> <<57:1850-1859>> <<?>> <<VARIABLE>> <<LINK>>
<<file_name>> <<58:1907-1916>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<58:1875-1879>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_basedir>> <<58:1880-1888>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<60:1992-1996>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_basedir>> <<60:1997-2005>> <<str>> <<VARIABLE>> <<LINK>>
<<file_name>> <<60:2023-2032>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<60:1946-1950>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_basedir>> <<60:1951-1959>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<63:2082-2086>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_loader>> <<63:2087-2094>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<63:2107-2111>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_basedir>> <<63:2112-2120>> <<str>> <<VARIABLE>> <<LINK>>
<<file_name>> <<65:2151-2160>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<65:2133-2137>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_file_name>> <<65:2138-2148>> <<None>> <<VARIABLE>> <<LINK>>
<<obj>> <<69:2299-2302>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<70:2355-2359>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_basedir>> <<70:2360-2368>> <<str>> <<VARIABLE>> <<LINK>>
<<obj>> <<70:2370-2373>> <<?>> <<VARIABLE>> <<LINK>>
<<plugin_path>> <<71:2416-2427>> <<str>> <<VARIABLE>> <<LINK>>
<<obj>> <<72:2451-2454>> <<?>> <<VARIABLE>> <<LINK>>
<<plugin_path>> <<72:2469-2480>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<74:2498-2502>> <<Playbook>> <<VARIABLE>> <<LINK>>
<<_loader>> <<74:2503-2510>> <<?>> <<VARIABLE>> <<LINK>>
<<file_name>> <<74:2543-2552>> <<?>> <<VARIABLE>> <<LINK>>
