<<__future__>> <<19:768-778>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:831-844>> <<function>> <<SCOPE>> <<ANCHOR>>
<<display>> <<30:1132-1139>> <<?>> <<SCOPE>> <<ANCHOR>>
<<Become>> <<32:1161-1167>> <<type>> <<CLASS>> <<ANCHOR>>
<<_become>> <<35:1203-1210>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_become_method>> <<36:1258-1272>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_become_user>> <<37:1315-1327>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<__init__>> <<39:1378-1386>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<_detect_privilege_escalation_conflict>> <<42:1452-1489>> <<function>> <<METHOD>> <<ANCHOR>>
<<_preprocess_data_become>> <<58:2284-2307>> <<function>> <<METHOD>> <<ANCHOR>>
<<set_become_defaults>> <<96:3657-3676>> <<function>> <<METHOD>> <<ANCHOR>>
<<_get_attr_become>> <<105:4087-4103>> <<function>> <<METHOD>> <<ANCHOR>>
<<_get_attr_become_method>> <<114:4387-4410>> <<function>> <<METHOD>> <<ANCHOR>>
<<_get_attr_become_user>> <<123:4715-4736>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<96:3677-3681>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<become>> <<96:3683-3689>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<become_method>> <<96:3691-3704>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<become_user>> <<96:3706-3717>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<become_method>> <<101:3946-3959>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<become_user>> <<103:4040-4051>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<39:1387-1391>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<123:4737-4741>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<42:1490-1494>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<42:1496-1498>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<has_become>> <<45:1584-1594>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<has_sudo>> <<46:1643-1651>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<has_su>> <<47:1699-1705>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<msg>> <<50:1781-1784>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<114:4411-4415>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<58:2308-2312>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<58:2314-2316>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<105:4104-4108>> <<Become>> <<PARAMETER>> <<ANCHOR>>
<<absolute_import>> <<19:787-802>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:804-812>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:814-828>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<become>> <<99:3882-3888>> <<?>> <<VARIABLE>> <<LINK>>
<<become_method>> <<100:3906-3919>> <<?>> <<VARIABLE>> <<LINK>>
<<become_user>> <<102:4002-4013>> <<?>> <<VARIABLE>> <<LINK>>
<<Become>> <<40:1416-1422>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1424-1428>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<127:4863-4867>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<128:4915-4919>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<130:4992-4996>> <<Become>> <<VARIABLE>> <<LINK>>
<<ds>> <<45:1609-1611>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<45:1631-1633>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<46:1666-1668>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<46:1687-1689>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<47:1720-1722>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<47:1739-1741>> <<?>> <<VARIABLE>> <<LINK>>
<<has_become>> <<49:1756-1766>> <<bool>> <<VARIABLE>> <<LINK>>
<<has_sudo>> <<51:1853-1861>> <<bool>> <<VARIABLE>> <<LINK>>
<<has_su>> <<53:1993-1999>> <<bool>> <<VARIABLE>> <<LINK>>
<<has_sudo>> <<55:2121-2129>> <<bool>> <<VARIABLE>> <<LINK>>
<<has_su>> <<55:2134-2140>> <<bool>> <<VARIABLE>> <<LINK>>
<<self>> <<118:4539-4543>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<119:4591-4595>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<121:4670-4674>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<66:2611-2615>> <<Become>> <<VARIABLE>> <<LINK>>
<<_detect_privilege_escalation_conflict>> <<66:2616-2653>> <<function>> <<VARIABLE>> <<LINK>>
<<ds>> <<66:2654-2656>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<69:2751-2753>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<69:2772-2774>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<70:2789-2791>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<71:2844-2846>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<72:2880-2882>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<72:2865-2867>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<73:2912-2914>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<75:2956-2958>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<76:2997-2999>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<76:2977-2979>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<77:3034-3036>> <<?>> <<VARIABLE>> <<LINK>>
<<display>> <<79:3065-3072>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<81:3209-3211>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<81:3228-3230>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<82:3245-3247>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<83:3296-3298>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<84:3332-3334>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<84:3317-3319>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<85:3362-3364>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<87:3402-3404>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<88:3443-3445>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<88:3423-3425>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<89:3478-3480>> <<?>> <<VARIABLE>> <<LINK>>
<<display>> <<91:3507-3514>> <<?>> <<VARIABLE>> <<LINK>>
<<ds>> <<94:3643-3645>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<109:4225-4229>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<110:4277-4281>> <<Become>> <<VARIABLE>> <<LINK>>
<<self>> <<112:4349-4353>> <<Become>> <<VARIABLE>> <<LINK>>
