<<__future__>> <<19:758-768>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:821-834>> <<function>> <<SCOPE>> <<ANCHOR>>
<<__all__>> <<33:1185-1192>> <<list>> <<SCOPE>> <<ANCHOR>>
<<RoleMetadata>> <<36:1223-1235>> <<type>> <<CLASS>> <<ANCHOR>>
<<_allow_duplicates>> <<42:1381-1398>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_dependencies>> <<43:1448-1461>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_galaxy_info>> <<44:1512-1524>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<__init__>> <<46:1576-1584>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<load>> <<51:1709-1713>> <<function>> <<METHOD>> <<ANCHOR>>
<<_load_dependencies>> <<62:2161-2179>> <<function>> <<METHOD>> <<ANCHOR>>
<<_load_galaxy_info>> <<80:2862-2879>> <<function>> <<METHOD>> <<ANCHOR>>
<<serialize>> <<89:3126-3135>> <<function>> <<METHOD>> <<ANCHOR>>
<<deserialize>> <<95:3295-3306>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<62:2180-2184>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<attr>> <<62:2186-2190>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<62:2192-2194>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<69:2385-2387>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<current_role_path>> <<71:2404-2421>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<current_role_path>> <<73:2467-2484>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<80:2880-2884>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<attr>> <<80:2886-2890>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<80:2892-2894>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<46:1585-1589>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<owner>> <<46:1591-1596>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<_owner>> <<47:1618-1624>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<89:3136-3140>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<data>> <<51:1714-1718>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<owner>> <<51:1720-1725>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<variable_manager>> <<51:1727-1743>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<loader>> <<51:1750-1756>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<m>> <<59:2036-2037>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<95:3307-3311>> <<RoleMetadata>> <<PARAMETER>> <<ANCHOR>>
<<data>> <<95:3313-3317>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<absolute_import>> <<19:777-792>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:794-802>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:804-818>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<ds>> <<68:2360-2362>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<72:2441-2445>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<self>> <<73:2503-2507>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<ds>> <<76:2582-2584>> <<{list||?}>> <<VARIABLE>> <<LINK>>
<<self>> <<76:2591-2595>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<current_role_path>> <<76:2628-2645>> <<{None||str}>> <<VARIABLE>> <<LINK>>
<<self>> <<76:2664-2668>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<self>> <<76:2695-2699>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<ds>> <<87:3112-3114>> <<?>> <<VARIABLE>> <<LINK>>
<<owner>> <<47:1627-1632>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1613-1617>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<RoleMetadata>> <<48:1648-1660>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<48:1662-1666>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<self>> <<91:3197-3201>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<_allow_duplicates>> <<91:3202-3219>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<92:3253-3257>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<_dependencies>> <<92:3258-3271>> <<?>> <<VARIABLE>> <<LINK>>
<<data>> <<56:1900-1904>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<RoleMetadata>> <<59:2040-2052>> <<type>> <<VARIABLE>> <<LINK>>
<<owner>> <<59:2059-2064>> <<?>> <<VARIABLE>> <<LINK>>
<<data>> <<59:2076-2080>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<variable_manager>> <<59:2099-2115>> <<None>> <<VARIABLE>> <<LINK>>
<<loader>> <<59:2124-2130>> <<None>> <<VARIABLE>> <<LINK>>
<<m>> <<60:2148-2149>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<96:3337-3341>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<data>> <<96:3363-3367>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<97:3417-3421>> <<RoleMetadata>> <<VARIABLE>> <<LINK>>
<<data>> <<97:3439-3443>> <<?>> <<VARIABLE>> <<LINK>>
