<<__future__>> <<19:768-778>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:831-844>> <<function>> <<SCOPE>> <<ANCHOR>>
<<Taggable>> <<29:1062-1070>> <<type>> <<CLASS>> <<ANCHOR>>
<<untagged>> <<31:1079-1087>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_tags>> <<32:1119-1124>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<__init__>> <<34:1204-1212>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<_load_tags>> <<37:1273-1283>> <<function>> <<METHOD>> <<ANCHOR>>
<<_get_attr_tags>> <<45:1529-1543>> <<function>> <<METHOD>> <<ANCHOR>>
<<evaluate_tags>> <<56:1885-1898>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<34:1213-1217>> <<Taggable>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<45:1544-1548>> <<Taggable>> <<PARAMETER>> <<ANCHOR>>
<<tags>> <<49:1652-1656>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<51:1723-1727>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<53:1798-1802>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<56:1899-1903>> <<Taggable>> <<PARAMETER>> <<ANCHOR>>
<<only_tags>> <<56:1905-1914>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<skip_tags>> <<56:1916-1925>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<all_vars>> <<56:1927-1935>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<should_run>> <<59:2042-2052>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<templar>> <<62:2098-2105>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<63:2170-2174>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<67:2314-2318>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<69:2386-2390>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<i>> <<71:2459-2460>> <<?>> <<SCOPE>> <<ANCHOR>>
<<_>> <<71:2461-2462>> <<?>> <<SCOPE>> <<ANCHOR>>
<<tags>> <<71:2441-2445>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<tags>> <<74:2575-2579>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<78:2636-2646>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<81:2731-2741>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<83:2816-2826>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<85:2918-2928>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<92:3153-3163>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<94:3239-3249>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<should_run>> <<96:3342-3352>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<37:1284-1288>> <<Taggable>> <<PARAMETER>> <<ANCHOR>>
<<attr>> <<37:1290-1294>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ds>> <<37:1296-1298>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<absolute_import>> <<19:787-802>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:804-812>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:814-828>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<Taggable>> <<35:1235-1243>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1245-1249>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<self>> <<49:1659-1663>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<tags>> <<50:1696-1700>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<52:1753-1757>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<self>> <<53:1805-1809>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<tags>> <<54:1869-1873>> <<{list||?}>> <<VARIABLE>> <<LINK>>
<<self>> <<61:2074-2078>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<self>> <<62:2123-2127>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<all_vars>> <<62:2147-2155>> <<?>> <<VARIABLE>> <<LINK>>
<<templar>> <<63:2177-2184>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<63:2194-2198>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<tags>> <<65:2238-2242>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<66:2271-2275>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<67:2325-2329>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<69:2398-2402>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<71:2484-2488>> <<?>> <<VARIABLE>> <<LINK>>
<<i>> <<71:2459-2460>> <<?>> <<VARIABLE>> <<LINK>>
<<_>> <<71:2461-2462>> <<?>> <<VARIABLE>> <<LINK>>
<<i>> <<71:2453-2454>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<74:2582-2586>> <<Taggable>> <<VARIABLE>> <<LINK>>
<<untagged>> <<74:2587-2595>> <<?>> <<VARIABLE>> <<LINK>>
<<only_tags>> <<76:2610-2619>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<80:2685-2689>> <<?>> <<VARIABLE>> <<LINK>>
<<only_tags>> <<80:2702-2711>> <<?>> <<VARIABLE>> <<LINK>>
<<tags>> <<82:2771-2775>> <<?>> <<VARIABLE>> <<LINK>>
