<<__future__>> <<17:727-737>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<18:790-803>> <<function>> <<SCOPE>> <<ANCHOR>>
<<LookupModule>> <<26:1006-1018>> <<type>> <<CLASS>> <<ANCHOR>>
<<_lookup_variables>> <<32:1177-1194>> <<function>> <<METHOD>> <<ANCHOR>>
<<run>> <<45:1581-1584>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<32:1195-1199>> <<LookupModule>> <<PARAMETER>> <<ANCHOR>>
<<terms>> <<32:1201-1206>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<results>> <<39:1363-1370>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<40:1389-1390>> <<?>> <<SCOPE>> <<ANCHOR>>
<<intermediate>> <<41:1414-1426>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<45:1585-1589>> <<LookupModule>> <<PARAMETER>> <<ANCHOR>>
<<terms>> <<45:1591-1596>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<variables>> <<45:1598-1607>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<None>> <<45:1608-1612>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<terms>> <<47:1636-1641>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<my_list>> <<49:1685-1692>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<53:1868-1869>> <<?>> <<SCOPE>> <<ANCHOR>>
<<absolute_import>> <<17:746-761>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<17:763-771>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<17:773-787>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<terms>> <<40:1394-1399>> <<?>> <<VARIABLE>> <<LINK>>
<<x>> <<41:1457-1458>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1468-1472>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1490-1494>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<results>> <<42:1517-1524>> <<list>> <<VARIABLE>> <<LINK>>
<<intermediate>> <<42:1532-1544>> <<?>> <<VARIABLE>> <<LINK>>
<<results>> <<43:1562-1569>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1644-1648>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<_lookup_variables>> <<47:1649-1666>> <<function>> <<VARIABLE>> <<LINK>>
<<terms>> <<47:1667-1672>> <<?>> <<VARIABLE>> <<LINK>>
<<terms>> <<49:1695-1700>> <<list>> <<VARIABLE>> <<LINK>>
<<my_list>> <<50:1720-1727>> <<list>> <<VARIABLE>> <<LINK>>
<<None>> <<53:1901-1905>> <<?>> <<VARIABLE>> <<LINK>>
<<my_list>> <<53:1882-1889>> <<list>> <<VARIABLE>> <<LINK>>
<<x>> <<53:1868-1869>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<53:1847-1851>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<x>> <<53:1861-1862>> <<?>> <<VARIABLE>> <<LINK>>
