<<__future__>> <<19:768-778>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:831-844>> <<function>> <<SCOPE>> <<ANCHOR>>
<<display>> <<32:1133-1140>> <<?>> <<SCOPE>> <<ANCHOR>>
<<StrategyModule>> <<35:1164-1178>> <<type>> <<CLASS>> <<ANCHOR>>
<<run>> <<37:1205-1208>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<37:1209-1213>> <<StrategyModule>> <<PARAMETER>> <<ANCHOR>>
<<iterator>> <<37:1215-1223>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<play_context>> <<37:1225-1237>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<last_host>> <<52:1943-1952>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<result>> <<54:1968-1974>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<work_to_do>> <<56:1993-2003>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<59:2106-2110>> <<?>> <<SCOPE>> <<ANCHOR>>
<<hosts_left>> <<59:2083-2093>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<result>> <<62:2345-2351>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<work_to_do>> <<65:2398-2408>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<starting_host>> <<66:2473-2486>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<host_results>> <<70:2703-2715>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<72:2763-2767>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<host_name>> <<74:2869-2878>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<state>> <<78:3041-3046>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<task>> <<78:3048-3052>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<work_to_do>> <<85:3505-3515>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<state>> <<93:3950-3955>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<task>> <<93:3957-3961>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<task_vars>> <<96:4090-4099>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<meta_action>> <<111:5281-5292>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<last_host>> <<130:6541-6550>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<last_host>> <<132:6630-6639>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<results>> <<138:6807-6814>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<e>> <<150:7304-7305>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<included_files>> <<142:6936-6950>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<154:7430-7434>> <<?>> <<SCOPE>> <<ANCHOR>>
<<all_blocks>> <<154:7397-7407>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<included_file>> <<155:7471-7484>> <<?>> <<SCOPE>> <<ANCHOR>>
<<e>> <<159:7754-7755>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<160:7786-7790>> <<?>> <<SCOPE>> <<ANCHOR>>
<<new_blocks>> <<158:7638-7648>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<new_block>> <<165:7987-7996>> <<?>> <<SCOPE>> <<ANCHOR>>
