<<__future__>> <<19:763-773>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<20:826-839>> <<function>> <<SCOPE>> <<ANCHOR>>
<<__all__>> <<25:928-935>> <<list>> <<SCOPE>> <<ANCHOR>>
<<AnsibleJ2Vars>> <<28:967-980>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<38:1400-1408>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__contains__>> <<54:2002-2014>> <<function>> <<METHOD>> <<ANCHOR>>
<<__getitem__>> <<66:2334-2345>> <<function>> <<METHOD>> <<ANCHOR>>
<<add_locals>> <<88:3250-3260>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<88:3261-3265>> <<AnsibleJ2Vars>> <<PARAMETER>> <<ANCHOR>>
<<locals>> <<88:3267-3273>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<38:1409-1413>> <<AnsibleJ2Vars>> <<PARAMETER>> <<ANCHOR>>
<<templar>> <<38:1415-1422>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<globals>> <<38:1424-1431>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<locals>> <<38:1433-1439>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<None>> <<38:1440-1444>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<_templar>> <<45:1680-1688>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_globals>> <<46:1713-1721>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_extras>> <<47:1746-1753>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<_locals>> <<48:1778-1785>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<key>> <<50:1851-1854>> <<?>> <<SCOPE>> <<ANCHOR>>
<<val>> <<50:1856-1859>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<54:2015-2019>> <<AnsibleJ2Vars>> <<PARAMETER>> <<ANCHOR>>
<<k>> <<54:2021-2022>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<i>> <<59:2172-2173>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<66:2346-2350>> <<AnsibleJ2Vars>> <<PARAMETER>> <<ANCHOR>>
<<varname>> <<66:2352-2359>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<i>> <<70:2529-2530>> <<?>> <<SCOPE>> <<ANCHOR>>
<<variable>> <<78:2808-2816>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<absolute_import>> <<19:782-797>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<19:799-807>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<19:809-823>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<locals>> <<93:3457-3463>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<94:3493-3497>> <<AnsibleJ2Vars>> <<VARIABLE>> <<LINK>>
<<AnsibleJ2Vars>> <<95:3514-3527>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<95:3528-3532>> <<AnsibleJ2Vars>> <<VARIABLE>> <<LINK>>
<<self>> <<95:3543-3547>> <<AnsibleJ2Vars>> <<VARIABLE>> <<LINK>>
<<locals>> <<95:3565-3571>> <<?>> <<VARIABLE>> <<LINK>>
