<<LoggingInfo>> <<22:1132-1143>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<24:1164-1172>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<28:1277-1289>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<31:1354-1364>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<24:1173-1177>> <<LoggingInfo>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<24:1179-1185>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<prefix>> <<24:1190-1196>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<25:1216-1222>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<prefix>> <<26:1246-1252>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<31:1365-1369>> <<LoggingInfo>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<31:1371-1375>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<31:1377-1382>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<31:1384-1394>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<33:1445-1451>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<prefix>> <<35:1510-1516>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<28:1290-1294>> <<LoggingInfo>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<28:1296-1300>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<28:1302-1307>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<28:1309-1319>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<25:1225-1231>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<25:1211-1215>> <<LoggingInfo>> <<VARIABLE>> <<LINK>>
<<prefix>> <<26:1255-1261>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<26:1241-1245>> <<LoggingInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<32:1409-1413>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<33:1454-1459>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1440-1444>> <<LoggingInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<34:1474-1478>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<35:1519-1524>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1505-1509>> <<LoggingInfo>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1561-1565>> <<LoggingInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<37:1567-1571>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<37:1573-1578>> <<?>> <<VARIABLE>> <<LINK>>
