<<SourceAttribute>> <<24:1207-1222>> <<type>> <<CLASS>> <<ANCHOR>>
<<ValidDataFunctions>> <<57:2637-2655>> <<tuple>> <<ATTRIBUTE>> <<ANCHOR>>
<<__init__>> <<59:2698-2706>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<data_function>> <<66:2890-2903>> <<function>> <<METHOD>> <<ANCHOR>>
<<data_function>> <<70:2985-2998>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<66:2904-2908>> <<SourceAttribute>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<59:2707-2711>> <<SourceAttribute>> <<PARAMETER>> <<ANCHOR>>
<<data_copy>> <<60:2728-2737>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<_data_function>> <<61:2757-2771>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<data_map>> <<62:2815-2823>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<data_trim_title>> <<63:2843-2858>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<67:2927-2931>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
<<self>> <<60:2723-2727>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
<<self>> <<61:2774-2778>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
<<ValidDataFunctions>> <<61:2779-2797>> <<tuple>> <<VARIABLE>> <<LINK>>
<<self>> <<61:2752-2756>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
<<self>> <<62:2810-2814>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
<<self>> <<63:2838-2842>> <<SourceAttribute>> <<VARIABLE>> <<LINK>>
