<<Schema>> <<25:1210-1216>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<40:1807-1815>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<43:1881-1889>> <<function>> <<METHOD>> <<ANCHOR>>
<<create>> <<51:2120-2126>> <<function>> <<METHOD>> <<ANCHOR>>
<<dict>> <<83:3143-3147>> <<function>> <<METHOD>> <<ANCHOR>>
<<hash_key_name>> <<87:3208-3221>> <<function>> <<METHOD>> <<ANCHOR>>
<<hash_key_type>> <<91:3317-3330>> <<function>> <<METHOD>> <<ANCHOR>>
<<range_key_name>> <<95:3426-3440>> <<function>> <<METHOD>> <<ANCHOR>>
<<range_key_type>> <<102:3628-3642>> <<function>> <<METHOD>> <<ANCHOR>>
<<__eq__>> <<108:3815-3821>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<43:1890-1894>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<s>> <<45:1943-1944>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<47:2035-2036>> <<{str||function}>> <<VARIABLE>> <<ANCHOR>>
<<cls>> <<51:2127-2130>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<hash_key>> <<51:2132-2140>> <<tuple>> <<PARAMETER>> <<ANCHOR>>
<<range_key>> <<51:2142-2151>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<reconstructed>> <<67:2655-2668>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<instance>> <<78:3031-3039>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<83:3148-3152>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<40:1816-1820>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<schema_dict>> <<40:1822-1833>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<_dict>> <<41:1850-1855>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<91:3331-3335>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<87:3222-3226>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<95:3441-3445>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<96:3457-3461>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<name>> <<98:3527-3531>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<102:3643-3647>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<type>> <<103:3659-3663>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<type>> <<105:3729-3733>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<108:3822-3826>> <<Schema>> <<PARAMETER>> <<ANCHOR>>
<<other>> <<108:3828-3833>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<44:1909-1913>> <<Schema>> <<VARIABLE>> <<LINK>>
