<<Activity>> <<25:1167-1175>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<26:1194-1202>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<38:1562-1570>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<44:1941-1953>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<47:2018-2028>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<38:1571-1575>> <<Activity>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<44:1954-1958>> <<Activity>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<44:1960-1964>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<44:1966-1971>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<44:1973-1983>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<47:2029-2033>> <<Activity>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<47:2035-2039>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<47:2041-2046>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<47:2048-2058>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<activity_id>> <<49:2113-2124>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<group_name>> <<51:2197-2207>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<start_time>> <<56:2408-2418>> <<type>> <<ATTRIBUTE>> <<ANCHOR>>
<<start_time>> <<54:2291-2301>> <<type>> <<ATTRIBUTE>> <<ANCHOR>>
<<end_time>> <<61:2656-2664>> <<type>> <<ATTRIBUTE>> <<ANCHOR>>
<<end_time>> <<59:2541-2549>> <<type>> <<ATTRIBUTE>> <<ANCHOR>>
<<progress>> <<63:2766-2774>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<cause>> <<65:2832-2837>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<description>> <<67:2901-2912>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<status_message>> <<69:2978-2992>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<status_code>> <<71:3055-3066>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<26:1203-1207>> <<Activity>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<26:1209-1219>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<27:1241-1251>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<start_time>> <<28:1279-1289>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
