<<Tag>> <<24:1207-1210>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<37:1702-1710>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<47:2115-2123>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<50:2196-2208>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<53:2266-2276>> <<function>> <<METHOD>> <<ANCHOR>>
<<build_params>> <<68:2794-2806>> <<function>> <<METHOD>> <<ANCHOR>>
<<delete>> <<83:3396-3402>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<37:1711-1715>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<37:1717-1727>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<key>> <<37:1734-1737>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<37:1744-1749>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<propagate_at_launch>> <<38:1774-1793>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<resource_id>> <<38:1801-1812>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<resource_type>> <<39:1837-1850>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<40:1888-1898>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<key>> <<41:1926-1929>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<value>> <<42:1950-1955>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<propagate_at_launch>> <<43:1978-1997>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<resource_id>> <<44:2034-2045>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<resource_type>> <<45:2074-2087>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<53:2277-2281>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<53:2283-2287>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<53:2289-2294>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<53:2296-2306>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<key>> <<55:2354-2357>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<value>> <<57:2415-2420>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<propagate_at_launch>> <<60:2535-2554>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<propagate_at_launch>> <<62:2603-2622>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<resource_id>> <<64:2685-2696>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<resource_type>> <<66:2761-2774>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<68:2807-2811>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<params>> <<68:2813-2819>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<i>> <<68:2821-2822>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<prefix>> <<73:2972-2978>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<83:3403-3407>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<50:2209-2213>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<50:2215-2219>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<50:2221-2226>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<50:2228-2238>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<47:2124-2128>> <<Tag>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<40:1901-1911>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1883-1887>> <<Tag>> <<VARIABLE>> <<LINK>>
<<key>> <<41:1932-1935>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1921-1925>> <<Tag>> <<VARIABLE>> <<LINK>>
<<value>> <<42:1958-1963>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1945-1949>> <<Tag>> <<VARIABLE>> <<LINK>>
<<propagate_at_launch>> <<43:2000-2019>> <<bool>> <<VARIABLE>> <<LINK>>
<<self>> <<43:1973-1977>> <<Tag>> <<VARIABLE>> <<LINK>>
<<resource_id>> <<44:2048-2059>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<44:2029-2033>> <<Tag>> <<VARIABLE>> <<LINK>>
<<resource_type>> <<45:2090-2103>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<45:2069-2073>> <<Tag>> <<VARIABLE>> <<LINK>>
<<name>> <<54:2321-2325>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<55:2360-2365>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<55:2349-2353>> <<Tag>> <<VARIABLE>> <<LINK>>
<<name>> <<56:2380-2384>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<57:2423-2428>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<57:2410-2414>> <<Tag>> <<VARIABLE>> <<LINK>>
<<name>> <<58:2443-2447>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<59:2488-2493>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<60:2530-2534>> <<Tag>> <<VARIABLE>> <<LINK>>
<<self>> <<62:2598-2602>> <<Tag>> <<VARIABLE>> <<LINK>>
<<propagate_at_launch>> <<62:2603-2622>> <<bool>> <<VARIABLE>> <<LINK>>
<<name>> <<63:2645-2649>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<64:2699-2704>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<64:2680-2684>> <<Tag>> <<VARIABLE>> <<LINK>>
<<name>> <<65:2719-2723>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<66:2777-2782>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<66:2756-2760>> <<Tag>> <<VARIABLE>> <<LINK>>
<<i>> <<73:3001-3002>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<74:3044-3048>> <<Tag>> <<VARIABLE>> <<LINK>>
<<resource_id>> <<74:3049-3060>> <<None>> <<VARIABLE>> <<LINK>>
<<params>> <<74:3012-3018>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<74:3019-3025>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<75:3104-3108>> <<Tag>> <<VARIABLE>> <<LINK>>
<<resource_type>> <<75:3109-3122>> <<str>> <<VARIABLE>> <<LINK>>
<<params>> <<75:3070-3076>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<75:3077-3083>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<76:3157-3161>> <<Tag>> <<VARIABLE>> <<LINK>>
<<key>> <<76:3162-3165>> <<None>> <<VARIABLE>> <<LINK>>
<<params>> <<76:3132-3138>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<76:3139-3145>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<77:3202-3206>> <<Tag>> <<VARIABLE>> <<LINK>>
<<value>> <<77:3207-3212>> <<None>> <<VARIABLE>> <<LINK>>
<<params>> <<77:3175-3181>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<77:3182-3188>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<78:3225-3229>> <<Tag>> <<VARIABLE>> <<LINK>>
<<propagate_at_launch>> <<78:3230-3249>> <<bool>> <<VARIABLE>> <<LINK>>
<<params>> <<79:3264-3270>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<79:3271-3277>> <<str>> <<VARIABLE>> <<LINK>>
<<params>> <<81:3338-3344>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<81:3345-3351>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<84:3426-3430>> <<Tag>> <<VARIABLE>> <<LINK>>
<<connection>> <<84:3431-3441>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<84:3455-3459>> <<Tag>> <<VARIABLE>> <<LINK>>
<<self>> <<48:2163-2167>> <<Tag>> <<VARIABLE>> <<LINK>>
<<key>> <<48:2168-2171>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<48:2173-2177>> <<Tag>> <<VARIABLE>> <<LINK>>
<<value>> <<48:2178-2183>> <<None>> <<VARIABLE>> <<LINK>>
<<key>> <<55:2354-2357>> <<None>> <<VARIABLE>> <<LINK>>
<<value>> <<57:2415-2420>> <<None>> <<VARIABLE>> <<LINK>>
<<propagate_at_launch>> <<60:2535-2554>> <<bool>> <<VARIABLE>> <<LINK>>
<<resource_id>> <<64:2685-2696>> <<None>> <<VARIABLE>> <<LINK>>
<<resource_type>> <<66:2761-2774>> <<str>> <<VARIABLE>> <<LINK>>
