<<SecurityGroup>> <<23:1128-1141>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<24:1160-1168>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<28:1263-1271>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<31:1362-1374>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<34:1432-1442>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<24:1169-1173>> <<SecurityGroup>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<24:1175-1185>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<25:1207-1211>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<owner_alias>> <<26:1233-1244>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<34:1443-1447>> <<SecurityGroup>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<34:1449-1453>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<34:1455-1460>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<34:1462-1472>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<36:1526-1530>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<owner_alias>> <<38:1593-1604>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<28:1272-1276>> <<SecurityGroup>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<31:1375-1379>> <<SecurityGroup>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<31:1381-1385>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<31:1387-1392>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<31:1394-1404>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<25:1202-1206>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<self>> <<26:1228-1232>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<name>> <<35:1487-1491>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<36:1533-1538>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<36:1521-1525>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<name>> <<37:1553-1557>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<38:1607-1612>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1588-1592>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<self>> <<29:1322-1326>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<name>> <<29:1327-1331>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<29:1333-1337>> <<SecurityGroup>> <<VARIABLE>> <<LINK>>
<<owner_alias>> <<29:1338-1349>> <<?>> <<VARIABLE>> <<LINK>>
