<<Group>> <<24:1181-1186>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<25:1205-1213>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<29:1295-1307>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<32:1372-1382>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<25:1214-1218>> <<Group>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<25:1220-1226>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<26:1248-1250>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<27:1272-1276>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<29:1308-1312>> <<Group>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<29:1314-1318>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<29:1320-1325>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<29:1327-1337>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<32:1383-1387>> <<Group>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<32:1389-1393>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<32:1395-1400>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<32:1402-1412>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<34:1464-1466>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<36:1528-1532>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<26:1243-1247>> <<Group>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1267-1271>> <<Group>> <<VARIABLE>> <<LINK>>
<<name>> <<33:1427-1431>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<34:1469-1474>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<34:1459-1463>> <<Group>> <<VARIABLE>> <<LINK>>
<<id>> <<34:1464-1466>> <<None>> <<VARIABLE>> <<LINK>>
<<name>> <<35:1489-1493>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<36:1535-1540>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<36:1523-1527>> <<Group>> <<VARIABLE>> <<LINK>>
<<name>> <<36:1528-1532>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1577-1581>> <<Group>> <<VARIABLE>> <<LINK>>
<<name>> <<38:1583-1587>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<38:1589-1594>> <<?>> <<VARIABLE>> <<LINK>>
