<<InstanceInfo>> <<23:1133-1145>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<28:1248-1256>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<37:1545-1553>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<40:1616-1628>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<43:1693-1703>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<37:1554-1558>> <<InstanceInfo>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<40:1629-1633>> <<InstanceInfo>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<40:1635-1639>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<40:1641-1646>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<40:1648-1658>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<43:1704-1708>> <<InstanceInfo>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<43:1710-1714>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<43:1716-1721>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<43:1723-1733>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<45:1812-1814>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<state>> <<47:1872-1877>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<28:1257-1261>> <<InstanceInfo>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<28:1263-1273>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<28:1280-1282>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<state>> <<28:1289-1294>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<33:1460-1470>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<34:1498-1500>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<state>> <<35:1520-1525>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<38:1597-1601>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<44:1748-1752>> <<?>> <<VARIABLE>> <<LINK>>
<<name>> <<44:1772-1776>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<45:1817-1822>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<45:1807-1811>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<46:1837-1841>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<47:1880-1885>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1867-1871>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<self>> <<49:1922-1926>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<name>> <<49:1928-1932>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<49:1934-1939>> <<?>> <<VARIABLE>> <<LINK>>
<<connection>> <<33:1473-1483>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1455-1459>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<id>> <<34:1503-1505>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<34:1493-1497>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<id>> <<34:1498-1500>> <<?>> <<VARIABLE>> <<LINK>>
<<state>> <<35:1528-1533>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1515-1519>> <<InstanceInfo>> <<VARIABLE>> <<LINK>>
<<state>> <<35:1520-1525>> <<?>> <<VARIABLE>> <<LINK>>
