<<User>> <<23:1102-1106>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<24:1125-1133>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<31:1308-1316>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<34:1359-1371>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<37:1436-1446>> <<function>> <<METHOD>> <<ANCHOR>>
<<to_xml>> <<45:1661-1667>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<24:1134-1138>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<24:1140-1146>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<24:1153-1155>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<24:1160-1164>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<owner>> <<26:1210-1215>> <<User>> <<ATTRIBUTE>> <<ANCHOR>>
<<type>> <<27:1237-1241>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<28:1263-1265>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<29:1285-1289>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<37:1447-1451>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<37:1453-1457>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<37:1459-1464>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<37:1466-1476>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<39:1525-1529>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<41:1584-1586>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<31:1317-1321>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<45:1668-1672>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<element_name>> <<45:1674-1686>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<s>> <<47:1733-1734>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<49:1810-1811>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<50:1845-1846>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<52:1910-1911>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<53:1954-1955>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<34:1372-1376>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<34:1378-1382>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<34:1384-1389>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<34:1391-1401>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<25:1182-1188>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<26:1218-1222>> <<User>> <<VARIABLE>> <<LINK>>
<<parent>> <<26:1203-1209>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1232-1236>> <<User>> <<VARIABLE>> <<LINK>>
<<id>> <<28:1268-1270>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<28:1258-1262>> <<User>> <<VARIABLE>> <<LINK>>
<<name>> <<29:1292-1296>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<29:1280-1284>> <<User>> <<VARIABLE>> <<LINK>>
<<name>> <<38:1491-1495>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<39:1532-1537>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<39:1520-1524>> <<User>> <<VARIABLE>> <<LINK>>
<<name>> <<39:1525-1529>> <<str>> <<VARIABLE>> <<LINK>>
<<name>> <<40:1552-1556>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<41:1589-1594>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1579-1583>> <<User>> <<VARIABLE>> <<LINK>>
<<id>> <<41:1584-1586>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<43:1631-1635>> <<User>> <<VARIABLE>> <<LINK>>
