<<SummaryMap>> <<24:1176-1186>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<26:1205-1213>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<30:1304-1316>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<33:1374-1384>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<30:1317-1321>> <<SummaryMap>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<30:1323-1327>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<30:1329-1334>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<30:1336-1346>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<33:1385-1389>> <<SummaryMap>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<33:1391-1395>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<33:1397-1402>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<33:1404-1414>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<_name>> <<35:1462-1467>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<26:1214-1218>> <<SummaryMap>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<26:1220-1226>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<27:1248-1254>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<34:1429-1433>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<35:1470-1475>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1457-1461>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<name>> <<36:1490-1494>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<40:1640-1645>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1621-1625>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1626-1630>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<_name>> <<40:1631-1636>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<38:1565-1570>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1542-1546>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1547-1551>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<_name>> <<38:1552-1557>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1682-1686>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<name>> <<42:1688-1692>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<42:1694-1699>> <<?>> <<VARIABLE>> <<LINK>>
<<parent>> <<27:1257-1263>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1243-1247>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
<<self>> <<28:1287-1291>> <<SummaryMap>> <<VARIABLE>> <<LINK>>
