<<Price>> <<22:1131-1136>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<24:1157-1165>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<29:1326-1334>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<35:1480-1492>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<38:1557-1567>> <<function>> <<METHOD>> <<ANCHOR>>
<<get_as_params>> <<46:1841-1854>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<24:1166-1170>> <<Price>> <<PARAMETER>> <<ANCHOR>>
<<amount>> <<24:1172-1178>> <<MTurkConnection>> <<PARAMETER>> <<ANCHOR>>
<<currency_code>> <<24:1184-1197>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<amount>> <<25:1220-1226>> <<MTurkConnection>> <<ATTRIBUTE>> <<ANCHOR>>
<<currency_code>> <<26:1250-1263>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<formatted_price>> <<27:1294-1309>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<46:1855-1859>> <<Price>> <<PARAMETER>> <<ANCHOR>>
<<label>> <<46:1861-1866>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<ord>> <<46:1868-1871>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<38:1568-1572>> <<Price>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<38:1574-1578>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<38:1580-1585>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<38:1587-1597>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<amount>> <<40:1648-1654>> <<float>> <<ATTRIBUTE>> <<ANCHOR>>
<<currency_code>> <<42:1726-1739>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<formatted_price>> <<44:1806-1821>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<35:1493-1497>> <<Price>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<35:1499-1503>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<35:1505-1510>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<35:1512-1522>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<29:1335-1339>> <<Price>> <<PARAMETER>> <<ANCHOR>>
<<amount>> <<25:1229-1235>> <<MTurkConnection>> <<VARIABLE>> <<LINK>>
<<self>> <<25:1215-1219>> <<Price>> <<VARIABLE>> <<LINK>>
<<currency_code>> <<26:1266-1279>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<26:1245-1249>> <<Price>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1289-1293>> <<Price>> <<VARIABLE>> <<LINK>>
<<label>> <<47:1909-1914>> <<str>> <<VARIABLE>> <<LINK>>
<<ord>> <<47:1916-1919>> <<int>> <<VARIABLE>> <<LINK>>
<<label>> <<48:1980-1985>> <<str>> <<VARIABLE>> <<LINK>>
<<ord>> <<48:1987-1990>> <<int>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1927-1931>> <<Price>> <<VARIABLE>> <<LINK>>
<<amount>> <<47:1932-1938>> <<MTurkConnection>> <<VARIABLE>> <<LINK>>
<<self>> <<48:1994-1998>> <<Price>> <<VARIABLE>> <<LINK>>
<<currency_code>> <<48:1999-2012>> <<str>> <<VARIABLE>> <<LINK>>
<<name>> <<39:1612-1616>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<40:1663-1668>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1643-1647>> <<Price>> <<VARIABLE>> <<LINK>>
<<name>> <<41:1684-1688>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<42:1742-1747>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1721-1725>> <<Price>> <<VARIABLE>> <<LINK>>
<<name>> <<43:1762-1766>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<44:1824-1829>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<44:1801-1805>> <<Price>> <<VARIABLE>> <<LINK>>
<<self>> <<30:1354-1358>> <<Price>> <<VARIABLE>> <<LINK>>
<<formatted_price>> <<30:1359-1374>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<31:1396-1400>> <<Price>> <<VARIABLE>> <<LINK>>
<<formatted_price>> <<31:1401-1416>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1456-1460>> <<Price>> <<VARIABLE>> <<LINK>>
<<amount>> <<33:1461-1467>> <<float>> <<VARIABLE>> <<LINK>>
