<<DBSnapshot>> <<22:1131-1141>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<49:3186-3194>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<71:3924-3932>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<74:3993-4005>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<77:4063-4073>> <<function>> <<METHOD>> <<ANCHOR>>
<<update>> <<119:5653-5659>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<49:3195-3199>> <<DBSnapshot>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<49:3201-3211>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<49:3218-3220>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<50:3242-3252>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<51:3280-3282>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<engine>> <<52:3302-3308>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<engine_version>> <<53:3330-3344>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<snapshot_create_time>> <<54:3366-3386>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<instance_create_time>> <<55:3408-3428>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<port>> <<56:3450-3454>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<status>> <<57:3476-3482>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<availability_zone>> <<58:3504-3521>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<master_username>> <<59:3543-3558>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<allocated_storage>> <<60:3580-3597>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<instance_id>> <<61:3619-3630>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<availability_zone>> <<62:3652-3669>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<license_model>> <<63:3691-3704>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<iops>> <<64:3726-3730>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<option_group_name>> <<65:3752-3769>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<percent_progress>> <<66:3791-3807>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<snapshot_type>> <<67:3829-3842>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<source_region>> <<68:3864-3877>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<vpc_id>> <<69:3899-3905>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<71:3933-3937>> <<DBSnapshot>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<77:4074-4078>> <<DBSnapshot>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<77:4080-4084>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<77:4086-4091>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<77:4093-4103>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<engine>> <<79:4154-4160>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<engine_version>> <<81:4226-4240>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<instance_create_time>> <<83:4311-4331>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<snapshot_create_time>> <<85:4402-4422>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<instance_id>> <<87:4495-4506>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<89:4579-4581>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<port>> <<91:4638-4642>> <<int>> <<ATTRIBUTE>> <<ANCHOR>>
