<<VPCSecurityGroupMembership>> <<27:1184-1210>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<68:2635-2643>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<73:2812-2820>> <<function>> <<METHOD>> <<ANCHOR>>
<<startElement>> <<76:2904-2916>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<79:2974-2984>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<76:2917-2921>> <<VPCSecurityGroupMembership>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<76:2923-2927>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<76:2929-2934>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<76:2936-2946>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<68:2644-2648>> <<VPCSecurityGroupMembership>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<68:2650-2660>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<status>> <<68:2667-2673>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<vpc_group>> <<68:2680-2689>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<69:2711-2721>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<status>> <<70:2749-2755>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<vpc_group>> <<71:2779-2788>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<79:2985-2989>> <<VPCSecurityGroupMembership>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<79:2991-2995>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<79:2997-3002>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<79:3004-3014>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<vpc_group>> <<81:3077-3086>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<status>> <<83:3145-3151>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<73:2821-2825>> <<VPCSecurityGroupMembership>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<69:2724-2734>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<69:2706-2710>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<status>> <<70:2758-2764>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<70:2744-2748>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<vpc_group>> <<71:2791-2800>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<71:2774-2778>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<name>> <<80:3029-3033>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<81:3089-3094>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<81:3072-3076>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<name>> <<82:3109-3113>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<83:3154-3159>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<83:3140-3144>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<self>> <<85:3196-3200>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<name>> <<85:3202-3206>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<85:3208-3213>> <<?>> <<VARIABLE>> <<LINK>>
<<status>> <<70:2749-2755>> <<?>> <<VARIABLE>> <<LINK>>
<<vpc_group>> <<71:2779-2788>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<74:2878-2882>> <<VPCSecurityGroupMembership>> <<VARIABLE>> <<LINK>>
<<vpc_group>> <<74:2883-2892>> <<None>> <<VARIABLE>> <<LINK>>
