<<HostedZone>> <<26:1203-1213>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<28:1234-1242>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<36:1506-1518>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<39:1583-1593>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<28:1243-1247>> <<HostedZone>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<28:1249-1251>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<28:1258-1262>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<owner>> <<28:1269-1274>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<version>> <<28:1281-1288>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<caller_reference>> <<29:1313-1329>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<30:1351-1353>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<31:1373-1377>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<owner>> <<32:1399-1404>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<version>> <<33:1427-1434>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<caller_reference>> <<34:1459-1475>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<39:1594-1598>> <<HostedZone>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<39:1600-1604>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<39:1606-1611>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<39:1613-1623>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<41:1670-1672>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<43:1729-1733>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<owner>> <<45:1791-1796>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<version>> <<47:1856-1863>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<caller_reference>> <<49:1931-1947>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<36:1519-1523>> <<HostedZone>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<36:1525-1529>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<36:1531-1536>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<36:1538-1548>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<30:1356-1358>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<30:1346-1350>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<name>> <<31:1380-1384>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<31:1368-1372>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<owner>> <<32:1407-1412>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<32:1394-1398>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<version>> <<33:1437-1444>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1422-1426>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<caller_reference>> <<34:1478-1494>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<34:1454-1458>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<name>> <<40:1638-1642>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<41:1675-1680>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1665-1669>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<id>> <<41:1670-1672>> <<None>> <<VARIABLE>> <<LINK>>
<<name>> <<42:1695-1699>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<43:1736-1741>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<43:1724-1728>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<name>> <<43:1729-1733>> <<None>> <<VARIABLE>> <<LINK>>
<<name>> <<44:1756-1760>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<45:1799-1804>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<45:1786-1790>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<owner>> <<45:1791-1796>> <<None>> <<VARIABLE>> <<LINK>>
<<name>> <<46:1819-1823>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<47:1866-1871>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1851-1855>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<version>> <<47:1856-1863>> <<None>> <<VARIABLE>> <<LINK>>
<<name>> <<48:1886-1890>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<49:1950-1955>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<49:1926-1930>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<caller_reference>> <<49:1931-1947>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<51:1992-1996>> <<HostedZone>> <<VARIABLE>> <<LINK>>
<<name>> <<51:1998-2002>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<51:2004-2009>> <<?>> <<VARIABLE>> <<LINK>>
