<<Status>> <<25:1182-1188>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<26:1207-1215>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<update>> <<35:1587-1593>> <<function>> <<METHOD>> <<ANCHOR>>
<<__repr__>> <<41:1822-1830>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<26:1216-1220>> <<Status>> <<PARAMETER>> <<ANCHOR>>
<<route53connection>> <<26:1222-1239>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<change_dict>> <<26:1241-1252>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<route53connection>> <<27:1269-1286>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<key>> <<28:1320-1323>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<41:1831-1835>> <<Status>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<35:1594-1598>> <<Status>> <<PARAMETER>> <<ANCHOR>>
<<status>> <<37:1661-1667>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<status>> <<38:1772-1778>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<route53connection>> <<27:1289-1306>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1264-1268>> <<Status>> <<VARIABLE>> <<LINK>>
<<change_dict>> <<28:1327-1338>> <<None>> <<VARIABLE>> <<LINK>>
<<key>> <<29:1356-1359>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<30:1386-1390>> <<Status>> <<VARIABLE>> <<LINK>>
<<key>> <<30:1403-1406>> <<?>> <<VARIABLE>> <<LINK>>
<<change_dict>> <<31:1450-1461>> <<None>> <<VARIABLE>> <<LINK>>
<<key>> <<31:1462-1465>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1528-1532>> <<Status>> <<VARIABLE>> <<LINK>>
<<key>> <<33:1545-1548>> <<?>> <<VARIABLE>> <<LINK>>
<<change_dict>> <<33:1558-1569>> <<None>> <<VARIABLE>> <<LINK>>
<<key>> <<33:1570-1573>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1870-1874>> <<Status>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1670-1674>> <<Status>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1704-1708>> <<Status>> <<VARIABLE>> <<LINK>>
<<status>> <<38:1781-1787>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1767-1771>> <<Status>> <<VARIABLE>> <<LINK>>
<<status>> <<39:1804-1810>> <<?>> <<VARIABLE>> <<LINK>>
