<<Prefix>> <<22:1132-1138>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<23:1157-1165>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<27:1264-1276>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<30:1341-1351>> <<function>> <<METHOD>> <<ANCHOR>>
<<provider>> <<37:1526-1534>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<30:1352-1356>> <<Prefix>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<30:1358-1362>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<30:1364-1369>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<30:1371-1381>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<32:1432-1436>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<23:1166-1170>> <<Prefix>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<23:1172-1178>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<23:1185-1189>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<bucket>> <<24:1211-1217>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<name>> <<25:1241-1245>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<27:1277-1281>> <<Prefix>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<27:1283-1287>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<27:1289-1294>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<27:1296-1306>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<37:1535-1539>> <<Prefix>> <<PARAMETER>> <<ANCHOR>>
<<provider>> <<38:1551-1559>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<provider>> <<40:1632-1640>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<name>> <<31:1396-1400>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<32:1439-1444>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<32:1427-1431>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<self>> <<34:1481-1485>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<name>> <<34:1487-1491>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<34:1493-1498>> <<?>> <<VARIABLE>> <<LINK>>
<<bucket>> <<24:1220-1226>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<24:1206-1210>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<name>> <<25:1248-1252>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<25:1236-1240>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<self>> <<39:1579-1583>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<self>> <<39:1595-1599>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1643-1647>> <<Prefix>> <<VARIABLE>> <<LINK>>
<<provider>> <<41:1691-1699>> <<{None||?}>> <<VARIABLE>> <<LINK>>
