<<User>> <<22:1131-1135>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<23:1154-1162>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<30:1361-1373>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<33:1438-1448>> <<function>> <<METHOD>> <<ANCHOR>>
<<to_xml>> <<41:1678-1684>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<23:1163-1167>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<23:1169-1175>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<id>> <<23:1182-1184>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<display_name>> <<23:1189-1201>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<owner>> <<25:1247-1252>> <<User>> <<ATTRIBUTE>> <<ANCHOR>>
<<type>> <<26:1274-1278>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<27:1300-1302>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<display_name>> <<28:1322-1334>> <<str>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<30:1374-1378>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<30:1380-1384>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<30:1386-1391>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<30:1393-1403>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<33:1449-1453>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<33:1455-1459>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<33:1461-1466>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<33:1468-1478>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<display_name>> <<35:1534-1546>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<id>> <<37:1601-1603>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<41:1685-1689>> <<User>> <<PARAMETER>> <<ANCHOR>>
<<element_name>> <<41:1691-1703>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<s>> <<43:1750-1751>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<45:1831-1832>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<46:1866-1867>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<47:1904-1905>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<48:1970-1971>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<parent>> <<24:1219-1225>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<25:1255-1259>> <<User>> <<VARIABLE>> <<LINK>>
<<parent>> <<25:1240-1246>> <<None>> <<VARIABLE>> <<LINK>>
<<owner>> <<25:1247-1252>> <<{User||User}>> <<VARIABLE>> <<LINK>>
<<self>> <<26:1269-1273>> <<User>> <<VARIABLE>> <<LINK>>
<<id>> <<27:1305-1307>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1295-1299>> <<User>> <<VARIABLE>> <<LINK>>
<<display_name>> <<28:1337-1349>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<28:1317-1321>> <<User>> <<VARIABLE>> <<LINK>>
<<name>> <<34:1493-1497>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<35:1549-1554>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1529-1533>> <<User>> <<VARIABLE>> <<LINK>>
<<display_name>> <<35:1534-1546>> <<str>> <<VARIABLE>> <<LINK>>
<<name>> <<36:1569-1573>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<37:1606-1611>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1596-1600>> <<User>> <<VARIABLE>> <<LINK>>
<<id>> <<37:1601-1603>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<39:1648-1652>> <<User>> <<VARIABLE>> <<LINK>>
<<name>> <<39:1654-1658>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<39:1660-1665>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1726-1730>> <<User>> <<VARIABLE>> <<LINK>>
<<type>> <<42:1731-1735>> <<None>> <<VARIABLE>> <<LINK>>
<<element_name>> <<43:1778-1790>> <<str>> <<VARIABLE>> <<LINK>>
<<self>> <<43:1792-1796>> <<User>> <<VARIABLE>> <<LINK>>
<<type>> <<43:1797-1801>> <<None>> <<VARIABLE>> <<LINK>>
<<element_name>> <<45:1844-1856>> <<str>> <<VARIABLE>> <<LINK>>
<<s>> <<46:1866-1867>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<self>> <<46:1887-1891>> <<User>> <<VARIABLE>> <<LINK>>
<<id>> <<46:1892-1894>> <<?>> <<VARIABLE>> <<LINK>>
<<s>> <<47:1904-1905>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<self>> <<47:1943-1947>> <<User>> <<VARIABLE>> <<LINK>>
<<display_name>> <<47:1948-1960>> <<?>> <<VARIABLE>> <<LINK>>
<<s>> <<48:1970-1971>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<element_name>> <<48:1985-1997>> <<str>> <<VARIABLE>> <<LINK>>
<<s>> <<49:2014-2015>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
