<<Submitter>> <<25:1157-1166>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<27:1187-1195>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<get_key_name>> <<34:1480-1492>> <<function>> <<METHOD>> <<ANCHOR>>
<<write_message>> <<39:1636-1649>> <<function>> <<METHOD>> <<ANCHOR>>
<<submit_file>> <<47:1917-1928>> <<function>> <<METHOD>> <<ANCHOR>>
<<submit_path>> <<56:2312-2323>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<47:1929-1933>> <<Submitter>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<47:1935-1939>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<metadata>> <<47:1941-1949>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<cb>> <<47:1956-1958>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<num_cb>> <<47:1965-1971>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<prefix>> <<47:1975-1981>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<metadata>> <<49:2027-2035>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<34:1493-1497>> <<Submitter>> <<PARAMETER>> <<ANCHOR>>
<<fullpath>> <<34:1499-1507>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<prefix>> <<34:1509-1515>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<key_name>> <<35:1527-1535>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<l>> <<36:1570-1571>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<key_name>> <<50:2050-2058>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<k>> <<51:2102-2103>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<39:1650-1654>> <<Submitter>> <<PARAMETER>> <<ANCHOR>>
<<key>> <<39:1656-1659>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<metadata>> <<39:1661-1669>> <<dict>> <<PARAMETER>> <<ANCHOR>>
<<m>> <<41:1709-1710>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<56:2324-2328>> <<Submitter>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<56:2330-2334>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<tags>> <<56:2336-2340>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<ignore_dirs>> <<56:2347-2358>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<cb>> <<56:2365-2367>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<num_cb>> <<56:2374-2380>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<status>> <<56:2384-2390>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<prefix>> <<56:2398-2404>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<57:2420-2424>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<58:2461-2465>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<59:2502-2506>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<total>> <<60:2540-2545>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<metadata>> <<61:2559-2567>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<l>> <<64:2637-2638>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<t>> <<65:2657-2658>> <<?>> <<SCOPE>> <<ANCHOR>>
<<root>> <<71:2916-2920>> <<str>> <<SCOPE>> <<ANCHOR>>
<<dirs>> <<71:2922-2926>> <<str>> <<SCOPE>> <<ANCHOR>>
<<files>> <<71:2928-2933>> <<str>> <<SCOPE>> <<ANCHOR>>
<<ignore>> <<73:3010-3016>> <<?>> <<SCOPE>> <<ANCHOR>>
<<file>> <<76:3147-3151>> <<str>> <<SCOPE>> <<ANCHOR>>
<<fullpath>> <<77:3183-3191>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<total>> <<81:3409-3414>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<total>> <<84:3527-3532>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<27:1196-1200>> <<Submitter>> <<PARAMETER>> <<ANCHOR>>
<<sd>> <<27:1202-1204>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<sd>> <<28:1221-1223>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<input_bucket>> <<29:1243-1255>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<output_bucket>> <<30:1304-1317>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<output_domain>> <<31:1367-1380>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<queue>> <<32:1430-1435>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<metadata>> <<48:2004-2012>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<50:2061-2065>> <<Submitter>> <<VARIABLE>> <<LINK>>
<<get_key_name>> <<50:2066-2078>> <<function>> <<VARIABLE>> <<LINK>>
<<path>> <<50:2079-2083>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<50:2085-2091>> <<str>> <<VARIABLE>> <<LINK>>
<<fullpath>> <<35:1538-1546>> <<?>> <<VARIABLE>> <<LINK>>
<<prefix>> <<35:1551-1557>> <<str>> <<VARIABLE>> <<LINK>>
<<key_name>> <<36:1574-1582>> <<?>> <<VARIABLE>> <<LINK>>
<<l>> <<37:1622-1623>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<51:2106-2110>> <<Submitter>> <<VARIABLE>> <<LINK>>
<<key_name>> <<51:2132-2140>> <<str>> <<VARIABLE>> <<LINK>>
<<k>> <<52:2151-2152>> <<?>> <<VARIABLE>> <<LINK>>
<<metadata>> <<52:2169-2177>> <<{dict||None}>> <<VARIABLE>> <<LINK>>
<<k>> <<53:2188-2189>> <<?>> <<VARIABLE>> <<LINK>>
