<<Attributes>> <<26:1188-1198>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<28:1221-1229>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<startElement>> <<33:1354-1366>> <<function>> <<METHOD>> <<ANCHOR>>
<<endElement>> <<36:1424-1434>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<28:1230-1234>> <<Attributes>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<28:1236-1242>> <<RawMessage>> <<PARAMETER>> <<ANCHOR>>
<<parent>> <<29:1259-1265>> <<RawMessage>> <<ATTRIBUTE>> <<ANCHOR>>
<<current_key>> <<30:1289-1300>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<current_value>> <<31:1322-1335>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<33:1367-1371>> <<Attributes>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<33:1373-1377>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attrs>> <<33:1379-1384>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<33:1386-1396>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<36:1435-1439>> <<Attributes>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<36:1441-1445>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<value>> <<36:1447-1452>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<connection>> <<36:1454-1464>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<current_key>> <<40:1605-1616>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<current_value>> <<42:1674-1687>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<parent>> <<29:1268-1274>> <<RawMessage>> <<VARIABLE>> <<LINK>>
<<self>> <<29:1254-1258>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<self>> <<30:1284-1288>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<self>> <<31:1317-1321>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<name>> <<37:1479-1483>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1538-1542>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1513-1517>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1518-1522>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<name>> <<39:1571-1575>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<40:1619-1624>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<40:1600-1604>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<name>> <<41:1639-1643>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<42:1690-1695>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<42:1669-1673>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<self>> <<44:1732-1736>> <<Attributes>> <<VARIABLE>> <<LINK>>
<<name>> <<44:1738-1742>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<44:1744-1749>> <<?>> <<VARIABLE>> <<LINK>>
<<current_key>> <<30:1289-1300>> <<?>> <<VARIABLE>> <<LINK>>
<<current_value>> <<31:1322-1335>> <<?>> <<VARIABLE>> <<LINK>>
