<<subprocess>> <<8:301-311>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<VERSION>> <<12:374-381>> <<tuple>> <<SCOPE>> <<ANCHOR>>
<<git_sha>> <<15:416-423>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<get_version>> <<31:854-865>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<form>> <<31:866-870>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<versions>> <<49:1652-1660>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<branch>> <<50:1671-1677>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<tertiary>> <<51:1720-1728>> <<{str||int}>> <<VARIABLE>> <<ANCHOR>>
<<type_>> <<52:1747-1752>> <<{str||int}>> <<VARIABLE>> <<ANCHOR>>
<<final>> <<53:1771-1776>> <<bool>> <<VARIABLE>> <<ANCHOR>>
<<type_num>> <<54:1803-1811>> <<{str||int}>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<55:1857-1858>> <<{str||list}>> <<SCOPE>> <<ANCHOR>>
<<firsts>> <<55:1830-1836>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<61:1947-1948>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<63:1996-1997>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<65:2049-2050>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<67:2096-2097>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<71:2163-2164>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<73:2201-2202>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<76:2280-2281>> <<{str||tuple||int}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<78:2347-2348>> <<{str||tuple||int}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<82:2418-2419>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<84:2456-2457>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<87:2535-2536>> <<{str||tuple||int}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<89:2602-2603>> <<{str||tuple||int}>> <<VARIABLE>> <<ANCHOR>>
<<v>> <<91:2643-2644>> <<{str||tuple}>> <<VARIABLE>> <<ANCHOR>>
<<__version__>> <<101:2881-2892>> <<dict>> <<SCOPE>> <<ANCHOR>>
<<loc>> <<16:432-435>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<p>> <<18:484-485>> <<Popen>> <<VARIABLE>> <<ANCHOR>>
<<Popen>> <<8:319-324>> <<type>> <<VARIABLE>> <<LINK>>
<<PIPE>> <<8:326-330>> <<int>> <<VARIABLE>> <<LINK>>
<<get_version>> <<101:2895-2906>> <<function>> <<VARIABLE>> <<LINK>>
<<VERSION>> <<50:1691-1698>> <<tuple>> <<VARIABLE>> <<LINK>>
<<VERSION>> <<50:1703-1710>> <<tuple>> <<VARIABLE>> <<LINK>>
<<VERSION>> <<51:1731-1738>> <<tuple>> <<VARIABLE>> <<LINK>>
<<VERSION>> <<52:1755-1762>> <<tuple>> <<VARIABLE>> <<LINK>>
<<type_>> <<53:1780-1785>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<VERSION>> <<54:1814-1821>> <<tuple>> <<VARIABLE>> <<LINK>>
<<type_>> <<55:1862-1867>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<x>> <<55:1857-1858>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<x>> <<55:1848-1849>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<branch>> <<58:1920-1926>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<versions>> <<58:1899-1907>> <<dict>> <<VARIABLE>> <<LINK>>
<<branch>> <<61:1951-1957>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<tertiary>> <<62:1967-1975>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<final>> <<62:1979-1984>> <<bool>> <<VARIABLE>> <<LINK>>
<<v>> <<63:1996-1997>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<tertiary>> <<63:2011-2019>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<final>> <<64:2033-2038>> <<bool>> <<VARIABLE>> <<LINK>>
<<v>> <<65:2049-2050>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<firsts>> <<65:2054-2060>> <<str>> <<VARIABLE>> <<LINK>>
<<type_num>> <<66:2073-2081>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<67:2096-2097>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<type_num>> <<67:2105-2113>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<68:2140-2141>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<versions>> <<68:2120-2128>> <<dict>> <<VARIABLE>> <<LINK>>
<<branch>> <<71:2167-2173>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<tertiary>> <<72:2182-2190>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<73:2201-2202>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<tertiary>> <<73:2216-2224>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<final>> <<74:2238-2243>> <<bool>> <<VARIABLE>> <<LINK>>
<<type_num>> <<75:2257-2265>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<76:2280-2281>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
