<<py3compat>> <<12:468-477>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<uniq_stable>> <<14:499-510>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<flatten>> <<27:936-943>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<chop>> <<33:1092-1096>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<elems>> <<14:511-516>> <<list>> <<PARAMETER>> <<ANCHOR>>
<<seen>> <<23:846-850>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<24:878-879>> <<str>> <<SCOPE>> <<ANCHOR>>
<<seq>> <<27:944-947>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<subseq>> <<30:1048-1054>> <<?>> <<SCOPE>> <<ANCHOR>>
<<x>> <<30:1066-1067>> <<?>> <<SCOPE>> <<ANCHOR>>
<<seq>> <<33:1097-1100>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<size>> <<33:1102-1106>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<i>> <<35:1198-1199>> <<int>> <<SCOPE>> <<ANCHOR>>
<<xrange>> <<12:485-491>> <<function>> <<VARIABLE>> <<LINK>>
<<elems>> <<24:883-888>> <<list>> <<VARIABLE>> <<LINK>>
<<x>> <<24:892-893>> <<str>> <<VARIABLE>> <<LINK>>
<<seen>> <<24:901-905>> <<?>> <<VARIABLE>> <<LINK>>
<<seen>> <<24:914-918>> <<?>> <<VARIABLE>> <<LINK>>
<<x>> <<24:923-924>> <<str>> <<VARIABLE>> <<LINK>>
<<x>> <<24:878-879>> <<str>> <<VARIABLE>> <<LINK>>
<<x>> <<24:872-873>> <<str>> <<VARIABLE>> <<LINK>>
<<seq>> <<30:1058-1061>> <<?>> <<VARIABLE>> <<LINK>>
<<subseq>> <<30:1048-1054>> <<?>> <<VARIABLE>> <<LINK>>
<<subseq>> <<30:1071-1077>> <<?>> <<VARIABLE>> <<LINK>>
<<x>> <<30:1066-1067>> <<?>> <<VARIABLE>> <<LINK>>
<<x>> <<30:1042-1043>> <<?>> <<VARIABLE>> <<LINK>>
<<xrange>> <<35:1203-1209>> <<function>> <<VARIABLE>> <<LINK>>
<<seq>> <<35:1216-1219>> <<?>> <<VARIABLE>> <<LINK>>
<<size>> <<35:1221-1225>> <<int>> <<VARIABLE>> <<LINK>>
<<i>> <<35:1198-1199>> <<int>> <<VARIABLE>> <<LINK>>
<<seq>> <<35:1180-1183>> <<?>> <<VARIABLE>> <<LINK>>
<<i>> <<35:1184-1185>> <<int>> <<VARIABLE>> <<LINK>>
<<i>> <<35:1186-1187>> <<int>> <<VARIABLE>> <<LINK>>
<<size>> <<35:1188-1192>> <<int>> <<VARIABLE>> <<LINK>>
