<<ImpactCalculator>> <<19:493-509>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<21:530-538>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<cache_relations>> <<34:978-993>> <<function>> <<METHOD>> <<ANCHOR>>
<<get_all_children>> <<48:1635-1651>> <<function>> <<METHOD>> <<ANCHOR>>
<<get_all_children_rec>> <<54:1875-1895>> <<function>> <<METHOD>> <<ANCHOR>>
<<find_affected_nodes>> <<66:2260-2279>> <<function>> <<METHOD>> <<ANCHOR>>
<<add_edge>> <<73:2475-2483>> <<function>> <<METHOD>> <<ANCHOR>>
<<build_graph>> <<89:3092-3103>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<73:2484-2488>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<type_>> <<73:2490-2495>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<parent_id>> <<73:2497-2506>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<child_id>> <<73:2508-2516>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<from_>> <<76:2654-2659>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<to>> <<77:2685-2687>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<from_>> <<80:2782-2787>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<to>> <<81:2812-2814>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<48:1652-1656>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<34:994-998>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<cached_relations>> <<37:1134-1150>> <<defaultdict>> <<ATTRIBUTE>> <<ANCHOR>>
<<relation>> <<38:1184-1192>> <<?>> <<SCOPE>> <<ANCHOR>>
<<visited_nodes>> <<51:1783-1796>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<54:1896-1900>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<node>> <<54:1902-1906>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<stack>> <<55:1918-1923>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<visited>> <<56:1942-1949>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<node>> <<58:1994-1998>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<child>> <<59:2030-2035>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<21:539-543>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<root_ci>> <<21:545-552>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<relation_types>> <<21:554-568>> <<list>> <<PARAMETER>> <<ANCHOR>>
<<root_ci>> <<22:588-595>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<default_relation_types>> <<23:615-637>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<relation_types>> <<29:834-848>> <<list>> <<ATTRIBUTE>> <<ANCHOR>>
<<relation_types>> <<31:907-921>> <<list>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<89:3104-3108>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<ci_contains>> <<91:3159-3170>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<ci_is_part_of>> <<93:3242-3255>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ci_is_required>> <<94:3320-3334>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ci_requires>> <<99:3524-3535>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ci_is_role>> <<104:3726-3736>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ci_has_role>> <<108:3867-3878>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<ci_service>> <<112:4010-4020>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<graph>> <<119:4333-4338>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<relation>> <<122:4457-4465>> <<?>> <<SCOPE>> <<ANCHOR>>
<<parent>> <<123:4495-4501>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<child>> <<124:4536-4541>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<type_>> <<125:4575-4580>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<relation>> <<128:4664-4672>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<66:2280-2284>> <<ImpactCalculator>> <<PARAMETER>> <<ANCHOR>>
<<ci_id>> <<66:2286-2291>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<search_tree>> <<68:2321-2332>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<pre>> <<68:2334-2337>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<type_>> <<74:2531-2536>> <<?>> <<VARIABLE>> <<LINK>>
<<parent_id>> <<76:2662-2671>> <<?>> <<VARIABLE>> <<LINK>>
<<child_id>> <<77:2690-2698>> <<?>> <<VARIABLE>> <<LINK>>
<<child_id>> <<80:2790-2798>> <<?>> <<VARIABLE>> <<LINK>>
<<parent_id>> <<81:2817-2826>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<84:2924-2928>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<from_>> <<84:2945-2950>> <<?>> <<VARIABLE>> <<LINK>>
<<to>> <<84:2952-2954>> <<?>> <<VARIABLE>> <<LINK>>
<<type_>> <<84:2964-2969>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<50:1746-1750>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<cache_relations>> <<50:1751-1766>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1129-1133>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1354-1358>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<cached_relations>> <<41:1359-1375>> <<defaultdict>> <<VARIABLE>> <<LINK>>
<<relation>> <<41:1376-1384>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<42:1439-1447>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<43:1492-1500>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<44:1543-1551>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<45:1588-1596>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<51:1778-1782>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<self>> <<52:1821-1825>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
