<<Migration>> <<8:145-154>> <<type>> <<CLASS>> <<ANCHOR>>
<<forwards>> <<10:184-192>> <<function>> <<METHOD>> <<ANCHOR>>
<<backwards>> <<22:714-723>> <<function>> <<METHOD>> <<ANCHOR>>
<<models>> <<30:977-983>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<complete_apps>> <<-1:34906-34919>> <<list>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<22:724-728>> <<Migration>> <<PARAMETER>> <<ANCHOR>>
<<orm>> <<22:730-733>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<10:193-197>> <<Migration>> <<PARAMETER>> <<ANCHOR>>
<<orm>> <<10:199-202>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<13:342-346>> <<Migration>> <<VARIABLE>> <<LINK>>
<<self>> <<18:587-591>> <<Migration>> <<VARIABLE>> <<LINK>>
