<<Migration>> <<10:197-206>> <<type>> <<CLASS>> <<ANCHOR>>
<<no_dry_run>> <<12:232-242>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<forwards>> <<14:261-269>> <<function>> <<METHOD>> <<ANCHOR>>
<<backwards>> <<28:918-927>> <<function>> <<METHOD>> <<ANCHOR>>
<<models>> <<33:1067-1073>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<complete_apps>> <<-1:52814-52827>> <<list>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<14:270-274>> <<Migration>> <<PARAMETER>> <<ANCHOR>>
<<orm>> <<14:276-279>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<devices>> <<21:580-587>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<device>> <<22:641-647>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<28:928-932>> <<Migration>> <<PARAMETER>> <<ANCHOR>>
<<orm>> <<28:934-937>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<17:418-422>> <<Migration>> <<VARIABLE>> <<LINK>>
<<orm>> <<21:590-593>> <<?>> <<VARIABLE>> <<LINK>>
<<devices>> <<22:651-658>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<23:676-682>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<23:713-719>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:796-802>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:842-848>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:770-776>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<25:891-897>> <<?>> <<VARIABLE>> <<LINK>>
