<<splunk>> <<19:492-498>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<splunk>> <<20:516-522>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<percent>> <<22:559-566>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<percent>> <<27:704-711>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<hosts>> <<28:735-740>> <<dict>> <<VARIABLE>> <<ANCHOR>>
<<total_mb>> <<29:751-759>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<item>> <<30:773-777>> <<?>> <<SCOPE>> <<ANCHOR>>
<<host>> <<31:806-810>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<mb>> <<32:835-837>> <<float>> <<VARIABLE>> <<ANCHOR>>
<<total_mb>> <<33:871-879>> <<{float||int}>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<40:1093-1097>> <<?>> <<SCOPE>> <<ANCHOR>>
<<usage>> <<40:1099-1104>> <<?>> <<SCOPE>> <<ANCHOR>>
<<ip>> <<41:1136-1138>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<dev>> <<47:1404-1407>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<name>> <<53:1624-1628>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<symbol>> <<54:1664-1670>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<model>> <<55:1697-1702>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<created>> <<55:1704-1711>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<res>> <<61:1870-1873>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<created>> <<61:1875-1882>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<splunk>> <<21:539-545>> <<?>> <<VARIABLE>> <<LINK>>
<<splunk>> <<22:569-575>> <<?>> <<VARIABLE>> <<LINK>>
<<percent>> <<23:596-603>> <<?>> <<VARIABLE>> <<LINK>>
<<percent>> <<25:662-669>> <<?>> <<VARIABLE>> <<LINK>>
<<splunk>> <<27:714-720>> <<?>> <<VARIABLE>> <<LINK>>
<<splunk>> <<30:781-787>> <<?>> <<VARIABLE>> <<LINK>>
<<item>> <<31:813-817>> <<?>> <<VARIABLE>> <<LINK>>
<<item>> <<32:846-850>> <<?>> <<VARIABLE>> <<LINK>>
<<total_mb>> <<33:871-879>> <<int>> <<VARIABLE>> <<LINK>>
<<mb>> <<33:883-885>> <<float>> <<VARIABLE>> <<LINK>>
<<host>> <<34:898-902>> <<?>> <<VARIABLE>> <<LINK>>
<<hosts>> <<34:906-911>> <<dict>> <<VARIABLE>> <<LINK>>
<<hosts>> <<35:926-931>> <<dict>> <<VARIABLE>> <<LINK>>
<<host>> <<35:932-936>> <<?>> <<VARIABLE>> <<LINK>>
<<mb>> <<35:941-943>> <<float>> <<VARIABLE>> <<LINK>>
<<mb>> <<37:986-988>> <<float>> <<VARIABLE>> <<LINK>>
<<hosts>> <<37:972-977>> <<dict>> <<VARIABLE>> <<LINK>>
<<host>> <<37:978-982>> <<?>> <<VARIABLE>> <<LINK>>
<<hosts>> <<39:1036-1041>> <<dict>> <<VARIABLE>> <<LINK>>
<<total_mb>> <<39:1058-1066>> <<{float||int}>> <<VARIABLE>> <<LINK>>
<<hosts>> <<40:1108-1113>> <<dict>> <<VARIABLE>> <<LINK>>
<<host>> <<41:1187-1191>> <<?>> <<VARIABLE>> <<LINK>>
<<ip>> <<43:1246-1248>> <<?>> <<VARIABLE>> <<LINK>>
<<host>> <<45:1334-1338>> <<?>> <<VARIABLE>> <<LINK>>
<<ip>> <<47:1410-1412>> <<?>> <<VARIABLE>> <<LINK>>
<<dev>> <<48:1439-1442>> <<?>> <<VARIABLE>> <<LINK>>
<<host>> <<50:1520-1524>> <<?>> <<VARIABLE>> <<LINK>>
<<symbol>> <<57:1793-1799>> <<str>> <<VARIABLE>> <<LINK>>
<<name>> <<58:1819-1823>> <<str>> <<VARIABLE>> <<LINK>>
<<dev>> <<62:1943-1946>> <<?>> <<VARIABLE>> <<LINK>>
<<model>> <<64:2011-2016>> <<?>> <<VARIABLE>> <<LINK>>
<<usage>> <<66:2050-2055>> <<?>> <<VARIABLE>> <<LINK>>
<<res>> <<66:2039-2042>> <<?>> <<VARIABLE>> <<LINK>>
<<res>> <<67:2065-2068>> <<?>> <<VARIABLE>> <<LINK>>
