<<Command>> <<19:405-412>> <<type>> <<CLASS>> <<ANCHOR>>
<<help>> <<23:466-470>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<requires_model_validation>> <<24:511-536>> <<bool>> <<ATTRIBUTE>> <<ANCHOR>>
<<handle>> <<26:555-561>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<26:562-566>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<filename>> <<26:568-576>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<args>> <<26:579-583>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<data>> <<27:606-610>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<key>> <<28:668-671>> <<?>> <<SCOPE>> <<ANCHOR>>
<<info>> <<28:673-677>> <<?>> <<SCOPE>> <<ANCHOR>>
<<mac>> <<31:776-779>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<entry>> <<32:857-862>> <<?>> <<SCOPE>> <<ANCHOR>>
<<addresses>> <<34:946-955>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<addresses>> <<36:1049-1058>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<address>> <<37:1090-1097>> <<?>> <<SCOPE>> <<ANCHOR>>
<<entry>> <<39:1190-1195>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<filename>> <<27:632-640>> <<?>> <<VARIABLE>> <<LINK>>
<<data>> <<28:681-685>> <<?>> <<VARIABLE>> <<LINK>>
<<key>> <<29:719-722>> <<?>> <<VARIABLE>> <<LINK>>
<<info>> <<31:808-812>> <<?>> <<VARIABLE>> <<LINK>>
<<mac>> <<32:895-898>> <<?>> <<VARIABLE>> <<LINK>>
<<entry>> <<33:918-923>> <<?>> <<VARIABLE>> <<LINK>>
<<info>> <<34:958-962>> <<?>> <<VARIABLE>> <<LINK>>
<<addresses>> <<35:1014-1023>> <<?>> <<VARIABLE>> <<LINK>>
<<addresses>> <<36:1062-1071>> <<?>> <<VARIABLE>> <<LINK>>
<<addresses>> <<37:1101-1110>> <<{list||?}>> <<VARIABLE>> <<LINK>>
<<address>> <<38:1158-1165>> <<?>> <<VARIABLE>> <<LINK>>
<<mac>> <<38:1167-1170>> <<?>> <<VARIABLE>> <<LINK>>
<<address>> <<39:1211-1218>> <<?>> <<VARIABLE>> <<LINK>>
<<mac>> <<39:1232-1235>> <<?>> <<VARIABLE>> <<LINK>>
<<entry>> <<40:1254-1259>> <<?>> <<VARIABLE>> <<LINK>>
