<<servertree>> <<14:304-314>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<request>> <<14:315-322>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<hostname>> <<14:324-332>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<response>> <<15:345-353>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<qs>> <<16:364-366>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<qs>> <<18:438-440>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<device>> <<19:492-498>> <<?>> <<SCOPE>> <<ANCHOR>>
<<ip>> <<20:536-538>> <<?>> <<SCOPE>> <<ANCHOR>>
<<hostname>> <<17:419-427>> <<None>> <<VARIABLE>> <<LINK>>
<<qs>> <<18:443-445>> <<?>> <<VARIABLE>> <<LINK>>
<<hostname>> <<18:473-481>> <<None>> <<VARIABLE>> <<LINK>>
<<qs>> <<19:502-504>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<20:542-548>> <<?>> <<VARIABLE>> <<LINK>>
<<response>> <<21:605-613>> <<list>> <<VARIABLE>> <<LINK>>
<<ip>> <<22:649-651>> <<?>> <<VARIABLE>> <<LINK>>
<<ip>> <<22:664-666>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:752-758>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:728-734>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<24:777-783>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<25:821-827>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<26:873-879>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<27:945-951>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<27:920-926>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<29:1050-1056>> <<?>> <<VARIABLE>> <<LINK>>
<<device>> <<29:1031-1037>> <<?>> <<VARIABLE>> <<LINK>>
<<response>> <<31:1104-1112>> <<list>> <<VARIABLE>> <<LINK>>
