<<get_device_components>> <<11:233-254>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<ralph_device_id>> <<11:255-270>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ralph_device>> <<14:371-383>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<components>> <<18:525-535>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<processor>> <<19:581-590>> <<?>> <<SCOPE>> <<ANCHOR>>
<<memory>> <<23:734-740>> <<?>> <<SCOPE>> <<ANCHOR>>
<<storage>> <<27:877-884>> <<?>> <<SCOPE>> <<ANCHOR>>
<<ethernet>> <<32:1059-1067>> <<?>> <<SCOPE>> <<ANCHOR>>
<<fibrechannel>> <<37:1244-1256>> <<?>> <<SCOPE>> <<ANCHOR>>
<<ralph_device_id>> <<14:408-423>> <<?>> <<VARIABLE>> <<LINK>>
<<ralph_device>> <<18:538-550>> <<?>> <<VARIABLE>> <<LINK>>
<<components>> <<19:594-604>> <<?>> <<VARIABLE>> <<LINK>>
<<processor>> <<21:684-693>> <<?>> <<VARIABLE>> <<LINK>>
<<components>> <<23:744-754>> <<?>> <<VARIABLE>> <<LINK>>
<<memory>> <<25:830-836>> <<?>> <<VARIABLE>> <<LINK>>
<<components>> <<27:888-898>> <<?>> <<VARIABLE>> <<LINK>>
<<storage>> <<29:976-983>> <<?>> <<VARIABLE>> <<LINK>>
<<storage>> <<30:1019-1026>> <<?>> <<VARIABLE>> <<LINK>>
<<components>> <<32:1071-1081>> <<?>> <<VARIABLE>> <<LINK>>
<<ethernet>> <<34:1168-1176>> <<?>> <<VARIABLE>> <<LINK>>
<<ethernet>> <<35:1202-1210>> <<?>> <<VARIABLE>> <<LINK>>
<<components>> <<37:1260-1270>> <<?>> <<VARIABLE>> <<LINK>>
<<fibrechannel>> <<39:1353-1365>> <<?>> <<VARIABLE>> <<LINK>>
