<<Command>> <<18:421-428>> <<type>> <<CLASS>> <<ANCHOR>>
<<help>> <<21:484-488>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<option_list>> <<23:562-573>> <<tuple>> <<ATTRIBUTE>> <<ANCHOR>>
<<handle>> <<48:1222-1228>> <<function>> <<METHOD>> <<ANCHOR>>
<<select_demos>> <<71:1938-1950>> <<function>> <<METHOD>> <<ANCHOR>>
<<flush>> <<85:2534-2539>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<48:1229-1233>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<args>> <<48:1236-1240>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<flush>> <<49:1263-1268>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<fixtures>> <<50:1301-1309>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<interactive>> <<51:1345-1356>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<package>> <<52:1399-1406>> <<?>> <<SCOPE>> <<ANCHOR>>
<<demo>> <<56:1536-1540>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<85:2540-2544>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<71:1951-1955>> <<Command>> <<PARAMETER>> <<ANCHOR>>
<<keys>> <<74:2065-2069>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<pos>> <<75:2088-2091>> <<?>> <<SCOPE>> <<ANCHOR>>
<<key>> <<75:2094-2097>> <<?>> <<SCOPE>> <<ANCHOR>>
<<demo>> <<75:2099-2103>> <<?>> <<SCOPE>> <<ANCHOR>>
<<choices>> <<80:2345-2352>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<choices>> <<82:2456-2463>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<idx>> <<83:2507-2510>> <<?>> <<SCOPE>> <<ANCHOR>>
<<selected>> <<60:1631-1639>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<demo>> <<63:1729-1733>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<demo>> <<65:1794-1798>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<demo>> <<67:1850-1854>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<package>> <<55:1512-1519>> <<?>> <<VARIABLE>> <<LINK>>
<<flush>> <<57:1560-1565>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<58:1580-1584>> <<Command>> <<VARIABLE>> <<LINK>>
<<flush>> <<58:1585-1590>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<87:2598-2602>> <<Command>> <<VARIABLE>> <<LINK>>
<<self>> <<89:2697-2701>> <<Command>> <<VARIABLE>> <<LINK>>
<<interactive>> <<59:1605-1616>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<60:1642-1646>> <<Command>> <<VARIABLE>> <<LINK>>
<<select_demos>> <<60:1647-1659>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<76:2158-2162>> <<Command>> <<VARIABLE>> <<LINK>>
<<pos>> <<77:2231-2234>> <<?>> <<VARIABLE>> <<LINK>>
<<demo>> <<77:2236-2240>> <<?>> <<VARIABLE>> <<LINK>>
<<demo>> <<77:2248-2252>> <<?>> <<VARIABLE>> <<LINK>>
<<demo>> <<77:2269-2273>> <<?>> <<VARIABLE>> <<LINK>>
<<keys>> <<79:2319-2323>> <<list>> <<VARIABLE>> <<LINK>>
<<key>> <<79:2331-2334>> <<?>> <<VARIABLE>> <<LINK>>
<<choices>> <<81:2428-2435>> <<?>> <<VARIABLE>> <<LINK>>
<<choices>> <<82:2467-2474>> <<?>> <<VARIABLE>> <<LINK>>
<<choices>> <<83:2514-2521>> <<{list||?}>> <<VARIABLE>> <<LINK>>
<<idx>> <<83:2507-2510>> <<?>> <<VARIABLE>> <<LINK>>
<<keys>> <<83:2493-2497>> <<list>> <<VARIABLE>> <<LINK>>
<<idx>> <<83:2498-2501>> <<?>> <<VARIABLE>> <<LINK>>
<<selected>> <<61:1682-1690>> <<list>> <<VARIABLE>> <<LINK>>
<<selected>> <<63:1747-1755>> <<list>> <<VARIABLE>> <<LINK>>
<<fixtures>> <<64:1771-1779>> <<?>> <<VARIABLE>> <<LINK>>
<<fixtures>> <<65:1812-1820>> <<?>> <<VARIABLE>> <<LINK>>
<<demo>> <<68:1897-1901>> <<?>> <<VARIABLE>> <<LINK>>
<<demo>> <<69:1916-1920>> <<?>> <<VARIABLE>> <<LINK>>
