<<__future__>> <<1:5-15>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<url_attrs>> <<7:127-136>> <<list>> <<SCOPE>> <<ANCHOR>>
<<Url>> <<10:214-217>> <<type>> <<CLASS>> <<ANCHOR>>
<<slots>> <<15:372-377>> <<tuple>> <<ATTRIBUTE>> <<ANCHOR>>
<<__new__>> <<17:394-401>> <<function>> <<METHOD>> <<ANCHOR>>
<<hostname>> <<25:747-755>> <<function>> <<METHOD>> <<ANCHOR>>
<<request_uri>> <<30:895-906>> <<function>> <<METHOD>> <<ANCHOR>>
<<netloc>> <<40:1126-1132>> <<function>> <<METHOD>> <<ANCHOR>>
<<url>> <<47:1324-1327>> <<function>> <<METHOD>> <<ANCHOR>>
<<__str__>> <<86:2656-2663>> <<function>> <<METHOD>> <<ANCHOR>>
<<split_first>> <<90:2705-2716>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<parse_url>> <<123:3588-3597>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<get_host>> <<212:5938-5946>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<url>> <<123:3598-3601>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<scheme>> <<149:4481-4487>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<auth>> <<150:4500-4504>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<151:4517-4521>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<port>> <<152:4534-4538>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<153:4551-4555>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<fragment>> <<154:4568-4576>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<query>> <<155:4589-4594>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<scheme>> <<159:4649-4655>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<159:4657-4660>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<s>> <<90:2717-2718>> <<{str||list}>> <<PARAMETER>> <<ANCHOR>>
<<delims>> <<90:2720-2726>> <<list>> <<PARAMETER>> <<ANCHOR>>
<<min_idx>> <<106:3226-3233>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<min_delim>> <<107:3246-3255>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<d>> <<108:3272-3273>> <<str>> <<SCOPE>> <<ANCHOR>>
<<idx>> <<109:3294-3297>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<min_idx>> <<114:3414-3421>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<min_delim>> <<115:3441-3450>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<167:4903-4907>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<176:5097-5101>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<176:5103-5106>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<177:5136-5140>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<_host>> <<181:5191-5196>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<port>> <<181:5198-5202>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<184:5260-5264>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<port>> <<190:5438-5442>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<port>> <<193:5549-5553>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<host>> <<196:5600-5604>> <<{str||list}>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<203:5748-5752>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<fragment>> <<203:5754-5762>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<path>> <<207:5829-5833>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<query>> <<207:5835-5840>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<86:2664-2668>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<url>> <<163:4792-4795>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<path_>> <<163:4797-4802>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<delim>> <<163:4804-4809>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<auth>> <<172:5012-5016>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<172:5018-5021>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<212:5947-5950>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<p>> <<216:6025-6026>> <<Url>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<47:1328-1332>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<url>> <<66:2088-2091>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<70:2232-2235>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<72:2297-2300>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<74:2358-2361>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<76:2413-2416>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<78:2479-2482>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<80:2535-2538>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<url>> <<82:2601-2604>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<25:756-760>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<40:1133-1137>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<30:907-911>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<uri>> <<32:980-983>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<uri>> <<35:1054-1057>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<cls>> <<17:402-405>> <<Url>> <<PARAMETER>> <<ANCHOR>>
<<scheme>> <<17:407-413>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<auth>> <<17:420-424>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<host>> <<17:431-435>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<port>> <<17:442-446>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<17:453-457>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<query>> <<18:481-486>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<fragment>> <<18:493-501>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<path>> <<20:569-573>> <<str>> <<VARIABLE>> <<ANCHOR>>
<<absolute_import>> <<1:23-38>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<url_attrs>> <<10:236-245>> <<list>> <<VARIABLE>> <<LINK>>
<<url>> <<145:4430-4433>> <<str>> <<VARIABLE>> <<LINK>>
<<Url>> <<147:4468-4471>> <<type>> <<VARIABLE>> <<LINK>>
<<url>> <<158:4635-4638>> <<str>> <<VARIABLE>> <<LINK>>
<<url>> <<159:4663-4666>> <<str>> <<VARIABLE>> <<LINK>>
<<split_first>> <<163:4812-4823>> <<function>> <<VARIABLE>> <<LINK>>
<<url>> <<163:4824-4827>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<delims>> <<108:3277-3283>> <<list>> <<VARIABLE>> <<LINK>>
<<s>> <<109:3300-3301>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<d>> <<109:3307-3308>> <<str>> <<VARIABLE>> <<LINK>>
<<idx>> <<110:3322-3325>> <<int>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<113:3367-3374>> <<None>> <<VARIABLE>> <<LINK>>
<<idx>> <<113:3386-3389>> <<int>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<113:3392-3399>> <<None>> <<VARIABLE>> <<LINK>>
<<idx>> <<114:3424-3427>> <<int>> <<VARIABLE>> <<LINK>>
<<d>> <<115:3453-3454>> <<str>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<117:3465-3472>> <<{int||None}>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<117:3484-3491>> <<{int||None}>> <<VARIABLE>> <<LINK>>
<<s>> <<118:3513-3514>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<s>> <<120:3539-3540>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<120:3542-3549>> <<{int||None}>> <<VARIABLE>> <<LINK>>
<<s>> <<120:3552-3553>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<min_idx>> <<120:3554-3561>> <<{int||None}>> <<VARIABLE>> <<LINK>>
<<min_delim>> <<120:3569-3578>> <<{str||None}>> <<VARIABLE>> <<LINK>>
<<url>> <<170:4953-4956>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<172:5024-5027>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<175:5065-5068>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<175:5073-5076>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<176:5109-5112>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<host>> <<177:5136-5140>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<url>> <<180:5177-5180>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<181:5205-5208>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<host>> <<183:5241-5245>> <<{str||list||None}>> <<VARIABLE>> <<LINK>>
<<_host>> <<184:5267-5272>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<port>> <<186:5287-5291>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<port>> <<188:5362-5366>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<port>> <<190:5449-5453>> <<{str||list}>> <<VARIABLE>> <<LINK>>
<<host>> <<195:5577-5581>> <<{str||list||None}>> <<VARIABLE>> <<LINK>>
<<url>> <<195:5586-5589>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<url>> <<196:5607-5610>> <<{str||list||?}>> <<VARIABLE>> <<LINK>>
<<path>> <<198:5625-5629>> <<{None||?}>> <<VARIABLE>> <<LINK>>
<<Url>> <<199:5647-5650>> <<type>> <<VARIABLE>> <<LINK>>
<<scheme>> <<199:5651-5657>> <<{str||list||None}>> <<VARIABLE>> <<LINK>>
<<auth>> <<199:5659-5663>> <<{None||?}>> <<VARIABLE>> <<LINK>>
