<<AgglomerationTransform>> <<17:434-456>> <<type>> <<CLASS>> <<ANCHOR>>
<<pooling_func>> <<22:568-580>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<transform>> <<24:602-611>> <<function>> <<METHOD>> <<ANCHOR>>
<<inverse_transform>> <<52:1570-1587>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<24:612-616>> <<FeatureAgglomeration>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<24:618-619>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<pooling_func>> <<41:1166-1178>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<X>> <<42:1208-1209>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<nX>> <<43:1236-1238>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<l>> <<48:1428-1429>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<52:1588-1592>> <<FeatureAgglomeration>> <<PARAMETER>> <<ANCHOR>>
<<Xred>> <<52:1594-1598>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<unil>> <<71:2236-2240>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<inverse>> <<71:2242-2249>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<39:1138-1142>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<self>> <<41:1181-1185>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<pooling_func>> <<41:1186-1198>> <<?>> <<VARIABLE>> <<LINK>>
<<X>> <<42:1224-1225>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<44:1260-1264>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<X>> <<44:1277-1278>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<48:1443-1447>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<nX>> <<49:1471-1473>> <<list>> <<VARIABLE>> <<LINK>>
<<pooling_func>> <<49:1481-1493>> <<?>> <<VARIABLE>> <<LINK>>
<<X>> <<49:1494-1495>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<49:1499-1503>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<l>> <<49:1515-1516>> <<?>> <<VARIABLE>> <<LINK>>
<<nX>> <<50:1553-1555>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<69:2208-2212>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<self>> <<71:2262-2266>> <<FeatureAgglomeration>> <<VARIABLE>> <<LINK>>
<<Xred>> <<72:2313-2317>> <<None>> <<VARIABLE>> <<LINK>>
<<inverse>> <<72:2323-2330>> <<?>> <<VARIABLE>> <<LINK>>
