<<warnings>> <<15:472-480>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<OutlierDetectionMixin>> <<23:641-662>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<39:1196-1204>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<decision_function>> <<42:1286-1303>> <<function>> <<METHOD>> <<ANCHOR>>
<<predict>> <<77:2674-2681>> <<function>> <<METHOD>> <<ANCHOR>>
<<EllipticEnvelope>> <<105:3622-3638>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<170:6127-6135>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<fit>> <<179:6617-6620>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<170:6136-6140>> <<EllipticEnvelope>> <<PARAMETER>> <<ANCHOR>>
<<store_precision>> <<170:6142-6157>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<assume_centered>> <<170:6164-6179>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<support_fraction>> <<171:6205-6221>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<contamination>> <<171:6228-6241>> <<float>> <<PARAMETER>> <<ANCHOR>>
<<random_state>> <<172:6265-6277>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<39:1205-1209>> <<OutlierDetectionMixin>> <<PARAMETER>> <<ANCHOR>>
<<contamination>> <<39:1211-1224>> <<EllipticEnvelope>> <<PARAMETER>> <<ANCHOR>>
<<contamination>> <<40:1245-1258>> <<EllipticEnvelope>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<179:6621-6625>> <<EllipticEnvelope>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<179:6627-6628>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<y>> <<179:6630-6631>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<threshold_>> <<181:6685-6695>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<77:2682-2686>> <<EllipticEnvelope>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<77:2688-2689>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<is_inlier>> <<95:3280-3289>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<42:1304-1308>> <<EllipticEnvelope>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<42:1310-1311>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<raw_values>> <<42:1313-1323>> <<bool>> <<PARAMETER>> <<ANCHOR>>
<<mahal_dist>> <<67:2350-2360>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<decision>> <<69:2420-2428>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<transformed_mahal_dist>> <<72:2519-2541>> <<float>> <<VARIABLE>> <<ANCHOR>>
<<decision>> <<73:2576-2584>> <<float>> <<VARIABLE>> <<ANCHOR>>
<<values>> <<97:3381-3387>> <<float>> <<VARIABLE>> <<ANCHOR>>
<<OutlierDetectionMixin>> <<105:3656-3677>> <<type>> <<VARIABLE>> <<LINK>>
