<<configuration>> <<6:35-48>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<parent_package>> <<6:49-63>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<top_path>> <<6:68-76>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<config>> <<8:146-152>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<parent_package>> <<8:181-195>> <<str>> <<VARIABLE>> <<LINK>>
<<top_path>> <<8:197-205>> <<None>> <<VARIABLE>> <<LINK>>
<<config>> <<9:212-218>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<10:245-251>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<11:279-285>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<12:314-320>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<13:370-376>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<17:545-551>> <<?>> <<VARIABLE>> <<LINK>>
