<<__future__>> <<16:473-483>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<UndefinedMetricWarning>> <<27:750-772>> <<type>> <<CLASS>> <<ANCHOR>>
<<UndefinedMetricWarning>> <<31:814-836>> <<?>> <<SCOPE>> <<ANCHOR>>
<<_average_binary_score>> <<37:1128-1149>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<binary_metric>> <<37:1150-1163>> <<function>> <<PARAMETER>> <<ANCHOR>>
<<y_true>> <<37:1165-1171>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<y_score>> <<37:1173-1180>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<average>> <<37:1182-1189>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<sample_weight>> <<38:1218-1231>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<average_options>> <<79:2853-2868>> <<tuple>> <<VARIABLE>> <<ANCHOR>>
<<y_type>> <<84:3077-3083>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_true>> <<92:3413-3419>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_score>> <<93:3447-3454>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<not_average_axis>> <<95:3485-3501>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<score_weight>> <<96:3511-3523>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<average_weight>> <<97:3545-3559>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<score_weight>> <<101:3648-3660>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_true>> <<102:3713-3719>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_score>> <<103:3746-3753>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<average_weight>> <<107:3858-3872>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<average_weight>> <<110:3992-4006>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<average_weight>> <<116:4184-4198>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<score_weight>> <<117:4223-4235>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<not_average_axis>> <<118:4252-4268>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<y_true>> <<121:4310-4316>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_score>> <<124:4381-4388>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<n_classes>> <<126:4423-4432>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<score>> <<127:4472-4477>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<c>> <<128:4512-4513>> <<int>> <<SCOPE>> <<ANCHOR>>
<<y_true_c>> <<129:4544-4552>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<y_score_c>> <<130:4612-4621>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<division>> <<16:491-499>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<UndefinedMetricWarning>> <<34:1095-1117>> <<type>> <<VARIABLE>> <<LINK>>
<<average>> <<80:2927-2934>> <<str>> <<VARIABLE>> <<LINK>>
<<average_options>> <<80:2942-2957>> <<tuple>> <<VARIABLE>> <<LINK>>
<<y_true>> <<84:3101-3107>> <<?>> <<VARIABLE>> <<LINK>>
<<y_type>> <<85:3117-3123>> <<?>> <<VARIABLE>> <<LINK>>
<<y_type>> <<88:3249-3255>> <<?>> <<VARIABLE>> <<LINK>>
<<binary_metric>> <<89:3285-3298>> <<function>> <<VARIABLE>> <<LINK>>
<<y_true>> <<89:3299-3305>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<89:3307-3314>> <<?>> <<VARIABLE>> <<LINK>>
<<sample_weight>> <<89:3330-3343>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<91:3376-3382>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<91:3384-3391>> <<?>> <<VARIABLE>> <<LINK>>
<<sample_weight>> <<91:3393-3406>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<92:3434-3440>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<93:3469-3476>> <<?>> <<VARIABLE>> <<LINK>>
<<sample_weight>> <<96:3526-3539>> <<None>> <<VARIABLE>> <<LINK>>
<<average>> <<99:3577-3584>> <<str>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<100:3609-3621>> <<None>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<101:3673-3685>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<101:3687-3693>> <<?>> <<VARIABLE>> <<LINK>>
<<y_true>> <<102:3722-3728>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<103:3756-3763>> <<?>> <<VARIABLE>> <<LINK>>
<<average>> <<105:3784-3791>> <<str>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<106:3819-3831>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<108:3912-3918>> <<?>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<108:3931-3943>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<110:4016-4022>> <<?>> <<VARIABLE>> <<LINK>>
<<average_weight>> <<111:4044-4058>> <<?>> <<VARIABLE>> <<LINK>>
<<average>> <<114:4105-4112>> <<str>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<116:4201-4213>> <<None>> <<VARIABLE>> <<LINK>>
<<y_true>> <<120:4283-4289>> <<?>> <<VARIABLE>> <<LINK>>
<<y_true>> <<121:4319-4325>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<123:4353-4360>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<124:4391-4398>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score>> <<126:4435-4442>> <<?>> <<VARIABLE>> <<LINK>>
<<not_average_axis>> <<126:4449-4465>> <<int>> <<VARIABLE>> <<LINK>>
<<n_classes>> <<127:4490-4499>> <<?>> <<VARIABLE>> <<LINK>>
<<n_classes>> <<128:4523-4532>> <<?>> <<VARIABLE>> <<LINK>>
<<y_true>> <<129:4555-4561>> <<?>> <<VARIABLE>> <<LINK>>
<<c>> <<129:4568-4569>> <<int>> <<VARIABLE>> <<LINK>>
<<not_average_axis>> <<129:4577-4593>> <<int>> <<VARIABLE>> <<LINK>>
<<y_score>> <<130:4624-4631>> <<?>> <<VARIABLE>> <<LINK>>
<<c>> <<130:4638-4639>> <<int>> <<VARIABLE>> <<LINK>>
<<not_average_axis>> <<130:4647-4663>> <<int>> <<VARIABLE>> <<LINK>>
<<binary_metric>> <<131:4693-4706>> <<function>> <<VARIABLE>> <<LINK>>
<<y_true_c>> <<131:4707-4715>> <<?>> <<VARIABLE>> <<LINK>>
<<y_score_c>> <<131:4717-4726>> <<?>> <<VARIABLE>> <<LINK>>
<<score_weight>> <<132:4776-4788>> <<{None||?}>> <<VARIABLE>> <<LINK>>
<<score>> <<131:4682-4687>> <<?>> <<VARIABLE>> <<LINK>>
<<c>> <<131:4688-4689>> <<int>> <<VARIABLE>> <<LINK>>
<<average>> <<135:4827-4834>> <<str>> <<VARIABLE>> <<LINK>>
<<score>> <<136:4875-4880>> <<?>> <<VARIABLE>> <<LINK>>
<<average_weight>> <<136:4890-4904>> <<{None||?}>> <<VARIABLE>> <<LINK>>
<<score>> <<138:4933-4938>> <<?>> <<VARIABLE>> <<LINK>>
