<<BernoulliRBM>> <<28:730-742>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<100:3367-3375>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<transform>> <<109:3733-3742>> <<function>> <<METHOD>> <<ANCHOR>>
<<_mean_hiddens>> <<127:4296-4309>> <<function>> <<METHOD>> <<ANCHOR>>
<<_sample_hiddens>> <<144:4813-4828>> <<function>> <<METHOD>> <<ANCHOR>>
<<_sample_visibles>> <<163:5368-5384>> <<function>> <<METHOD>> <<ANCHOR>>
<<_free_energy>> <<184:5993-6005>> <<function>> <<METHOD>> <<ANCHOR>>
<<gibbs>> <<201:6590-6595>> <<function>> <<METHOD>> <<ANCHOR>>
<<partial_fit>> <<222:7291-7302>> <<function>> <<METHOD>> <<ANCHOR>>
<<_fit>> <<256:8548-8552>> <<function>> <<METHOD>> <<ANCHOR>>
<<score_samples>> <<286:9745-9758>> <<function>> <<METHOD>> <<ANCHOR>>
<<fit>> <<324:11093-11096>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<100:3376-3380>> <<BernoulliRBM>> <<PARAMETER>> <<ANCHOR>>
<<n_components>> <<100:3382-3394>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<learning_rate>> <<100:3400-3413>> <<float>> <<PARAMETER>> <<ANCHOR>>
<<batch_size>> <<100:3419-3429>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<n_iter>> <<101:3452-3458>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<verbose>> <<101:3463-3470>> <<int>> <<PARAMETER>> <<ANCHOR>>
<<random_state>> <<101:3474-3486>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<n_components>> <<102:3508-3520>> <<int>> <<ATTRIBUTE>> <<ANCHOR>>
<<learning_rate>> <<103:3550-3563>> <<float>> <<ATTRIBUTE>> <<ANCHOR>>
<<batch_size>> <<104:3594-3604>> <<int>> <<ATTRIBUTE>> <<ANCHOR>>
<<n_iter>> <<105:3632-3638>> <<int>> <<ATTRIBUTE>> <<ANCHOR>>
<<verbose>> <<106:3662-3669>> <<int>> <<ATTRIBUTE>> <<ANCHOR>>
<<random_state>> <<107:3694-3706>> <<None>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<201:6596-6600>> <<BernoulliRBM>> <<PARAMETER>> <<ANCHOR>>
