<<configuration>> <<7:88-101>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<parent_package>> <<7:102-116>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<top_path>> <<7:121-129>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<config>> <<8:142-148>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<libraries>> <<9:204-213>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<parent_package>> <<8:173-187>> <<str>> <<VARIABLE>> <<LINK>>
<<top_path>> <<8:189-197>> <<None>> <<VARIABLE>> <<LINK>>
<<libraries>> <<11:256-265>> <<list>> <<VARIABLE>> <<LINK>>
<<config>> <<12:283-289>> <<?>> <<VARIABLE>> <<LINK>>
<<libraries>> <<15:458-467>> <<list>> <<VARIABLE>> <<LINK>>
<<config>> <<17:528-534>> <<?>> <<VARIABLE>> <<LINK>>
<<libraries>> <<20:711-720>> <<list>> <<VARIABLE>> <<LINK>>
<<config>> <<22:781-787>> <<?>> <<VARIABLE>> <<LINK>>
<<libraries>> <<25:966-975>> <<list>> <<VARIABLE>> <<LINK>>
<<config>> <<27:1036-1042>> <<?>> <<VARIABLE>> <<LINK>>
<<libraries>> <<30:1213-1222>> <<list>> <<VARIABLE>> <<LINK>>
<<config>> <<33:1285-1291>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<35:1330-1336>> <<?>> <<VARIABLE>> <<LINK>>
