<<functools>> <<7:144-153>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__all__>> <<10:181-188>> <<list>> <<SCOPE>> <<ANCHOR>>
<<_IffHasAttrDescriptor>> <<13:229-250>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<24:678-686>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__get__>> <<30:888-895>> <<function>> <<METHOD>> <<ANCHOR>>
<<if_delegate_has_method>> <<43:1455-1477>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<self>> <<24:687-691>> <<_IffHasAttrDescriptor>> <<PARAMETER>> <<ANCHOR>>
<<fn>> <<24:693-695>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<attribute_name>> <<24:697-711>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<fn>> <<25:728-730>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<get_attribute>> <<26:750-763>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<30:896-900>> <<_IffHasAttrDescriptor>> <<PARAMETER>> <<ANCHOR>>
<<obj>> <<30:902-905>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<type>> <<30:907-911>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<out>> <<37:1271-1274>> <<function>> <<VARIABLE>> <<ANCHOR>>
<<delegate>> <<43:1478-1486>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<fn>> <<72:2359-2361>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<update_wrapper>> <<7:161-175>> <<function>> <<VARIABLE>> <<LINK>>
<<fn>> <<25:733-735>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<25:723-727>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<attribute_name>> <<26:777-791>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<26:745-749>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<update_wrapper>> <<28:852-866>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<28:867-871>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<fn>> <<28:873-875>> <<?>> <<VARIABLE>> <<LINK>>
<<obj>> <<32:1012-1015>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1160-1164>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<get_attribute>> <<35:1165-1178>> <<?>> <<VARIABLE>> <<LINK>>
<<obj>> <<35:1179-1182>> <<?>> <<VARIABLE>> <<LINK>>
<<update_wrapper>> <<39:1397-1411>> <<function>> <<VARIABLE>> <<LINK>>
<<out>> <<39:1412-1415>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<39:1417-1421>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<fn>> <<39:1422-1424>> <<?>> <<VARIABLE>> <<LINK>>
<<out>> <<40:1442-1445>> <<function>> <<VARIABLE>> <<LINK>>
<<_IffHasAttrDescriptor>> <<72:2363-2384>> <<type>> <<VARIABLE>> <<LINK>>
<<fn>> <<72:2385-2387>> <<?>> <<VARIABLE>> <<LINK>>
<<delegate>> <<72:2400-2408>> <<?>> <<VARIABLE>> <<LINK>>
<<fn>> <<72:2410-2412>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1301-1305>> <<_IffHasAttrDescriptor>> <<VARIABLE>> <<LINK>>
<<fn>> <<37:1306-1308>> <<?>> <<VARIABLE>> <<LINK>>
<<obj>> <<37:1309-1312>> <<?>> <<VARIABLE>> <<LINK>>
