file,lineno,_lineno,kind,message
contrib\inventory\apache-libcloud.py,266,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""int"")"
contrib\inventory\apache-libcloud.py,268,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""int"")"
contrib\inventory\apache-libcloud.py,281,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""int"")"
contrib\inventory\apache-libcloud.py,282,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""int"")"
contrib\inventory\collins.py,195,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""List[Any]"")"
contrib\inventory\ec2.py,245,16,argument," Argument 3 to ""get"" of ""RawConfigParser"" has incompatible type ""str""; expected ""bool"""
contrib\inventory\ec2.py,391,35,argument," Argument 3 to ""get"" of ""RawConfigParser"" has incompatible type ""str""; expected ""bool"""
contrib\inventory\vmware.py,156,16,assignment," Incompatible types in assignment (expression has type ""Tuple[]"", variable has type ""str"")"
contrib\inventory\vmware.py,432,4,argument," Argument 3 to ""dump"" has incompatible type ""**Dict[str, int]""; expected ""bool"""
lib\ansible\compat\six\__init__.py,47,8,assignment," Incompatible types in assignment (expression has type ""bool"", variable has type Module)"
lib\ansible\module_utils\basic.py,128,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[List[Any]], Type[Tuple[Any, ...]]]"", variable has type ""Type[Sequence[Any]]"")"
lib\ansible\module_utils\basic.py,129,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[Dict[Any, Any]]]"", variable has type ""Type[Mapping[Any, Any]]"")"
lib\ansible\module_utils\basic.py,280,31,argument," Argument 1 to ""linux_distribution"" has incompatible type ""List[str]""; expected ""Tuple[str, ...]"""
lib\ansible\module_utils\basic.py,298,39,argument," Argument 1 to ""linux_distribution"" has incompatible type ""List[str]""; expected ""Tuple[str, ...]"""
lib\ansible\module_utils\basic.py,1260,24,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""bool"")"
lib\ansible\module_utils\basic.py,1434,12,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
lib\ansible\module_utils\basic.py,1436,12,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
lib\ansible\module_utils\basic.py,1800,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
lib\ansible\inventory\expand_hosts.py,108,12,assignment," Incompatible types in assignment (expression has type ""range"", variable has type ""List[str]"")"
lib\ansible\parsing\vault\__init__.py,190,8,assignment," Incompatible types in assignment (expression has type ""bytes"", variable has type ""List[bytes]"")"
lib\ansible\parsing\utils\addresses.py,192,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
lib\ansible\utils\encrypt.py,45,8,assignment," Incompatible types in assignment (expression has type ""Type[RuntimeWarning]"", variable has type ""Type[PowmInsecureWarning]"")"
lib\ansible\executor\task_result.py,47,20,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""bool"")"
lib\ansible\executor\task_result.py,67,20,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""bool"")"
lib\ansible\inventory\__init__.py,392,20,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
lib\ansible\cli\vault.py,40,4,assignment," Incompatible types in assignment (expression has type ""Tuple[str, str, str, str, str, str]"", base class ""CLI"" defined the type as ""List[str]"")"
lib\ansible\new_inventory\__init__.py,232,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
lib\ansible\new_inventory\__init__.py,236,16,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
lib\ansible\new_inventory\__init__.py,311,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
lib\ansible\plugins\action\__init__.py,566,16,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
lib\ansible\plugins\action\__init__.py,568,16,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
