file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
beets\util\confit.py,__repr__,1097,1106,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1104,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,__repr__,1283,1298,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1290,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,__repr__,1283,1298,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1293,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,__repr__,1283,1298,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1296,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\dbcore\queryparse.py,sort_from_strings,168,179,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",176,assignment," Incompatible types in assignment (expression has type ""MultipleSort"", variable has type ""NullSort"")"
beets\dbcore\db.py,store,342,386,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",356,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""List[Any]"")"
beets\autotag\match.py,tag_item,446,493,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",491,assignment," Incompatible types in assignment (expression has type ""List[TrackMatch]"", variable has type ""Dict[Any, TrackMatch]"")"
beets\util\pipeline.py,run_parallel,381,435,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",397,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""MiddlePipelineThread""; expected ""FirstPipelineThread"""
beets\util\pipeline.py,run_parallel,381,435,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",403,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""LastPipelineThread""; expected ""FirstPipelineThread"""
beets\ui\__init__.py,_colordiff,493,541,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",517,argument," Argument 2 to ""SequenceMatcher"" has incompatible type ""basestring""; expected ""Sequence[Any]"""
beets\ui\__init__.py,_colordiff,493,541,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",517,argument," Argument 3 to ""SequenceMatcher"" has incompatible type ""basestring""; expected ""Sequence[Any]"""
beets\ui\commands.py,remove_items,1172,1201,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1192,argument," Argument 2 to ""format"" has incompatible type ""unicode""; expected ""str"""
beets\ui\commands.py,completion_script,1615,1686,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",1622,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""unicode"")"
beets\util\bluelet.py,_event_select,154,209,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",191,assignment," Incompatible types in assignment (expression has type ""Tuple[]"", variable has type ""List[Any]"")"
beets\util\bluelet.py,run,232,394,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",366,assignment," Incompatible types in assignment (expression has type ""ReturnEvent"", target has type ""ValueEvent"")"
beets\util\bluelet.py,run,232,394,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",372,assignment," Incompatible types in assignment (expression has type ""ExceptionEvent"", variable has type ""ValueEvent"")"
beetsplug\badfiles.py,run_command,34,52,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",51,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""str"")"
beetsplug\bucket.py,str2fmt,119,132,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",128,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""int"")"
beetsplug\bucket.py,format_span,135,141,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",140,assignment," Incompatible types in assignment (expression has type ""Tuple[str, str]"", variable has type ""str"")"
beetsplug\discogs.py,get_track_length,344,351,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",348,argument," Argument 2 to ""strptime"" has incompatible type ""unicode""; expected ""str"""
beetsplug\duplicates.py,_order,240,267,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",254,assignment," Incompatible types in assignment (expression has type ""Type[object]"", variable has type ""unicode"")"
beetsplug\echonest.py,truncate,316,339,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",328,argument," Argument 2 to ""substitute"" of ""Template"" has incompatible type ""unicode""; expected ""str"""
beetsplug\inline.py,_compile_func,40,51,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",48,argument," Argument 3 to ""compile"" has incompatible type ""unicode""; expected ""str"""
beetsplug\inline.py,compile_inline,79,125,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",87,argument," Argument 3 to ""compile"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,fetch_url,179,197,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",189,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,fetch,508,536,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",514,argument," Argument 1 to ""urlopen"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,fetch_item_lyrics,609,639,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",623,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""List[Any]"")"
beetsplug\replaygain.py,_import_gst,433,462,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",456,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
beetsplug\thumbnails.py,_check_local_ok,79,110,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",106,assignment," Incompatible types in assignment (expression has type ""PathlibURI"", variable has type ""GioURI"")"
beetsplug\types.py,_types,35,53,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",44,assignment," Incompatible types in assignment (expression has type ""Float"", target has type ""Integer"")"
beetsplug\types.py,_types,35,53,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",46,assignment," Incompatible types in assignment (expression has type ""Boolean"", target has type ""Integer"")"
beetsplug\types.py,_types,35,53,,,,,,"1305c9407f7ad7beaf6d72a46756cf556ea838ec, 15a5512ea54a5e4e1a4096869f3d4ad2e4f7555c, 9bba782e9ceb30e844b42f75698468487cbcb643, 8746869f7c8198b01e9306150abc1fcd47ed1892",48,assignment," Incompatible types in assignment (expression has type ""DateType"", target has type ""Integer"")"
