file,method,params,startlineno,endlineno
setup.py,_read,fn,27,29
setup.py,build_manpages,,32,49
beets\art.py,mediafile_image,"image_path, maxwidth=None",31,37
beets\art.py,get_art,"log, item",40,49
beets\art.py,embed_item,"log, item, imagepath, maxwidth=None, itempath=None, compare_threshold='0', ifempty=False, as_album=False",52,82
beets\art.py,embed_album,"log, album, maxwidth=None, quiet=False, compare_threshold='0', ifempty=False",85,104
beets\art.py,resize_image,"log, imagepath, maxwidth",107,112
beets\art.py,check_art_similarity,"log, item, imagepath, compare_threshold",115,161
beets\art.py,extract,"log, outpath, item",164,183
beets\art.py,extract_first,"log, outpath, items",186,190
beets\art.py,clear,"log, lib, query",193,198
beets\importer.py,_open_state,,67,78
beets\importer.py,_save_state,state,81,87
beets\importer.py,progress_read,,93,95
beets\importer.py,progress_write,,98,103
beets\importer.py,progress_add,"toppath, *paths",106,120
beets\importer.py,progress_element,"toppath, path",123,131
beets\importer.py,has_progress,toppath,134,139
beets\importer.py,progress_reset,toppath,142,145
beets\importer.py,history_add,paths,152,162
beets\importer.py,history_get,,165,171
beets\importer.py,__init__,"self, lib, loghandler, paths, query",180,193
beets\importer.py,_setup_logging,"self, loghandler",195,201
beets\importer.py,set_config,"self, config",203,234
beets\importer.py,tag_log,"self, status, paths",236,240
beets\importer.py,log_choice,"self, task, duplicate=False",242,261
beets\importer.py,should_resume,"self, path",263,264
beets\importer.py,choose_match,"self, task",266,267
beets\importer.py,resolve_duplicate,"self, task, found_duplicates",269,270
beets\importer.py,choose_item,"self, task",272,273
beets\importer.py,run,self,275,323
beets\importer.py,already_imported,"self, toppath, paths",327,338
beets\importer.py,history_dirs,self,340,344
beets\importer.py,is_resuming,"self, toppath",346,351
beets\importer.py,ask_resume,"self, toppath",353,368
beets\importer.py,__init__,"self, toppath, paths, items",378,397
beets\importer.py,__init__,"self, toppath, paths, items",428,436
beets\importer.py,set_choice,"self, choice",438,450
beets\importer.py,save_progress,self,452,457
beets\importer.py,save_history,self,459,463
beets\importer.py,apply,self,467,469
beets\importer.py,skip,self,471,473
beets\importer.py,chosen_ident,self,477,487
beets\importer.py,imported_items,self,489,500
beets\importer.py,apply_metadata,self,502,505
beets\importer.py,duplicate_items,"self, lib",507,511
beets\importer.py,remove_duplicates,"self, lib",513,523
beets\importer.py,finalize,"self, session",525,539
beets\importer.py,cleanup,"self, copy=False, delete=False, move=False",541,562
beets\importer.py,_emit_imported,"self, lib",564,565
beets\importer.py,handle_created,"self, session",567,579
beets\importer.py,lookup_candidates,self,581,589
beets\importer.py,find_duplicates,"self, lib",591,614
beets\importer.py,align_album_level_fields,self,616,647
beets\importer.py,manipulate_files,"self, move=False, copy=False, write=False, link=False, session=None",649,679
beets\importer.py,add,"self, lib",681,689
beets\importer.py,record_replaced,"self, lib",691,710
beets\importer.py,reimport_metadata,"self, lib",712,752
beets\importer.py,remove_replaced,"self, lib",754,765
beets\importer.py,choose_match,"self, session",767,772
beets\importer.py,reload,self,774,779
beets\importer.py,prune,"self, filename",783,793
beets\importer.py,__init__,"self, toppath, item",800,804
beets\importer.py,chosen_ident,self,806,811
beets\importer.py,imported_items,self,813,814
beets\importer.py,apply_metadata,self,816,817
beets\importer.py,_emit_imported,"self, lib",819,821
beets\importer.py,lookup_candidates,self,823,826
