file,pattern,lineno
borg\archive.py,getattr,37
borg\archive.py,getattr,38
borg\archive.py,hasattr,40
borg\archive.py,hasattr,41
borg\archive.py,delsubscript,226
borg\archive.py,delsubscript,416
borg\archive.py,delsubscript,429
borg\archive.py,getattr,553
borg\archive.py,getattr,554
borg\archive.py,delsubscript,740
borg\archive.py,delsubscript,849
borg\archiver.py,hasattr,35
borg\archiver.py,hasattr,1243
borg\archiver.py,hasattr,1245
borg\cache.py,delsubscript,385
borg\fuse.py,hasattr,16
borg\fuse.py,delsubscript,72
borg\helpers.py,hasattr,242
borg\helpers.py,hasattr,243
borg\lrucache.py,delsubscript,14
borg\remote.py,getattr,93
borg\remote.py,getattr,95
borg\remote.py,delsubscript,212
borg\remote.py,getattr,271
borg\repository.py,delsubscript,567
borg\repository.py,delsubscript,595
borg\repository.py,hasattr,688
borg\support\argparse.py,getattr,141
borg\support\argparse.py,getattr,143
borg\support\argparse.py,delsubscript,597
borg\support\argparse.py,hasattr,599
borg\support\argparse.py,getattr,800
borg\support\argparse.py,getattr,1108
borg\support\argparse.py,hasattr,1302
borg\support\argparse.py,getattr,1444
borg\support\argparse.py,getattr,1647
borg\support\argparse.py,hasattr,1725
borg\support\argparse.py,hasattr,1731
borg\support\argparse.py,hasattr,1737
borg\support\argparse.py,getattr,1738
borg\support\argparse.py,delattr,1739
borg\support\argparse.py,hasattr,1968
borg\support\argparse.py,getattr,1969
borg\support\argparse.py,getattr,2270
borg\support\argparse.py,getattr,2276
borg\testsuite\archiver.py,hasattr,35
borg\testsuite\archiver.py,hasattr,368
borg\testsuite\archiver.py,hasattr,402
borg\testsuite\archiver.py,hasattr,417
borg\testsuite\hashindex.py,delsubscript,33
borg\testsuite\hashindex.py,delname,37,idx
borg\testsuite\hashindex.py,delname,49,idx
borg\testsuite\hashindex.py,delsubscript,72
borg\testsuite\helpers.py,delsubscript,396
borg\testsuite\lrucache.py,delsubscript,26
borg\testsuite\lrucache.py,delsubscript,47
borg\testsuite\__init__.py,hasattr,16
borg\testsuite\__init__.py,hasattr,20
borg\testsuite\__init__.py,getattr,24
borg\testsuite\__init__.py,getattr,35
borg\testsuite\__init__.py,getattr,76
borg\testsuite\__init__.py,getattr,77
