file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
borg\archive.py,rebuild_refcounts,"self, archive=None, last=None, prefix=None",734,873,802,32030-32033,msg,"str,tuple"
borg\archive.py,__init__,"self, repository, key, manifest, name, cache=None, create=False, checkpoint_interval='300', numeric_owner=False, progress=False, chunker_params=CHUNKER_PARAMS, start=datetime.now(), end=datetime.now()",134,169,161,5675-5690,checkpoint_name,"str,tuple"
borg\archive.py,check,"self, repository, repair=False, archive=None, last=None, prefix=None, save_space=False",665,685,672,26261-26272,MANIFEST_ID,"str,int"
borg\archive.py,rebuild_refcounts,"self, archive=None, last=None, prefix=None",734,873,740,29433-29444,MANIFEST_ID,"str,int"
borg\archive.py,rebuild_refcounts,"self, archive=None, last=None, prefix=None",734,873,804,32178-32181,msg,"str,tuple"
borg\archive.py,extract_item,"self, item, restore_attrs=True, dry_run=False, stdout=False, sparse=False",279,352,318,11884-11889,zeros,"str,int"
borg\archiver.py,main,,1251,1289,1265,69100-69103,msg,"str,tuple"
borg\archiver.py,main,,1251,1289,1276,69600-69603,msg,"str,tuple"
borg\archiver.py,main,,1251,1289,1277,69627-69630,msg,"str,tuple"
borg\archiver.py,do_debug_dump_archive_items,"self, args",520,532,528,24430-24438,filename,"str,tuple"
borg\archiver.py,do_debug_dump_archive_items,"self, args",520,532,529,24463-24471,filename,"str,tuple"
borg\archiver.py,do_list,"self, args",393,435,427,19269-19273,mode,"str,tuple"
borg\cache.py,sync,self,226,348,315,14504-14514,repository,"RepositoryCache,Repository,RemoteRepository"
borg\cache.py,sync,self,226,348,260,11633-11643,repository,"RepositoryCache,Repository,RemoteRepository"
borg\cache.py,sync,self,226,348,268,12079-12089,repository,"RepositoryCache,Repository,RemoteRepository"
borg\helpers.py,load,"cls, repository, key=None",89,106,92,2581-2592,MANIFEST_ID,"str,int"
borg\helpers.py,format_timedelta,td,463,478,473,16856-16859,txt,"float,str,int"
borg\helpers.py,format_timedelta,td,463,478,475,16907-16910,txt,"float,str,tuple,int"
borg\helpers.py,format_timedelta,td,463,478,477,16969-16972,txt,"float,str,tuple,tuple,int"
borg\helpers.py,format_timedelta,td,463,478,478,16986-16989,txt,"float,str,tuple,tuple,tuple,int"
borg\helpers.py,show_progress,"self, item=None, final=False, stream=None, dt=None",195,210,206,7044-7048,path,"None,str,tuple"
borg\helpers.py,daemonize,,726,743,730,25173-25176,pid,"file,int"
borg\helpers.py,daemonize,,726,743,734,25245-25248,pid,"file,int"
borg\helpers.py,write,self,108,117,117,3592-3603,MANIFEST_ID,"str,int"
borg\key.py,detect,"cls, repository, manifest_data",254,264,263,9391-9397,PREFIX,"str,int"
borg\key.py,detect,"cls, repository, manifest_data",225,240,237,8348-8354,PREFIX,"str,int"
borg\key.py,decrypt,"self, id, data",141,151,147,4767-4773,PREFIX,"str,int"
borg\key.py,get_new_target,"self, args",365,372,372,13355-13359,path,"str,int"
borg\remote.py,call_many,"self, cmd, calls, wait=True, is_preloaded=False",205,305,271,10651-10656,level,"str,list"
borg\remote.py,call_many,"self, cmd, calls, wait=True, is_preloaded=False",205,305,272,10738-10741,msg,"str,list"
borg\remote.py,serve,self,63,105,69,1465-1467,fl,"str,int"
borg\remote.py,serve,self,63,105,72,1616-1618,fl,"str,int"
borg\remote.py,serve,self,63,105,75,1768-1770,fl,"str,int"
borg\repository.py,get,"self, id_",413,420,417,17419-17422,id_,"str,int"
borg\repository.py,get,"self, id_",413,420,418,17474-17477,id_,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,321,11152-11153,s,"dict,str"
borg\support\argparse.py,_format_args,"self, action, default_metavar",574,591,591,22180-22186,result,"str,tuple,int"
borg\support\argparse.py,format_help,self,206,229,229,7761-7768,heading,"str,tuple"
borg\support\argparse.py,exit,"self, status='0', message=None",2367,2370,2368,91362-91369,message,"str,dict"
borg\support\argparse.py,exit,"self, status='0', message=None",2367,2370,2369,91404-91411,message,"str,dict"
borg\support\argparse.py,_format_actions_usage,"self, actions, groups",385,479,457,16969-16973,part,"str,tuple"
borg\support\argparse.py,_format_actions_usage,"self, actions, groups",385,479,460,17059-17063,part,"str,tuple"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,321,11158-11162,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,321,11181-11182,s,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,321,11146-11147,s,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,358,12877-12881,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,359,12960-12964,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,361,13050-13054,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,361,13069-13075,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,343,12155-12161,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,346,12316-12322,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,348,12424-12430,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,352,12598-12604,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,354,12716-12722,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,362,13144-13150,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,364,13234-13238,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,364,13253-13259,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,366,13330-13334,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,372,13565-13571,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,375,13708-13714,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,376,13776-13782,indent,"str,int"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,377,13815-13819,prog,"dict,str"
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,383,13986-13991,usage,"dict,str,?"
borg\support\argparse.py,_format_action,"self, action",488,533,514,19178-19191,action_header,"str,tuple,tuple"
borg\support\argparse.py,_format_action,"self, action",488,533,525,19677-19690,action_header,"str,tuple,tuple"
borg\testsuite\archiver.py,create_regular_file,"self, name, size='0', contents=None",244,251,251,9341-9349,contents,"str,int,?"
borg\testsuite\chunker.py,test_chunkify,self,10,24,12,370-374,data,"str,int"
borg\testsuite\chunker.py,test_chunkify,self,10,24,14,464-468,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,57,1552-1556,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,58,1587-1591,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,59,1605-1609,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,60,1645-1649,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,47,1246-1250,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,48,1281-1285,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,49,1299-1303,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,50,1339-1343,data,"str,int"
borg\testsuite\compress.py,test_zlib_compat,,70,81,75,2224-2228,data,"str,int"
