commit,author,date,title,faultID,file
9f40063,Josh Holland,2017-12-29 00:15:07,Correct some confusing error messages from `borg init` (#3485),3485,src/borg/repository.py
9b0d0f3,Thomas Waldmann,2017-12-24 04:46:20,"use patched version of socket.getfqdn(), fixes #3471",3471,src/borg/platform/base.py
5e4df77,Thomas Waldmann,2017-12-24 04:12:02,"refactor/move hostname/fqdn related funcs, see #3471",3471,src/borg/helpers/checks.py
5e4df77,Thomas Waldmann,2017-12-24 04:12:02,"refactor/move hostname/fqdn related funcs, see #3471",3471,src/borg/helpers/parseformat.py
5e4df77,Thomas Waldmann,2017-12-24 04:12:02,"refactor/move hostname/fqdn related funcs, see #3471",3471,src/borg/platform/__init__.py
5e4df77,Thomas Waldmann,2017-12-24 04:12:02,"refactor/move hostname/fqdn related funcs, see #3471",3471,src/borg/platform/base.py
98052eb,TW,2017-12-23 16:32:35,Merge pull request #3467 from ThomasWaldmann/borg-base-dir,3338
c5a3393,Thomas Waldmann,2017-12-21 06:18:49,"added BORG_BASE_DIR, s/get_home_dir/get_base_dir/g, docs, fixes #3338",3338,src/borg/helpers/fs.py
c5a3393,Thomas Waldmann,2017-12-21 06:18:49,"added BORG_BASE_DIR, s/get_home_dir/get_base_dir/g, docs, fixes #3338",3338,src/borg/remote.py
c5a3393,Thomas Waldmann,2017-12-21 06:18:49,"added BORG_BASE_DIR, s/get_home_dir/get_base_dir/g, docs, fixes #3338",3338,src/borg/testsuite/helpers.py
c5a3393,Thomas Waldmann,2017-12-21 06:18:49,"added BORG_BASE_DIR, s/get_home_dir/get_base_dir/g, docs, fixes #3338",3338,src/borg/upgrader.py
ec8a8c0,TW,2017-12-23 01:18:33,Merge pull request #3475 from ThomasWaldmann/fix-borg-init-quota,3470
d1cdc14,Thomas Waldmann,2017-12-22 23:50:00,"borg init: use given --storage-quota for local repo, fixes #3470",3470,src/borg/archiver.py
1e9c90d,TW,2017-12-18 01:15:29,Merge pull request #3450 from ThomasWaldmann/borg-delete-removing-security-dir,3427
4a2fec3,Thomas Waldmann,2017-12-17 03:06:12,"crypto.low_level extension: build blake2 like zstd, see #3415",3415,setup.py
4a2fec3,Thomas Waldmann,2017-12-17 03:06:12,"crypto.low_level extension: build blake2 like zstd, see #3415",3415,setup_b2.py
73a7008,Thomas Waldmann,2017-12-15 06:35:20,"compress extension: build lz4 like zstd, see #3415",3415,setup.py
73a7008,Thomas Waldmann,2017-12-15 06:35:20,"compress extension: build lz4 like zstd, see #3415",3415,setup_lz4.py
73a7008,Thomas Waldmann,2017-12-15 06:35:20,"compress extension: build lz4 like zstd, see #3415",3415,src/borg/helpers/checks.py
814be9e,TW,2017-12-17 03:13:10,Merge pull request #3449 from ThomasWaldmann/check-hangs-fix-master,3444
8f77243,Thomas Waldmann,2017-12-16 22:59:47,"also delete security dir when deleting a repo, fixes #3427",3427,src/borg/archiver.py
8f77243,Thomas Waldmann,2017-12-16 22:59:47,"also delete security dir when deleting a repo, fixes #3427",3427,src/borg/cache.py
57a2d92,Thomas Waldmann,2017-12-16 01:16:05,"check --repair: fix malfunctioning validator, fixes #3444",3444,src/borg/archive.py
0abf42f,Thomas Waldmann,2017-12-16 01:11:40,"modify borg check unit test so it ""hangs"", see #3444",3444,src/borg/testsuite/archiver.py
7317dc3,TW,2017-12-15 00:41:25,Merge pull request #3434 from ThomasWaldmann/fix-prune-man-page,3398
11b2311,Thomas Waldmann,2017-12-02 22:43:34,add zstd compression,3411,setup.py
11b2311,Thomas Waldmann,2017-12-02 22:43:34,add zstd compression,3411,src/borg/helpers/checks.py
11b2311,Thomas Waldmann,2017-12-02 22:43:34,add zstd compression,3411,src/borg/testsuite/compress.py
d81ea03,Thomas Waldmann,2017-12-13 04:40:20,git add docs/man/borg-config.1,3435
1f5b8c9,Thomas Waldmann,2017-12-13 04:33:50,"fix building the ""borg prune"" man page, fixes #3398",3398,setup.py
ce92960,Thomas Waldmann,2017-12-09 13:41:03,add auto-generated docs for borg config,3421
897c003,Milkey Mouse,2017-12-01 14:21:20,Don't generate HTML docs page for borgfs (fixes #3404),3404,setup.py
5cf48ee,Thomas Waldmann,2017-11-27 04:10:17,"borg mount: fix hardlink processing, fixes #3388",3388,src/borg/fuse.py
43184f2,Thomas Waldmann,2017-12-02 17:43:38,exclude broken pytest 3.3.0 release,3407
63bdae8,Thomas Waldmann,2017-11-26 23:56:32,docs: fix broken links,3387
c2521a7,Thomas Waldmann,2017-11-26 23:34:10,link to the homepage for support/service,3384
6dd54f9,Michael Rupert,2017-11-25 23:10:22,fixed support links (#3379),3379
2a83098,Milkey Mouse,2017-11-25 17:16:28,Fix build_man issues (fixes #3364),3364,src/borg/archiver.py
e3cb7c3,Thomas Waldmann,2017-11-25 19:46:48,"docs: document good and problematic option placements, see #3356",3356
f2a1539,Thomas Waldmann,2017-11-25 19:29:34,"docs: fix examples with problematic option placements, fixes #3356",3356
f45acbb,TW,2017-11-25 15:27:27,Merge pull request #3366 from ThomasWaldmann/create-tuning-options,3239
520a6a2,Thomas Waldmann,2017-11-25 15:21:43,"docs: point out tuning options for borg create, fixes #3239",3239,src/borg/archiver.py
feb428b,Thomas Waldmann,2017-11-24 05:00:23,clean up and simplify packaging,3355,setup.py
71fbac9,Michael Rupert,2017-11-24 21:15:18,Moved Support to .org (#3360),3360
5b47cf6,Milkey Mouse,2017-11-10 20:30:02,Add borg config command (fixes #3304),3304,src/borg/archiver.py
5b47cf6,Milkey Mouse,2017-11-10 20:30:02,Add borg config command (fixes #3304),3304,src/borg/helpers/parseformat.py
5b47cf6,Milkey Mouse,2017-11-10 20:30:02,Add borg config command (fixes #3304),3304,src/borg/testsuite/archiver.py
afc84ca,TW,2017-11-23 22:43:39,Merge pull request #3300 from ThomasWaldmann/mount-options,2138
d1e3279,Milkey Mouse,2017-11-22 08:25:49,Clarify key aliases for borg list --format (#3346),3346,src/borg/helpers/parseformat.py
caece37,Thomas Waldmann,2017-11-22 15:08:08,"borg mount: support --consider-part-files correctly, fixes #3347",3347,src/borg/fuse.py
77df1cf,Thomas Waldmann,2017-11-07 17:45:22,"borg mount: support exclusion group options and paths, fixes #2138",2138,src/borg/archiver.py
77df1cf,Thomas Waldmann,2017-11-07 17:45:22,"borg mount: support exclusion group options and paths, fixes #2138",2138,src/borg/fuse.py
759c8f7,Milkey Mouse,2017-11-20 14:18:37,Mention break-lock in checkpointing FAQ entry (#3340),3340
7cb36a2,Milkey Mouse,2017-11-18 11:57:39,Document sshfs rename workaround (fixes #3315) (#3325),3315
