file,method,params,startlineno,endlineno
setup.py,__init__,"self, *args, **kwargs",42,45
setup.py,make_distribution,self,47,57
setup.py,__init__,"self, *args, **kwargs",61,62
setup.py,detect_openssl,prefixes,78,84
setup.py,detect_lz4,prefixes,87,93
setup.py,initialize_options,self,129,130
setup.py,finalize_options,self,132,133
setup.py,run,self,135,166
setup.py,initialize_options,self,175,176
setup.py,finalize_options,self,178,179
setup.py,run,self,181,196
borg\archive.py,__init__,"self, repository, key",52,54
borg\archive.py,unpack_many,"self, ids, filter=None, preload=False",56,68
borg\archive.py,fetch_many,"self, ids, is_preloaded=False",70,72
borg\archive.py,__init__,"self, key, chunker_params=CHUNKER_PARAMS",78,83
borg\archive.py,add,"self, item",85,88
borg\archive.py,write_chunk,"self, chunk",90,91
borg\archive.py,flush,"self, flush=False",93,105
borg\archive.py,is_full,self,107,108
borg\archive.py,__init__,"self, cache, key, stats, chunker_params=CHUNKER_PARAMS",113,116
borg\archive.py,write_chunk,"self, chunk",118,120
borg\archive.py,__init__,"self, repository, key, manifest, name, cache=None, create=False, checkpoint_interval='300', numeric_owner=False, progress=False, chunker_params=CHUNKER_PARAMS, start=datetime.now(), end=datetime.now()",134,169
borg\archive.py,_load_meta,"self, id",171,176
borg\archive.py,load,"self, id",178,183
borg\archive.py,ts,self,185,188
borg\archive.py,fpr,self,190,192
borg\archive.py,duration,self,194,196
borg\archive.py,__str__,self,198,204
borg\archive.py,__repr__,self,206,207
borg\archive.py,iter_items,"self, filter=None, preload=False",209,211
borg\archive.py,add_item,"self, item",213,222
borg\archive.py,write_checkpoint,self,224,227
borg\archive.py,save,"self, name=None, timestamp=None",229,251
borg\archive.py,calc_stats,"self, cache",253,277
borg\archive.py,add,id,254,257
borg\archive.py,add_file_chunks,chunks,259,261
borg\archive.py,extract_item,"self, item, restore_attrs=True, dry_run=False, stdout=False, sparse=False",279,352
borg\archive.py,restore_attrs,"self, path, item, symlink=False, fd=None",354,404
borg\archive.py,rename,"self, name",406,416
borg\archive.py,delete,"self, stats",418,429
borg\archive.py,stat_attrs,"self, st, path",431,448
borg\archive.py,process_dir,"self, path, st",450,454
borg\archive.py,process_fifo,"self, path, st",456,460
borg\archive.py,process_dev,"self, path, st",462,469
borg\archive.py,process_symlink,"self, path, st",471,476
borg\archive.py,process_stdin,"self, path, cache",478,495
borg\archive.py,process_file,"self, path, st, cache",497,543
borg\archive.py,list_archives,"repository, key, manifest, cache=None",545,549
borg\archive.py,_open_rb,"path, st",551,591
borg\archive.py,open_simple,"p, s",557,558
borg\archive.py,open_noatime,"p, s",560,561
borg\archive.py,open_noatime_if_owner,"p, s",563,568
borg\archive.py,open_noatime_with_fallback,"p, s",570,583
borg\archive.py,__init__,"self, validator",604,610
borg\archive.py,resync,self,612,614
borg\archive.py,feed,"self, data",616,620
borg\archive.py,__iter__,self,622,623
borg\archive.py,__next__,self,625,656
borg\archive.py,__init__,self,661,663
borg\archive.py,check,"self, repository, repair=False, archive=None, last=None, prefix=None, save_space=False",665,685
