file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
borg\archiver.py,do_delete,330,361,327c721,Lauri Niskanen,2016-04-06 14:04:18,Add archive comments,842,"327c7219dfa2620ffc899c5366551b2ce83a663a, b2dedee3c821415d05996dc6414254610bc14040, 22f218baeff94f3a57107e5105dda630e971e020, 9198f6962cedfa7981d03e09bd654cf61ce00a1d, 57b913bc883c76b1ad4525dd6c8bccce638a1c48, c194f3ca1c09594fb29004e57a3ce84196684ede, 9c271afefa82f68021e46bbdbc211c1a7770a65d, 0c076ad114206a370d129eae3e6771e856cb1d67, f19e95fcf77cb533073031dafd2049478e231a9d, 36cc37732914f8c7551dab7348401a5608401050",352,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
borg\archiver.py,do_delete,330,361,22f218b,Thomas Waldmann,2016-01-17 01:09:13,"implement and use context manager for Cache, partial fix for #285",285,"327c7219dfa2620ffc899c5366551b2ce83a663a, b2dedee3c821415d05996dc6414254610bc14040, 22f218baeff94f3a57107e5105dda630e971e020, 9198f6962cedfa7981d03e09bd654cf61ce00a1d, 57b913bc883c76b1ad4525dd6c8bccce638a1c48, c194f3ca1c09594fb29004e57a3ce84196684ede, 9c271afefa82f68021e46bbdbc211c1a7770a65d, 0c076ad114206a370d129eae3e6771e856cb1d67, f19e95fcf77cb533073031dafd2049478e231a9d, 36cc37732914f8c7551dab7348401a5608401050",352,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
borg\archiver.py,main,1251,1289,7ea2404,Thomas Waldmann,2016-01-28 21:59:24,"borg serve: overwrite client's --restrict-to-path with forced command's option value, fixes #544",544,"7ea2404048eeb8d5cbe45ec31a5c5e9594f8925c, 942120997e674d940879791801ad1ade82d2a1c0",1265,reference,msg,"str,tuple"
borg\archiver.py,main,1251,1289,7ea2404,Thomas Waldmann,2016-01-28 21:59:24,"borg serve: overwrite client's --restrict-to-path with forced command's option value, fixes #544",544,"7ea2404048eeb8d5cbe45ec31a5c5e9594f8925c, 942120997e674d940879791801ad1ade82d2a1c0",1276,reference,msg,"str,tuple"
borg\archiver.py,main,1251,1289,7ea2404,Thomas Waldmann,2016-01-28 21:59:24,"borg serve: overwrite client's --restrict-to-path with forced command's option value, fixes #544",544,"7ea2404048eeb8d5cbe45ec31a5c5e9594f8925c, 942120997e674d940879791801ad1ade82d2a1c0",1277,reference,msg,"str,tuple"
borg\archiver.py,do_list,393,435,12fe47f,Thomas Waldmann,2016-01-29 01:50:51,"implement --short for borg list REPO, fixes #611",611,"14f0fa6f6a21a68a91c7a753b3a4c1cd413cbc4c, 12fe47fcd28e7166320b75e3be89333ad345e977, 9fa18c9ee97000fe343a2a47db6d928f36376d34, 0be62d423331bd8e44172f596c21aabf488ff790, c194f3ca1c09594fb29004e57a3ce84196684ede, 9c271afefa82f68021e46bbdbc211c1a7770a65d, 7da730a8d730f89be79b860366118788271a17d7",427,reference,mode,"str,tuple"
borg\cache.py,sync,226,348,4d73f3c,Thomas Waldmann,2016-01-16 23:42:54,"implement and use context manager for RepositoryCache, fixes #548",548,"4d73f3cdb90e52c0d7276414658cdd700af3eb78, c9b11316ab2e72d5646498472fa3a313d9a667d7",315,reference,repository,"RepositoryCache,Repository,RemoteRepository"
borg\cache.py,sync,226,348,4d73f3c,Thomas Waldmann,2016-01-16 23:42:54,"implement and use context manager for RepositoryCache, fixes #548",548,"4d73f3cdb90e52c0d7276414658cdd700af3eb78, c9b11316ab2e72d5646498472fa3a313d9a667d7",260,reference,repository,"RepositoryCache,Repository,RemoteRepository"
borg\cache.py,sync,226,348,4d73f3c,Thomas Waldmann,2016-01-16 23:42:54,"implement and use context manager for RepositoryCache, fixes #548",548,"4d73f3cdb90e52c0d7276414658cdd700af3eb78, c9b11316ab2e72d5646498472fa3a313d9a667d7",268,reference,repository,"RepositoryCache,Repository,RemoteRepository"
borg\testsuite\compress.py,test_compressor,84,100,d3000a7,Thomas Waldmann,2016-08-09 00:33:12,"LZ4: dynamically enlarge the (de)compression buffer, fixes #1453",1453,"d3000a7e5de952ed5096ccb6c46f0211fde93754, d1ea925a5bac55354848bab9a8c4ae7ed8cc9a74, a6b6712d6a312f8e839212ea246a896391c90abc, 4c0012bddfc91e45167f65293369814511695de9",100,reference,data,"str,int"
borg\testsuite\compress.py,test_compressor,84,100,d3000a7,Thomas Waldmann,2016-08-09 00:33:12,"LZ4: dynamically enlarge the (de)compression buffer, fixes #1453",1453,"d3000a7e5de952ed5096ccb6c46f0211fde93754, d1ea925a5bac55354848bab9a8c4ae7ed8cc9a74, a6b6712d6a312f8e839212ea246a896391c90abc, 4c0012bddfc91e45167f65293369814511695de9",100,reference,data,"str,int"
borg\testsuite\compress.py,test_lz4,37,42,d3000a7,Thomas Waldmann,2016-08-09 00:33:12,"LZ4: dynamically enlarge the (de)compression buffer, fixes #1453",1453,d3000a7e5de952ed5096ccb6c46f0211fde93754,39,reference,data,"str,int"
