file,pattern,lineno
boto\auth.py,delsubscript,104
boto\auth.py,delsubscript,105
boto\auth.py,delsubscript,276
boto\auth.py,hasattr,403
boto\auth.py,hasattr,403
boto\auth.py,delsubscript,503
boto\auth.py,hasattr,1010
boto\auth.py,getattr,1014
boto\auth.py,hasattr,1031
boto\connection.py,hasattr,77
boto\connection.py,getattr,180
boto\connection.py,delsubscript,245
boto\connection.py,delsubscript,299
boto\connection.py,delsubscript,355
boto\connection.py,getattr,367
boto\connection.py,getattr,570
boto\connection.py,getattr,581
boto\connection.py,getattr,591
boto\connection.py,hasattr,843
boto\connection.py,hasattr,916
boto\connection.py,getattr,933
boto\connection.py,getattr,950
boto\exception.py,hasattr,99
boto\handler.py,hasattr,43
boto\https_connection.py,hasattr,118
boto\jsonresponse.py,getattr,83
boto\storage_uri.py,hasattr,105
boto\storage_uri.py,getattr,322
boto\storage_uri.py,getattr,323
boto\storage_uri.py,getattr,324
boto\storage_uri.py,getattr,325
boto\storage_uri.py,hasattr,383
boto\storage_uri.py,hasattr,385
boto\storage_uri.py,hasattr,387
boto\utils.py,delsubscript,194
boto\utils.py,hasattr,214
boto\utils.py,getattr,484
boto\utils.py,getattr,486
boto\utils.py,delsubscript,736
boto\awslambda\layer1.py,delsubscript,61
boto\beanstalk\exception.py,getattr,14
boto\beanstalk\wrapper.py,getattr,16
boto\beanstalk\wrapper.py,getattr,27
boto\cloudsearch2\document.py,getattr,104
boto\cloudsearch2\search.py,getattr,222
boto\cloudsearchdomain\layer1.py,delsubscript,61
boto\cognito\sync\layer1.py,delsubscript,71
boto\dynamodb\batch.py,delsubscript,175
boto\dynamodb\types.py,getattr,275
boto\dynamodb\types.py,hasattr,283
boto\dynamodb\types.py,getattr,344
boto\dynamodb2\items.py,delsubscript,91
boto\dynamodb2\items.py,delsubscript,400
boto\dynamodb2\table.py,getattr,229
boto\dynamodb2\table.py,delsubscript,1021
boto\ec2\connection.py,getattr,121
boto\ec2\connection.py,getattr,361
boto\ec2\ec2object.py,hasattr,33
boto\ec2\ec2object.py,delsubscript,144
boto\ec2\networkinterface.py,getattr,225
boto\ec2\securitygroup.py,hasattr,190
boto\ec2\securitygroup.py,hasattr,230
boto\elasticache\layer1.py,delsubscript,56
boto\elastictranscoder\layer1.py,delsubscript,56
boto\fps\connection.py,getattr,38
boto\fps\connection.py,getattr,47
boto\fps\connection.py,getattr,48
boto\fps\connection.py,getattr,66
boto\fps\connection.py,hasattr,91
boto\fps\connection.py,getattr,92
boto\fps\response.py,getattr,76
boto\fps\response.py,getattr,104
boto\fps\response.py,getattr,111
boto\fps\response.py,getattr,119
boto\fps\response.py,getattr,128
boto\fps\response.py,getattr,137
boto\fps\response.py,getattr,146
boto\fps\response.py,getattr,155
boto\fps\response.py,getattr,167
boto\fps\response.py,getattr,168
boto\fps\response.py,getattr,171
boto\fps\response.py,getattr,182
boto\fps\response.py,getattr,183
boto\fps\response.py,getattr,192
boto\fps\response.py,getattr,204
boto\fps\response.py,getattr,205
boto\glacier\layer1.py,hasattr,835
boto\glacier\layer1.py,hasattr,835
boto\glacier\utils.py,hasattr,128
boto\glacier\utils.py,getattr,139
boto\gs\acl.py,hasattr,67
boto\gs\acl.py,hasattr,120
boto\gs\key.py,hasattr,535
boto\gs\resumable_upload_handler.py,delsubscript,615
boto\manage\volume.py,hasattr,158
boto\manage\volume.py,hasattr,173
boto\mashups\server.py,getattr,43
boto\mashups\server.py,hasattr,367
boto\mashups\server.py,hasattr,380
boto\mturk\connection.py,hasattr,921
boto\mturk\question.py,delattribute,31
boto\mturk\question.py,delattribute,109
boto\mturk\question.py,hasattr,435
boto\mws\connection.py,getattr,65
boto\mws\connection.py,getattr,242
boto\mws\connection.py,getattr,344
boto\mws\response.py,getattr,27
boto\mws\response.py,getattr,30
boto\mws\response.py,getattr,49
boto\mws\response.py,getattr,52
boto\mws\response.py,hasattr,147
boto\mws\response.py,getattr,148
boto\mws\response.py,hasattr,149
boto\mws\response.py,hasattr,165
boto\mws\response.py,getattr,197
boto\mws\response.py,getattr,206
boto\mws\response.py,getattr,227
boto\mws\response.py,getattr,238
boto\mws\response.py,getattr,261
boto\mws\response.py,getattr,359
boto\mws\response.py,getattr,362
boto\mws\response.py,getattr,365
boto\mws\response.py,getattr,417
boto\rds\__init__.py,delsubscript,455
boto\roboto\awsqueryrequest.py,getattr,101
boto\roboto\awsqueryrequest.py,getattr,217
boto\roboto\awsqueryrequest.py,delsubscript,269
boto\roboto\awsqueryrequest.py,hasattr,343
boto\roboto\awsqueryrequest.py,getattr,415
boto\roboto\awsqueryrequest.py,hasattr,442
boto\roboto\awsqueryservice.py,delsubscript,95
boto\roboto\param.py,hasattr,62
boto\roboto\param.py,getattr,63
boto\s3\bucket.py,hasattr,880
boto\s3\key.py,delsubscript,192
boto\s3\key.py,getattr,200
boto\s3\key.py,getattr,799
boto\s3\key.py,delsubscript,894
boto\s3\key.py,delsubscript,915
boto\s3\key.py,hasattr,1244
boto\s3\key.py,hasattr,1861
boto\s3\key.py,getattr,1862
boto\s3\key.py,delsubscript,1883
boto\s3\website.py,getattr,111
boto\s3\__init__.py,delsubscript,67
boto\s3\__init__.py,delsubscript,71
boto\sdb\db\blob.py,hasattr,45
boto\sdb\db\blob.py,hasattr,55
boto\sdb\db\model.py,hasattr,142
boto\sdb\db\model.py,getattr,257
boto\sdb\db\property.py,getattr,57
boto\sdb\db\property.py,hasattr,66
boto\sdb\db\property.py,getattr,67
boto\sdb\db\property.py,getattr,103
boto\sdb\db\property.py,getattr,491
boto\sdb\db\property.py,hasattr,505
boto\sdb\db\property.py,hasattr,513
boto\sdb\db\property.py,getattr,589
boto\sdb\db\manager\sdbmanager.py,getattr,99
boto\sdb\db\manager\sdbmanager.py,getattr,118
boto\sdb\db\manager\sdbmanager.py,hasattr,137
boto\sdb\db\manager\sdbmanager.py,getattr,138
boto\sdb\db\manager\sdbmanager.py,getattr,155
boto\sdb\db\manager\sdbmanager.py,hasattr,420
boto\sdb\db\manager\xmlmanager.py,hasattr,77
boto\sdb\db\manager\xmlmanager.py,getattr,80
boto\sdb\db\manager\xmlmanager.py,hasattr,92
boto\sdb\db\manager\xmlmanager.py,getattr,93
boto\sdb\db\manager\xmlmanager.py,hasattr,251
boto\sdb\db\manager\xmlmanager.py,getattr,431
boto\sdb\db\manager\__init__.py,hasattr,71
boto\sdb\db\manager\__init__.py,hasattr,74
boto\services\bs.py,hasattr,172
boto\services\bs.py,getattr,173
boto\swf\layer1.py,delsubscript,103
boto\swf\layer2.py,hasattr,43
boto\swf\layer2.py,getattr,44
boto\swf\layer2.py,delsubscript,76
boto\swf\layer2.py,delsubscript,94
boto\swf\layer2.py,delsubscript,126
boto\swf\layer2.py,delsubscript,199
boto\swf\layer2.py,delsubscript,226
boto\swf\layer2.py,delsubscript,267
boto\swf\layer2.py,getattr,272
boto\vendored\six.py,delname,72,X
boto\vendored\six.py,delattr,97
boto\vendored\six.py,getattr,119
boto\vendored\six.py,getattr,161
boto\vendored\six.py,hasattr,216
boto\vendored\six.py,delname,312,attr
boto\vendored\six.py,delname,352,attr
boto\vendored\six.py,delname,372,attr
boto\vendored\six.py,delname,422,attr
boto\vendored\six.py,delname,443,attr
boto\vendored\six.py,delname,461,attr
boto\vendored\six.py,delattr,494
boto\vendored\six.py,delsubscript,497
boto\vendored\six.py,delname,627,struct
boto\vendored\six.py,getattr,667
boto\vendored\six.py,getattr,671
boto\vendored\six.py,getattr,675
boto\vendored\six.py,getattr,679
boto\vendored\six.py,delname,696,frame
boto\vendored\six.py,getattr,721
boto\vendored\six.py,getattr,736
boto\vendored\six.py,delsubscript,864
boto\vendored\six.py,delname,866,i
boto\vendored\six.py,delname,866,importer
boto\vpc\__init__.py,hasattr,1757
tests\fps\test.py,hasattr,34
tests\fps\test.py,hasattr,35
tests\fps\test.py,hasattr,38
tests\fps\test.py,hasattr,40
tests\fps\test.py,hasattr,42
tests\fps\test.py,hasattr,71
tests\fps\test.py,hasattr,73
tests\fps\test.py,hasattr,84
tests\integration\dynamodb\test_layer2.py,delsubscript,145
tests\integration\dynamodb\test_layer2.py,delsubscript,146
tests\integration\dynamodb2\test_highlevel.py,delsubscript,143
tests\integration\mws\test.py,hasattr,119
tests\integration\s3\mock_storage_service.py,delsubscript,293
tests\integration\s3\mock_storage_service.py,delsubscript,390
tests\integration\s3\mock_storage_service.py,getattr,453
tests\integration\s3\mock_storage_service.py,getattr,454
tests\integration\s3\mock_storage_service.py,getattr,455
tests\unit\test_connection.py,delsubscript,133
tests\unit\test_connection.py,delsubscript,159
tests\unit\test_connection.py,delsubscript,258
tests\unit\test_connection.py,delsubscript,280
tests\unit\__init__.py,delsubscript,67
tests\unit\cloudsearch\test_exceptions.py,hasattr,30
tests\unit\cloudsearch2\test_document.py,hasattr,344
tests\unit\cloudsearch2\test_exceptions.py,hasattr,30
tests\unit\dynamodb2\test_table.py,delsubscript,427
tests\unit\dynamodb2\test_table.py,delsubscript,542
tests\unit\dynamodb2\test_table.py,delsubscript,622
tests\unit\dynamodb2\test_table.py,delsubscript,651
tests\unit\dynamodb2\test_table.py,delsubscript,767
tests\unit\dynamodb2\test_table.py,hasattr,1333
tests\unit\dynamodb2\test_table.py,delsubscript,2914
tests\unit\ec2\test_address.py,getattr,14
tests\unit\ec2\test_address.py,getattr,60
tests\unit\ec2\test_address.py,getattr,106
tests\unit\ec2\test_blockdevicemapping.py,getattr,16
tests\unit\ec2\test_volume.py,getattr,84
tests\unit\ec2\test_volume.py,getattr,214
tests\unit\ec2\autoscale\test_group.py,getattr,602
tests\unit\ec2\autoscale\test_group.py,getattr,604
tests\unit\ec2\elb\test_attribute.py,getattr,104
tests\unit\ec2\elb\test_attribute.py,getattr,202
tests\unit\emr\test_emr_responses.py,getattr,348
tests\unit\mws\test_connection.py,getattr,108
tests\unit\mws\test_connection.py,hasattr,112
tests\unit\mws\test_connection.py,getattr,113
tests\unit\mws\test_connection.py,hasattr,117
tests\unit\mws\test_connection.py,getattr,122
tests\unit\mws\test_response.py,getattr,196
tests\unit\mws\test_response.py,getattr,196
tests\unit\provider\test_provider.py,delsubscript,213
tests\unit\s3\test_uri.py,hasattr,39
tests\unit\s3\test_uri.py,hasattr,60
tests\unit\s3\test_uri.py,hasattr,81
tests\unit\s3\test_uri.py,hasattr,192
tests\unit\s3\test_uri.py,hasattr,195
tests\unit\s3\test_uri.py,hasattr,196
tests\unit\s3\test_uri.py,hasattr,197
tests\unit\s3\test_uri.py,hasattr,213
tests\unit\s3\test_uri.py,hasattr,216
tests\unit\s3\test_uri.py,hasattr,217
tests\unit\s3\test_uri.py,hasattr,218
