file,lineno,_lineno,kind,message
boto\mturk\question.py,45,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
boto\mturk\question.py,363,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
boto\plugin.py,75,15,argument," Argument 2 to ""load_module"" has incompatible type ""str""; expected ""IO[Any]"""
boto\glacier\utils.py,66,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
boto\dynamodb\batch.py,77,12,assignment," Incompatible types in assignment (expression has type ""bool"", target has type ""List[Any]"")"
boto\dynamodb\batch.py,79,12,assignment," Incompatible types in assignment (expression has type ""bool"", target has type ""List[Any]"")"
boto\glacier\vault.py,351,12,assignment," Incompatible types in assignment (expression has type ""Dict[str, Any]"", target has type ""str"")"
boto\s3\key.py,1848,12,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", variable has type ""Set[Any]"")"
boto\sts\connection.py,95,12,assignment," Incompatible types in assignment (expression has type ""Provider"", variable has type ""str"")"
boto\ec2\connection.py,79,4,assignment," Incompatible types in assignment (expression has type ""Type[EC2ResponseError]"", base class ""AWSQueryConnection"" defined the type as ""Type[BotoServerError]"")"
boto\sqs\connection.py,41,4,assignment," Incompatible types in assignment (expression has type ""Type[SQSError]"", base class ""AWSQueryConnection"" defined the type as ""Type[BotoServerError]"")"
boto\dynamodb2\fields.py,75,4,assignment," Incompatible types in assignment (expression has type ""str"", base class ""BaseSchemaField"" defined the type as ""None"")"
boto\dynamodb2\fields.py,89,4,assignment," Incompatible types in assignment (expression has type ""str"", base class ""BaseSchemaField"" defined the type as ""None"")"
boto\sdb\db\property.py,200,4,assignment," Incompatible types in assignment (expression has type ""Type[Password]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,246,4,assignment," Incompatible types in assignment (expression has type ""Type[Blob]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,263,4,assignment," Incompatible types in assignment (expression has type ""Type[Key]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,310,4,assignment," Incompatible types in assignment (expression has type ""Type[int]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,339,4,assignment," Incompatible types in assignment (expression has type ""Type[int]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,363,4,assignment," Incompatible types in assignment (expression has type ""Type[bool]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,376,4,assignment," Incompatible types in assignment (expression has type ""Type[float]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,397,4,assignment," Incompatible types in assignment (expression has type ""Type[datetime]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,429,4,assignment," Incompatible types in assignment (expression has type ""Type[date]"", base class ""Property"" defined the type as ""Type[str]"")"
boto\sdb\db\property.py,463,4,assignment," Incompatible types in assignment (expression has type ""Type[time]"", base class ""Property"" defined the type as ""Type[str]"")"
